Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),Nguyên giá tham khảo (1000 VND)
M202.0067,"Bộ thí nghiệm độ co ngót, trương nở",200,10,"3,50",4,14.561
M202.0068,Bộ dụng cụ đo độ xuyên động hình côn DCP,180,10,"1,40",5,1.376
M202.0069,Thiết bị thử tỷ diện,200,10,"3,50",4,15.822
M202.0070,Bàn dằn,200,10,"3,50",4,26.828
M202.0071,Bàn rung,200,10,"3,50",4,9.745
M202.0072,Máy khuấy bằng từ,200,10,"3,50",4,15.249
M202.0073,Máy khuấy cầm tay NAG-2,200,10,"3,50",4,9.057
M202.0074,Máy nghiền bi sứ LE1,200,10,"3,50",4,8.369
M202.0075,Máy phân tích hạt Lazer,200,10,"2,50",4,82.778
M202.0076,Máy phân tích vi nhiệt,200,10,"2,50",4,67.071
M202.0077,Tenxômét,200,10,"3,50",4,7.911
M202.0078,Máy đo độ giãn nở bê tông,200,10,"2,50",4,83.466
M202.0079,Máy đo hệ số dẫn nhiệt,200,10,"3,50",4,7.452
M202.0080,Máy nhiễu xạ Rơn ghen (phân tích thành phần hoá lý của vật liệu),200,10,"1,20",4,2.364.900
M202.0081,Cần ép mẫu thử gạch chịu lửa,120,30,"6,50",4,1.147
M202.0082,Côn thử độ sụt,120,30,"6,50",4,909
M202.0083,Dụng cụ xác định độ chịu lực va đập xung kích gạch lát xi măng (viên bi sắt),120,30,"6,50",4,1.147
M202.0084,Dụng cụ xác định giới hạn bền liên kết,120,30,"6,50",4,803
M202.0085,Chén bạch kim,200,10,"1,20",4,25.223
M202.0086,Kẹp niken,200,10,"1,80",4,9.057
M202.0087,Máy siêu âm đo chiều dầy kim loại,200,10,"3,00",4,42.306
M202.0088,Máy dò vị trí cốt thép,200,10,"2,50",4,67.071
M202.0089,Máy siêu âm kiểm tra chất lượng mối hàn,200,10,"2,20",4,153.517
M202.0090,"Máy siêu âm kiểm tra cường độ bê tông của cấu kiện bê tông, bê tông cốt thép tại hiện trường",200,10,"2,50",4,64.204
M202.0091,Súng bi,200,10,"3,50",4,8.599
M202.0092,Thiết bị hấp mẫu xi măng,200,10,"3,50",4,1.200
M202.0093,Bình hút ẩm,200,10,"3,50",4,500
M202.0094,Bộ dụng cụ xác định thấm nước,200,10,"3,50",4,22.000
M202.0095,Bơm thủy lực ZB4-500,200,10,"3,50",4,16.360
M202.0096,Đồng hồ đo áp lực,200,10,"2,20",4,200
M202.0097,Đồng hồ đo biến dạng,200,10,"2,20",4,1.200
M202.0098,Đồng hồ đo nước,200,10,"2,20",4,2.800
M202.0099,Đồng hồ đo lún,200,10,"2,20",4,1.800
M202.0100,Đồng hồ Shore A,200,10,"2,20",4,1.500
M202.0101,Dụng cụ đo độ bền va đập,200,10,"6,50",4,1.200
M202.0102,Dụng cụ đo hệ số giãn nở ẩm,200,10,"6,50",4,5.000
M202.0103,Dụng cụ phá vỡ mẫu kính,200,10,"6,50",4,2.500
M202.0104,Dụng cụ thử thấm mực,200,10,"6,50",4,500
M202.0105,Dụng cụ Vica,200,10,"6,50",4,1.900
M202.0106,Dụng cụ xác định độ bền va đập,200,10,"6,50",4,90.000
M202.0107,Dụng cụ xác định độ bền va uốn,200,10,"6,50",4,80.000
M202.0108,Khuôn Capping mẫu,200,10,"6,50",4,1.500
M202.0109,Khuôn dập mẫu,200,10,"6,50",4,440
M202.0110,Kích kéo thủy lực 60 t,200,10,"2,20",4,20.455
M202.0111,Kích thủy lực 800 t,200,10,"2,20",4,124.150
M202.0112,Kính phóng đại đo lường,200,10,"2,50",4,3.500
M202.0113,Kính lúp,200,10,"2,50",4,200
M202.0114,Máy bộ đàm,200,10,"2,50",4,350
M202.0115,Máy cắt quay tay,200,10,"2,50",4,1.200
M202.0116,"Máy cắt, mài mẫu vật liệu",200,10,"2,50",4,18.000
M202.0117,Máy đo dao động điện tử (kèm đầu đo dao động 3 chiều),200,10,"2,50",4,281.375
M202.0118,Máy đo độ bóng,200,10,"2,50",4,6.500
M202.0119,Máy khoan HILTI hoặc loại tương tự,200,10,"2,50",4,15.000
M202.0120,Thiết bị đo độ dẫn nước,200,10,"3,50",4,2.500
M202.0121,Thiết bị đo độ dày,200,10,"3,50",4,1.500
M202.0122,Máy đo độ giãn nở nhiệt dài,200,10,"3,50",4,2.500
M202.0123,Máy dò khuyết tật,200,10,"3,50",4,3.500
M202.0124,Máy đo kích thước,200,10,"3,50",4,2.500
M202.0125,Máy đo thời gian khô màng sơn,200,10,"3,50",4,3.000
M202.0126,Máy đo ứng suất bề mặt,200,10,"3,50",4,5.000
M202.0127,Máy đo ứng suất điện tử,200,10,"3,50",4,5.000
M202.0128,Máy Hveem,200,10,"2,50",4,15.000
M202.0129,Máy kéo vải địa kỹ thuật,200,10,"2,50",4,220.000
M202.0130,"Máy kéo, nén WDW-100",200,10,"2,50",4,220.000
M202.0131,Máy thử cơ lý thạch cao,200,10,"2,50",4,5.000
M202.0132,Máy kiểm tra độ cứng,200,10,"2,50",4,9.900
M202.0133,Máy làm sạch bằng siêu âm,200,10,"2,50",4,3.500
M202.0134,Máy mài mòn bề mặt,200,10,"2,50",4,18.000
M202.0135,Máy mài mòn sâu,200,10,"2,50",4,4.500
M202.0136,Máy nén cố kết,200,10,"2,50",4,25.000
M202.0137,Máy phân tích thành phần kim loại,200,10,"2,50",4,10.000
M202.0138,Máy quang phổ đo hệ số phản xạ ánh sáng,200,10,"2,50",4,50.000
M202.0139,Máy quang phổ đo hệ số truyền sáng,200,10,"2,50",4,60.000
M202.0140,Máy siêu âm đo vết nứt,200,10,"2,50",4,36.500
M202.0141,Máy soi kim tương,200,10,"2,20",4,10.000
M202.0142,Máy thấm,200,10,"2,20",4,19.900
M202.0143,"Máy thử độ bền nén, uốn",200,10,"2,20",4,210.000
M202.0144,Máy thử độ bục,200,10,"1,80",4,5.000
M202.0145,Máy thử độ rơi côn,200,10,"1,80",4,4.500
M202.0146,Máy uốn gạch,200,10,"1,80",4,80.000
M202.0147,Nồi hấp áp suất cao (Autoclave),200,10,"3,50",4,5.500
M202.0148,Thiết bị đo chuyển vị Indicator,200,10,"3,50",4,15.000
M202.0149,Thiết bị đo điểm sương,200,10,"3,50",4,10.000
M202.0150,Thiết bị đo độ bền ẩm,200,10,"3,50",4,10.000
M202.0151,Thiết bị đo độ cứng màng sơn,200,10,"3,50",4,5.000
M202.0152,Thiết bị đo độ dày,200,10,"3,50",4,1.500
M202.0153,Thiết bị đo hệ số ma sát,200,10,"3,50",4,5.000
M202.0154,Thiết bị đo thử độ kín,200,10,"3,50",4,5.000
M202.0155,Thiết bị thử tính năng sử dụng của sứ vệ sinh,200,10,"2,80",4,15.000
M202.0156,Thiết bị thử va đập phản hồi,200,10,"2,80",4,10.000
M202.0157,Tủ chiếu UV,200,10,"2,80",4,5.000
M202.0158,Tủ khí hậu,200,10,"2,80",4,60.000
M202.0159,Thước đo vết nứt,200,10,"2,80",4,139
M202.0160,Vi kế,200,10,"2,80",4,139
M202.0161,Máy scanner (khổ Ao),150,13,"3,00",4,119.581
M202.0162,Máy vẽ plotter,220,13,"3,00",4,99.975
M202.0163,Máy vi tính,220,13,"4,00",4,10.089
M202.0164,Máy tính xách tay,220,13,"3,50",4,18.917
M202.0165,Bể ổn nhiệt,200,10,"3,5",4,7.452
M202.0166,Bếp gas công nghiệp,150,30,"6,5",4,500
M202.0167,Bình thử bọt khí,200,10,"2,5",4,27.000
M202.0168,Bộ dụng cụ xác định hàm lượng cát,200,10,"6,5",4,1.500
M202.0169,Bộ thiết bị thí nghiệm điểm hóa mềm (ELE),200,10,"2,5",4,303.030
M202.0170,Dụng cụ đo nhám,200,10,"6,5",4,500
M202.0171,Dụng cụ thử va đập bi rơi,200,10,"6,5",4,1.200
M202.0172,Dụng cụ thử va đập con lắc,200,10,"6,5",4,1.200
M202.0173,Dụng cụ thử xuyên,200,10,"6,5",4,1.900
M202.0174,Dụng cụ xác định sự thay đổi chiều dài của mẫu vữa,200,10,"2,2",4,2.200
M202.0175,Dụng cụ xác định thời gian bắt đầu đông kết,200,10,"3,5",4,3.000
M202.0176,Khoáng chuẩn,200,10,"3,5",4,1.000
M202.0177,Khung giá máy & Máy gia tải 50 tấn kỹ thuật số,200,10,"2,5",4,37.261
M202.0178,Máy Gigarang,200,10,"3,5",4,10.000
M202.0179,Máy SHWD,180,10,"1,4",4,2.056.833
M202.0180,Máy bào gỗ,180,30,"10,5",4,1.200
M202.0181,Máy cắt Makita,200,10,"3,5",4,3.979
M202.0182,Máy cắt phẳng,200,10,"2,5",4,25.000
M202.0183,Máy đầm xoay,220,10,"6,5",4,6.306
M202.0184,Máy đo chiều dày lớp bê tông bảo vệ và đo đường kính cốt thép,200,10,"2,5",4,114.350
M202.0185,Máy đo độ đàn hồi,200,10,"2,5",4,62.599
M202.0186,"Máy kéo, nén thủy lực 0,5 tấn",200,10,"3,5",4,8.369
M202.0187,"Máy kéo, nén thủy lực 20 tấn",200,10,"3,5",4,25.000
M202.0188,"Máy kéo, nén thủy lực 200 tấn",200,10,"2,5",4,62.000
M202.0189,"Máy kéo, nén thủy lực 50 tấn",200,10,"2,5",4,35.656
M202.0190,Máy khoan lấy mẫu chuyên dụng,200,10,"3,5",4,6.800
M202.0191,Máy khuấy và làm mát nước,200,10,"3,5",4,5.500
M202.0192,Máy thử cường độ bám dính,220,10,"1,4",4,18.000
M202.0193,Máy thử độ chống thấm,200,10,"2,5",4,18.000
M202.0194,Máy thử kéo xác định cường độ bám dính,220,10,"1,4",4,18.000
M202.0195,Máy xác định độ thấm nước của bê tông kiểu C430 (hoặc C431),200,10,"2,2",4,19.900
M202.0196,Nhớt kế,200,10,"6,5",4,20.000
M202.0197,Nhớt kế Suttard,200,10,"6,5",4,150
M202.0198,Nhớt kế Vebe,200,10,"6,5",4,6.000
M202.0199,Súng bật nẩy,200,10,"3,5",4,9.000
M202.0200,Thiết bị đo góc nghỉ của cát,200,10,"2,5",4,2.000
M202.0201,Thiết bị đo góc nghỉ tự nhiên của đất rời,200,10,"2,5",4,1.500
M202.0202,Thiết bị đo nhiệt độ bê tông,200,10,"3,5",4,1.800
M202.0203,Thiết bị đo nhiệt lượng,200,10,"3,5",4,1.500
M202.0204,Thiết bị gia nhiệt vòng và bi,200,10,"3,5",4,10.000
M202.0205,Thiết bị thử tải trọng,200,10,"3,5",4,10.000
M202.0206,Thiết bị wheel tracking,200,10,"2,5",4,1.387.200
M202.0207,Thiết bị xác định độ bền cọ rửa,200,10,"3,5",4,40.000
M202.0208,Thiết bị xác định thay đổi chiều cao cột vữa,200,10,"6,5",4,1.000
M202.0209,Xe chuyên dùng,180,10,"1,4",4,546.000
M202.0210,Dụng cụ vòng và bi,200,10,"6,5",4,3.500
M203.0000,"MÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG DÂY VÀ TRẠM BIẾN ÁP",,,,,
M203.0001,Bộ tạo nguồn 3 pha,220,10,"3,50",5,508.246
M203.0002,Bộ nguồn AC-DC,220,10,"3,50",5,49.988
M203.0003,Công tơ mẫu xách tay,220,10,"3,50",5,210.613
M203.0004,Hộp bộ đo tgd Delta,220,10,"3,50",5,1.000.900
M203.0005,Hợp bộ đo lường,220,10,"3,50",5,946.212
M203.0006,Hợp bộ phân tích hàm lượng khí,220,10,"3,50",5,1.618.868
M203.0007,Hợp bộ thí nghiệm cao áp,220,10,"3,50",5,507.559
M203.0008,Hợp bộ thí nghiệm rơle,220,10,"3,50",5,955.957
M203.0009,Máy điều chỉnh điện áp 1pha,220,10,"3,50",5,19.835
M203.0010,Máy đo độ A xít,220,10,"3,50",5,182.524
M203.0011,Máy đo độ chớp cháy kín,220,10,"3,50",5,174.957
M203.0012,Máy đo độ nhớt,220,10,"3,50",5,150.307
M203.0013,Máy đo điện áp xuyên thủng,220,10,"3,50",5,36.574
M203.0014,Máy đo điện trở một chiều,220,10,"3,50",5,179.658
M203.0015,Máy đo điện trở tiếp địa,220,10,"3,50",5,61.109
M203.0016,Máy đo điện trở tiếp xúc,220,10,"3,50",5,104.905
M203.0017,Cầu đo tang dầu cách điện,220,10,"3,50",5,365.277
M203.0018,Máy đo tỷ trọng,220,10,"3,50",5,73.491
M203.0019,Máy đo vạn năng,220,10,"3,50",5,151.224
M203.0020,Máy chụp sóng,220,10,"3,50",5,521.317
M203.0021,Máy kiểm tra độ ổn định oxy hoá dầu,220,10,"3,50",5,374.105
M203.0022,Máy phát tần số,220,10,"3,50",5,133.224
M203.0023,Máy phân tích độ ẩm khí SF6,220,10,"3,50",5,184.244
M203.0024,Máy đo vi lượng ẩm,220,10,"3,50",5,166.702
M203.0025,Mê gôm mét,220,10,"3,50",5,50.446
M203.0026,Thiết bị kiểm tra áp lực,220,10,"3,50",5,86.332
M203.0027,Thiết bị tạo dòng điện,220,10,"3,50",5,499.762
