Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),"Định mức tiêu hao nhiên liệu, năng lượng (1ca)","Nhân công vận hành, điều khiển máy",Nguyên giá tham khảo (1.000 VND)
M102.1803,18 m,280,"13,0","3,80",5,29 lít diezel,1 nhân công vận hành + 1 lái xe,994.767
M102.1804,24 m,280,"13,0","3,80",5,33 lít diezel,1 nhân công vận hành + 1 lái xe,1.254.565
M102.1805,Xe nâng hàng - sức nâng 2t,240,"16,0","3,50",5,9 lít diezel,1 nhân công vận hành,180.200
M102.1900,Xe thang - chiều dài thang:,,,,,,,
M102.1901,9 m,280,"15,0","3,90",5,25 lít diezel,1 nhân công vận hành + 1 lái xe,1.008.639
M102.1902,12 m,280,"15,0","3,70",5,29 lít diezel,1 nhân công vận hành + 1 lái xe,1.371.165
M102.1903,18 m,280,"15,0","3,70",5,33 lít diezel,1 nhân công vận hành + 1 lái xe,1.662.779
M103.0000,MÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNG,,,,,,,
M103.0100,"Máy đóng cọc tự hành, bánh xích - trọng lượng đầu búa:",,,,,,,
M103.0101,"1,2 t",260,"14,0","4,40",5,56 lít diezel,1 nhân công vận hành,1.125.927
M103.0102,"1,8 t",260,"14,0","4,40",5,59 lít diezel,1 nhân công vận hành,1.233.813
M103.0103,"3,5 t",260,"13,0","3,90",5,62 lít diezel,1 nhân công vận hành,2.354.696
M103.0104,"4,5 t",260,"13,0","3,90",5,65 lít diezel,1 nhân công vận hành,2.751.960
M103.0105,"8,0 t",260,"13,0","3,90",5,146 lít diezel,1 nhân công vận hành,12.825.610
M103.0200,Máy đóng cọc chạy trên ray - trọng lượng đầu búa:,,,,,,,
M103.0201,"1,2 t",260,"14,0","3,90",5,24 lít diezel + 14 kWh,1 nhân công vận hành,579.674
M103.0202,"1,8 t",260,"14,0","3,90",5,30 lít diezel + 14 kWh,1 nhân công vận hành,852.657
M103.0203,"2,5 t",260,"12,0","3,50",5,36 lít diezel + 25 kWh,1 nhân công vận hành,1.129.080
M103.0204,"3,5 t",260,"12,0","3,50",5,48 lít diezel + 25 kWh,1 nhân công vận hành,1.271.935
M103.0205,"4,5 t",260,"12,0","3,50",5,63 lít diezel + 34 kWh,1 nhân công vận hành,1.570.829
M103.0206,"5,5 t",260,"12,0","3,50",5,78 lít diezel + 34 kWh,1 nhân công vận hành,1.872.934
M103.0300,"Máy búa rung tự hành, bánh xích - công suất:",,,,,,,
M103.0301,60 kW,220,"13,0","4,80",5,40 lít diezel + 159 kWh,1 nhân công vận hành,3.047.619
M103.0302,90 kW,220,"13,0","4,80",5,51 lít diezel + 240 kWh,1 nhân công vận hành,4.585.650
M103.0400,Đầu Búa rung - công suất:,,,,,,,
M103.0401,40 kW,240,"14,0","3,80",5,108 kWh,,122.906
M103.0402,50 kW,240,"14,0","3,80",5,135 kWh,,149.734
M103.0402a,60 kW,240,"14,0","3,80",5,162 kWh,,250.000
M103.0403,170 kW,240,"14,0","2,64",5,357 kWh,,282.270
M103.0500,Tàu đóng cọc - trọng lượng đầu búa:,,,,,,,
M103.0501,"1,2 t",240,"12,0","5,90",6,37 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,2.532.100
M103.0502,"1,8 t",240,"12,0","5,90",6,42 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,2.891.261
M103.0503,"2,5 t",240,"12,0","5,90",6,47 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,2.994.676
M103.0504,"3,5 t",240,"12,0","5,90",6,52 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,3.049.364
M103.0505,"4,5 t",240,"12,0","5,90",6,58 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,3.765.940
M103.0600,"Tàu đóng cọc C 96 - búa thuỷ lực, trọng lượng đầu búa:",,,,,,,
M103.0601,"7,5 t",240,"11,0","4,60",6,162 lít diezel,1 thuyền trưởng + 1 thuyền phó + 4 thợ máy + 1 thợ điện + 1 thuỷ thủ,9.816.850
M103.0700,Máy ép cọc trước - lực ép:,,,,,,,
M103.0701,60 t,210,"17,0","4,00",5,38 kWh,1 nhân công vận hành,138.727
M103.0702,100 t,210,"17,0","4,00",5,53 kWh,1 nhân công vận hành,188.256
M103.0703,150 t,210,"17,0","4,00",5,75 kWh,1 nhân công vận hành,213.021
M103.0704,200 t,210,"17,0","4,00",5,84 kWh,1 nhân công vận hành,237.786
M103.0801,Máy ép cọc Robot thủy lực tự hành 860t,180,"22,0","3,96",5,756 kWh,2 nhân công vận hành,6.642.900
M103.0901,"Máy ép thuỷ lực (KGK-130C4), lực ép 130 t",240,"15,0","2,60",5,138 kWh,1 nhân công vận hành,671.738
M103.0902,Máy ép cọc thủy lực 45 Hp,240,"15,0","2,60",5,25 kWh,1 nhân công vận hành,132.000
M103.1001,Máy cấy bấc thấm,230,"12,0","3,10",5,48 lít diezel,1 nhân công vận hành,1.099.500
M103.1100,Máy khoan xoay:,,,,,,,
M103.1101,Máy khoan xoay 80kNm÷125kNm,260,"13,0","8,20",5,52 lít diezel,1 nhân công vận hành,3.934.467
M103.1102,Máy khoan xoay 150kNm÷200kNm,260,"13,0","8,20",5,68 lít diezel,1 nhân công vận hành,4.514.371
M103.1103,Máy khoan xoay > 200kNm÷300kNm,260,"13,0","8,20",5,96 lít diezel,1 nhân công vận hành,11.608.382
M103.1104,Máy khoan xoay > 300kNm÷400kNm,260,"13,0","6,50",5,137 lít diezel,1 nhân công vận hành,14.865.951
M103.1105,"Gầu đào (thi công móng cọc, tường Barrette)",260,"13,0","5,80",5,,,565.686
M103.1201,Máy khoan tường sét,260,"13,0","6,50",5,32 lít diezel + 171 kWh,1 nhân công vận hành,4.600.000
M103.1300,Máy khoan cọc đất,,,,,,,
M103.1301,Máy khoan cọc đất (1 cần),260,"13,0","6,50",5,36 lít diezel + 167 kWh,1 nhân công vận hành,5.354.545
M103.1302,Máy khoan cọc đất (2 cần),260,"13,0","6,50",5,36 lít diezel + 232 kWh,1 nhân công vận hành,6.109.091
M103.1311,"Máy khoan cọc xi măng đất 120 tấn, đầu khoan RAS 180kW",260,"13,0","6,50",5,36 lít diezel + 768 kWh,2 nhân công vận hành,26.590.503
M103.1312,Hệ thống kiểm soát khoan RAS,260,"13,0","6,50",5,,1 nhân công vận hành,2.659.423
M103.1401,Máy cấp xi măng,260,"13,0","6,50",5,,,14.800
M103.1500,Máy trộn dung dịch - dung tích:,,,,,,,
M103.1501,750 lít,300,"16,0","6,40",5,13 kWh,1 nhân công vận hành,25.796
M103.1502,1000 lít,300,"15,0","5,80",5,18 kWh,1 nhân công vận hành,177.479
M103.1600,Máy sàng lọc - năng suất:,,,,,,,
M103.1601,100 m3/h,300,"15,0","5,80",5,21 kWh,1 nhân công vận hành,353.468
M103.1700,Máy bơm dung dịch - năng suất:,,,,,,,
M103.1701,15 m3/h,215,"16,0","6,60",5,37 kWh,1 nhân công vận hành,22.000
M103.1702,200 m3/h,215,"16,0","6,60",5,50 kWh,1 nhân công vận hành,43.182
M104.0000,MÁY SẢN XUẤT VẬT LIỆU XÂY DỰNG,,,,,,,
M104.0100,Máy trộn bê tông - dung tích:,,,,,,,
M104.0101,100 lít,165,"19,0","6,50",5,8 kWh,1 nhân công vận hành,23.050
M104.0102,250 lít,165,"19,0","6,50",5,11 kWh,1 nhân công vận hành,30.210
M104.0200,Máy trộn vữa - dung tích:,,,,,,,
M104.0201,80 lít,170,"19,0","6,80",5,5 kWh,1 nhân công vận hành,12.841
M104.0202,150 lít,170,"19,0","6,80",5,8 kWh,1 nhân công vận hành,17.828
M104.0203,250 lít,170,"19,0","6,80",5,11 kWh,1 nhân công vận hành,22.873
M104.0300,Máy trộn vữa xi măng - dung tích:,,,,,,,
M104.0301,1200 lít,170,"19,0","6,80",5,72 kWh,1 nhân công vận hành,75.863
M104.0302,1600 lít,170,"19,0","6,80",5,96 kWh,1 nhân công vận hành,104.103
M104.0310,Trạm trộn vữa - năng suất:,,,,,,,
M104.0312,24 m3/h,260,"15,0","5,60",5,85 kWh,2 nhân công vận hành,1.295.000
M104.0400,Trạm trộn bê tông - năng suất:,,,,,,,
M104.0401,16 m3/h,260,"15,0","5,80",5,92 kWh,2 nhân công vận hành,907.804
M104.0402,25 m3/h,260,"15,0","5,60",5,116 kWh,2 nhân công vận hành,1.264.024
M104.0403,30 m3/h,260,"15,0","5,60",5,172 kWh,2 nhân công vận hành,1.596.969
M104.0404,50 m3/h,260,"15,0","5,60",5,198 kWh,2 nhân công vận hành,2.549.373
M104.0405,60 m3/h,260,"15,0","5,30",5,265 kWh,2 nhân công vận hành,2.804.470
M104.0406,75 m3/h,260,"15,0","5,30",5,418 kWh,3 nhân công vận hành,3.237.391
M104.0407,90 m3/h,260,"15,0","5,30",5,425 kWh,3 nhân công vận hành,4.306.280
M104.0408,125 m3/h,260,"15,0","5,30",5,446 kWh,3 nhân công vận hành,5.375.168
M104.0409,160 m3/h,260,"15,0","5,00",5,553 kWh,4 nhân công vận hành,5.643.909
