Mã số,Loại công trình,Loại công trình,Cấp công trình
IV.2,Công trình đường thủy nội địa,"Đường thủy có bề rộng (B) và độ sâu (H) nước chạy tàu (bao gồm cả phao tiêu, công trình chính trị)",Cấp II trở lên
IV.3,Công trình hàng hải,"Bến/cảng biển, bến phà (cho hành khách)",Cấp II trở lên
IV.3,Công trình hàng hải,Các công trình hàng hải khác,Cấp II trở lên
IV.4,Công trình hàng không,Nhà ga hàng không; khu bay (bao gồm cả các công trình bảo đảm hoạt động bay),Mọi cấp
IV.5,Tuyến cáp treo và nhà ga,Để vận chuyển người,Mọi cấp
IV.5,Tuyến cáp treo và nhà ga,Để vận chuyển hàng hóa,Cấp II trở lên
V,CÔNG TRÌNH NÔNG NGHIỆP VÀ MÔI TRƯỜNG,CÔNG TRÌNH NÔNG NGHIỆP VÀ MÔI TRƯỜNG,CÔNG TRÌNH NÔNG NGHIỆP VÀ MÔI TRƯỜNG
V.1,Công trình thủy lợi,Công trình cấp nước,Cấp II trở lên
V.1,Công trình thủy lợi,Hồ chứa nước,Cấp III trở lên
V.1,Công trình thủy lợi,Đập ngăn nước và các công trình thủy lợi chịu áp khác,Cấp III trở lên
V.2,Công trình đê điều,,Mọi cấp
V.3,Công trình nông nghiệp và môi trường khác,,Cấp II trở lên
