Tháng,Khuếch tán / tổng cộng,12h,13h,14h,15h,16h,17h,18h,19h,Giờ mặt trời mọc / Giờ mặt trời lặn
10,tổng cộng,"57,1","54,1","46,0","34,3","21,1","8,3",-,6h15 / 17h45,
11,khuếch tán,"23,1","22,2","19,6","15,4","9,8","3,3",-,6h32 / 17h28,
11,tổng cộng,"52,7","49,3","39,9","27,2","14,1","3,5",-,6h32 / 17h28,
12,khuếch tán,"23,6","22,7","19,9","15,6","9,7","2,6",-,6h40 / 17h20,
12,tổng cộng,"48,7","45,3","36,3","24,0","11,7","2,2",-,6h40 / 17h20,
Trạm Sơn La,,,,,,,,,,
1,khuếch tán,"26,5","25,2","21,5","15,9","9,4","2,8",-,6h34 / 17h26,
1,tổng cộng,"49,2","46,7","39,5","29,0","16,9","4,9",-,6h34 / 17h26,
2,khuếch tán,"29,1","27,8","24,1","18,7","12,0","4,8",-,6h20 / 17h40,
2,tổng cộng,"54,4","51,6","43,8","32,6","19,8","7,4",-,6h20 / 17h40,
3,khuếch tán,"32,9","31,3","27,0","20,9","13,6","6,3",-,6h04 / 17h56,
3,tổng cộng,"66,3","62,3","51,8","37,2","21,9","8,7",-,6h04 / 17h56,
4,khuếch tán,"35,4","33,6","29,1","22,7","15,3","8,0","1,4",-,5h46 / 18h14
4,tổng cộng,"74,9","70,4","59,1","43,7","27,2","12,6","1,9",-,5h46 / 18h14
5,khuếch tán,"34,9","33,1","29,1","23,5","16,8","9,8","3,1",-,5h30 / 18h30
5,tổng cộng,"72,9","68,8","59,6","46,8","32,3","18,0","5,4",-,5h30 / 18h30
6,khuếch tán,"36,0","34,2","29,9","24,0","17,1","10,1","3,6",-,5h22 / 18h38
6,tổng cộng,"62,8","59,2","51,0","39,8","27,3","15,3","5,1",-,5h22 / 18h38
7,khuếch tán,"36,2","34,2","29,9","23,9","16,9","9,9","3,3",-,5h26 / 18h34
7,tổng cộng,"62,2","58,5","50,5","39,4","27,0","15,0","4,8",-,5h26 / 18h34
8,khuếch tán,"35,1","33,5","29,3","23,4","16,5","9,2","2,3",-,5h39 / 18h21
8,tổng cộng,"65,4","61,7","52,7","40,4","26,8","13,8","3,1",-,5h39 / 18h21
9,khuếch tán,"32,4","31,1","27,3","21,8","15,1","7,8","0,4",-,5h56 / 18h04
9,tổng cộng,"65,6","62,6","54,0","41,7","27,6","13,4","0,7",-,5h56 / 18h04
10,khuếch tán,"29,4","28,1","24,4","19,0","12,3","5,3",-,6h15 / 17h45,
10,tổng cộng,"61,3","58,2","49,8","37,6","23,6","9,6",-,6h15 / 17h45,
11,khuếch tán,"27,7","26,3","22,2","16,2","9,5","2,9",-,6h30 / 17h30,
11,tổng cộng,"51,3","48,6","41,1","30,3","17,8","5,6",-,6h30 / 17h30,
12,khuếch tán,"25,0","23,7","20,3","15,1","8,9","2,4",-,6h38 / 17h22,
12,tổng cộng,"50,2","47,4","39,6","28,5","15,9","4,0",-,6h38 / 17h22,
Trạm Lào Cai,,,,,,,,,,
1,khuếch tán,"23,4","22,5","19,9","15,6","9,9","3,0",-,6h36 / 17h24,
1,tổng cộng,"33,9","32,1","26,9","19,4","11,0","2,9",-,6h36 / 17h24,
2,khuếch tán,"23,8","23,3","21,7","18,6","13,5","6,0",-,6h22 / 17h38,
2,tổng cộng,"36,6","35,0","30,5","23,6","15,1","5,9",-,6h22 / 17h38,
3,khuếch tán,"34,3","32,4","27,2","20,0","12,2","5,1",-,6h04 / 17h56,
3,tổng cộng,"46,9","44,2","36,6","26,3","15,4","6,1",-,6h04 / 17h56,
4,khuếch tán,"36,3","34,4","29,6","22,9","15,2","7,8","1,4",-,5h45 / 18h15
4,tổng cộng,"59,9","56,5","47,5","35,3","22,2","10,4","1,6",-,5h45 / 18h15
5,khuếch tán,"35,2","33,5","29,5","23,8","17,2","10,1","3,3",-,5h28 / 18h32
5,tổng cộng,"67,6","63,6","54,2","41,4","27,5","14,2","4,1",-,5h28 / 18h32
6,khuếch tán,"37,0","35,0","30,4","24,0","16,8","9,7","3,4",-,5h20 / 18h40
6,tổng cộng,"56,8","53,5","46,4","36,6","25,5","14,7","5,2",-,5h20 / 18h40
7,khuếch tán,"34,2","32,6","29,1","24,2","18,0","11,2","4,2",-,5h24 / 18h36
7,tổng cộng,"59,9","56,4","48,8","38,2","26,4","14,9","4,9",-,5h24 / 18h36
8,khuếch tán,"33,8","32,4","28,8","23,5","17,1","10,0","2,7",-,5h38 / 18h22
8,tổng cộng,"61,7","58,3","49,7","37,9","25,0","12,8","2,9",-,5h38 / 18h22
9,khuếch tán,"31,6","30,4","27,1","22,0","15,6","8,3","0,5",-,5h56 / 18h04
9,tổng cộng,"58,6","55,7","48,0","36,9","24,2","11,7","0,6",-,5h56 / 18h04
10,khuếch tán,"29,0","27,9","24,5","19,4","12,9","5,6",-,6h15 / 17h45,
10,tổng cộng,"42,7","41,3","37,2","30,4","21,2","9,7",-,6h15 / 17h45,
11,khuếch tán,"26,6","25,3","21,6","16,2","9,7","3,0",-,6h32 / 17h28,
11,tổng cộng,"37,8","36,3","31,9","25,0","15,9","5,3",-,6h32 / 17h28,
12,khuếch tán,"24,1","23,0","19,9","15,1","9,1","2,4",-,6h40 / 17h20,
12,tổng cộng,"35,8","34,0","28,8","21,2","12,2","3,0",-,6h40 / 17h20,
Trạm Sapa,,,,,,,,,,
1,khuếch tán,"24,4","23,5","20,7","16,3","10,3","3,2",-,6h36 / 17h24,
1,tổng cộng,"33,3","31,5","26,4","19,1","10,8","2,9",-,6h36 / 17h24,
2,khuếch tán,"24,9","24,4","22,7","19,5","14,1","6,3",-,6h22 / 17h38,
2,tổng cộng,"34,4","32,8","28,6","22,1","14,2","5,6",-,6h22 / 17h38,
3,khuếch tán,"30,6","29,5","26,3","21,4","15,0","7,6",-,6h04 / 17h56,
3,tổng cộng,"44,9","42,7","36,4","27,6","17,6","7,8",-,6h04 / 17h56,
4,khuếch tán,"32,7","31,5","28,3","23,4","17,1","9,9","2,0",-,5h45 / 18h15
4,tổng cộng,"49,7","47,2","40,7","31,7","21,3","11,1","2,0",-,5h45 / 18h15
5,khuếch tán,"36,3","34,4","30,1","24,0","16,9","9,7","3,1",-,5h28 / 18h32
5,tổng cộng,"44,2","42,2","37,5","30,8","22,7","13,7","4,6",-,5h28 / 18h32
6,khuếch tán,"36,7","34,6","30,1","23,8","16,6","9,6","3,4",-,5h20 / 18h40
6,tổng cộng,"36,2","34,2","29,6","23,3","16,3","9,4","3,3",-,5h20 / 18h40
7,khuếch tán,"33,5","31,9","28,5","23,6","17,5","10,8","4,0",-,5h24 / 18h36
7,tổng cộng,"37,6","35,6","31,2","25,0","17,8","10,5","3,7",-,5h24 / 18h36
8,khuếch tán,"34,6","30,0","28,9","23,0","16,2","9,0","2,3",-,5h38 / 18h22
8,tổng cộng,"37,6","35,8","31,5","25,2","17,8","10,1","2,6",-,5h38 / 18h22
9,khuếch tán,"31,7","30,4","26,7","21,4","14,8","7,6","0,5",-,5h56 / 18h04
9,tổng cộng,"33,2","32,1","29,1","24,4","17,9","9,8","0,6",-,5h56 / 18h04
10,khuếch tán,"28,1","27,0","23,7","18,7","12,5","5,4",-,6h15 / 17h45,
10,tổng cộng,"28,2","27,3","24,6","20,1","14,0","6,4",-,6h15 / 17h45,
11,khuếch tán,"26,5","25,2","21,6","16,1","9,7","3,0",-,6h32 / 17h28,
11,tổng cộng,"29,5","28,3","24,9","19,5","12,4","4,2",-,6h32 / 17h28,
12,khuếch tán,"24,2","23,2","20,1","15,2","9,2","2,4",-,6h40 / 17h20,
12,tổng cộng,"32,7","31,0","26,3","19,3","11,1","2,7",-,6h40 / 17h20,
Trạm Yên Bái,,,,,,,,,,
1,khuếch tán,"24,2","22,9","19,3","14,1","8,2","2,3",,-,6h34 / 17h26
1,tổng cộng,"32,2","30,3","25,0","17,5","9,5","2,5",,-,6h34 / 17h26
2,khuếch tán,"26,0","24,6","20,6","14,9","8,7","3,1",,-,6h20 / 17h40
2,tổng cộng,"32,6","30,6","25,0","17,4","9,5","2,9",,-,6h20 / 17h40
3,khuếch tán,"30,2","28,4","23,6","16,9","9,9","3,9",,-,6h04 / 17h56
3,tổng cộng,"37,6","35,3","29,2","20,9","12,1","4,7",,-,6h04 / 17h56
4,khuếch tán,"33,9","32,0","27,2","20,6","13,3","6,5","1,1",-,5h46 / 18h14
4,tổng cộng,"44,2","41,6","34,8","25,7","15,9","7,3","1,1",-,5h46 / 18h14
5,khuếch tán,"34,7","33,1","29,4","24,1","17,7","10,6","3,5",-,5h30 / 18h30
5,tổng cộng,"60,3","56,9","49,0","38,2","26,1","14,4","4,2",-,5h30 / 18h30
6,khuếch tán,"35,5","33,7","29,7","24,1","17,3","10,5","3,8",-,5h22 / 18h38
6,tổng cộng,"58,3","54,9","47,3","36,8","25,2","14,0","4,6",-,5h22 / 18h38
7,khuếch tán,"34,1","32,5","29,0","24,0","17,9","11,0","4,0",-,5h26 / 18h34
7,tổng cộng,"61,7","58,0","49,9","38,9","26,6","14,7","4,7",-,5h26 / 18h34
8,khuếch tán,"34,1","32,6","28,8","23,5","16,9","9,7","2,5",-,5h39 / 18h21
8,tổng cộng,"61,6","58,4","50,3","39,2","26,6","14,2","3,3",-,5h39 / 18h21
9,khuếch tán,"32,2","30,9","27,3","21,9","15,3","7,9","0,5",-,5h56 / 18h04
9,tổng cộng,"62,1","59,0","50,4","38,4","24,8","11,8","0,6",-,5h56 / 18h04
10,khuếch tán,"30,3","28,9","25,0","19,3","12,4","5,2",,-,6h15 / 17h45
10,tổng cộng,"54,0","51,0","43,0","31,6","19,0","7,3",,-,6h15 / 17h45
11,khuếch tán,"28,0","26,5","22,3","16,3","9,5","2,9",,-,6h30 / 17h30
11,tổng cộng,"44,8","42,2","34,8","24,4","13,4","3,8",,-,6h30 / 17h30
12,khuếch tán,"25,5","24,2","20,4","14,8","8,5","2,2",,-,6h38 / 17h22
12,tổng cộng,"36,6","34,4","28,4","20,0","10,8","2,6",,-,6h38 / 17h22
Trạm Hà Giang,,,,,,,,,,
1,khuếch tán,"22,1","21,2","18,7","14,7","9,3","2,9",-,6h36 / 17h24,
1,tổng cộng,"31,1","29,4","24,6","17,8","10,1","2,7",-,6h36 / 17h24,
2,khuếch tán,"22,3","21,9","20,4","17,5","12,7","5,6",-,6h22 / 17h38,
2,tổng cộng,"32,8","31,3","27,3","21,1","13,6","5,3",-,6h22 / 17h38,
3,khuếch tán,"32,4","30,6","25,7","18,9","11,5","4,8",-,6h04 / 17h56,
3,tổng cộng,"42,7","40,2","33,3","24,0","14,1","5,5",-,6h04 / 17h56,
4,khuếch tán,"35,7","33,9","29,1","22,5","15,0","7,7","1,4",-,5h45 / 18h15
4,tổng cộng,"54,7","51,6","43,4","32,2","20,3","9,5","1,5",-,5h45 / 18h15
5,khuếch tán,"35,4","33,7","29,7","24,0","17,3","10,2","3,3",-,5h28 / 18h32
5,tổng cộng,"64,4","60,6","51,7","39,5","26,2","13,9","3,9",-,5h28 / 18h32
6,khuếch tán,"34,9","33,2","29,4","24,1","17,7","10,9","4,2",-,5h20 / 18h40
6,tổng cộng,"53,9","50,9","44,2","34,9","24,5","14,1","5,0",-,5h20 / 18h40
7,khuếch tán,"34,1","32,6","29,1","24,1","18,0","11,2","4,2",-,5h24 / 18h36
7,tổng cộng,"59,9","56,4","48,8","38,2","26,4","14,9","4,9",-,5h24 / 18h36
8,khuếch tán,"34,8","33,2","29,1","23,3","16,4","9,3","2,4",-,5h37 / 18h23
8,tổng cộng,"62,6","59,2","50,6","38,8","25,8","13,4","3,1",-,5h37 / 18h23
9,khuếch tán,"32,4","31,0","27,3","21,8","15,1","7,8","0,5",-,5h56 / 18h04
9,tổng cộng,"59,3","56,4","48,7","37,6","24,9","12,2","0,7",-,5h56 / 18h04
10,khuếch tán,"29,0","27,9","24,5","19,4","12,9","5,6",-,6h15 / 17h45,
10,tổng cộng,"42,5","41,1","37,0","30,3","21,1","9,7",-,6h15 / 17h45,
11,khuếch tán,"26,6","25,3","21,6","16,2","9,7","3,0",-,6h32 / 17h28,
11,tổng cộng,"37,0","35,5","31,2","24,4","15,6","5,2",-,6h32 / 17h28,
12,khuếch tán,"23,6","22,6","19,6","14,9","8,9","2,3",-,6h40 / 17h20,
12,tổng cộng,"32,7","31,0","26,3","19,3","11,1","2,7",-,6h40 / 17h20,
Trạm Tuyên Quang,,,,,,,,,,
1,khuếch tán,"25,1","23,5","20,1","14,7","8,5","2,4",-,6h34 / 17h26,
1,tổng cộng,"34,4","32,3","26,7","18,7","10,2","2,7",-,6h34 / 17h26,
2,khuếch tán,"26,8","25,3","21,2","15,4","9,0","3,2",-,6h20 / 17h40,
2,tổng cộng,"35,8","33,5","27,4","19,0","10,4","3,2",-,6h20 / 17h40,
3,khuếch tán,"31,6","29,8","24,7","17,7","10,4","4,1",-,6h04 / 17h56,
3,tổng cộng,"39,5","37,1","30,7","21,9","12,8","4,9",-,6h04 / 17h56,
4,khuếch tán,"35,6","33,7","28,6","21,7","14,0","6,9","1,1",-,5h46 / 18h14
4,tổng cộng,"48,1","45,3","37,9","28,0","17,4","8,0","1,2",-,5h46 / 18h14
5,khuếch tán,"35,8","34,0","29,7","23,8","16,8","9,7","3,0",-,5h30 / 18h30
5,tổng cộng,"67,9","63,7","54,2","41,3","27,3","14,3","3,9",-,5h30 / 18h30
6,khuếch tán,"35,0","33,3","29,5","24,1","17,7","10,8","4,0",-,5h22 / 18h38
6,tổng cộng,"59,5","56,2","48,8","38,5","26,8","15,4","5,3",-,5h22 / 18h38
7,khuếch tán,"33,8","32,2","28,8","23,8","17,7","11,0","3,9",-,5h26 / 18h34
7,tổng cộng,"65,4","61,5","52,9","41,2","28,2","15,6","4,9",-,5h26 / 18h34
8,khuếch tán,"33,9","32,4","28,7","23,4","16,8","9,7","2,5",-,5h39 / 18h21
8,tổng cộng,"63,2","59,9","51,6","40,2","27,3","14,5","3,4",-,5h39 / 18h21
9,khuếch tán,"32,1","30,8","27,2","21,8","15,2","7,9","0,5",-,5h56 / 18h04
9,tổng cộng,"64,0","60,7","51,9","39,5","25,6","12,1","0,5",-,5h56 / 18h04
10,khuếch tán,"30,2","28,8","24,9","19,2","12,4","5,2",,-,6h15 / 17h45
10,tổng cộng,"55,4","52,4","44,2","32,5","19,5","7,5",,-,6h15 / 17h45
11,khuếch tán,"28,0","26,5","22,3","16,3","9,5","2,9",,-,6h30 / 17h30
11,tổng cộng,"45,8","43,1","35,5","25,0","13,7","3,9",,-,6h30 / 17h30
12,khuếch tán,"25,7","24,3","20,5","14,9","8,5","2,2",,-,6h38 / 17h22
12,tổng cộng,"37,1","34,9","28,8","20,3","11,0","2,6",,-,6h38 / 17h22
Trạm Cao Bằng,,,,,,,,,,
1,khuếch tán,"24,1","22,8","19,4","14,3","8,4","2,3",-,6h36 / 17h24,
1,tổng cộng,"33,2","31,3","26,1","18,6","10,3","2,7",-,6h36 / 17h24,
2,khuếch tán,"25,8","24,5","21,0","15,9","9,9","3,7",-,6h22 / 17h38,
2,tổng cộng,"33,3","31,6","27,0","20,2","12,3","4,6",-,6h22 / 17h38,
3,khuếch tán,"32,1","30,5","26,0","19,7","12,5","5,6",-,6h04 / 17h56,
3,tổng cộng,"40,8","38,5","32,4","23,8","14,5","6,0",-,6h04 / 17h56,
4,khuếch tán,"35,5","33,8","29,2","22,8","15,4","8,0","1,5",-,5h45 / 18h15
4,tổng cộng,"47,3","44,8","38,3","29,3","19,3","9,7","1,7",-,5h45 / 18h15
5,khuếch tán,"35,5","33,8","29,7","24,0","17,2","10,1","3,3",-,5h28 / 18h32
5,tổng cộng,"59,7","56,5","49,1","38,8","27,1","15,4","4,8",-,5h28 / 18h32
6,khuếch tán,"35,7","33,8","29,8","24,1","17,5","10,6","4,0",-,5h20 / 18h40
6,tổng cộng,"64,5","60,6","52,0","40,2","27,3","15,1","5,0",-,5h20 / 18h40
7,khuếch tán,"35,0","33,2","29,2","23,6","17,0","10,2","3,6",-,5h24 / 18h36
7,tổng cộng,"69,6","65,4","56,0","43,3","29,3","16,0","5,1",-,5h24 / 18h36
8,khuếch tán,"34,8","33,1","29,0","23,1","16,2","9,1","2,3",-,5h37 / 18h23
8,tổng cộng,"72,8","68,6","58,1","43,8","28,3","14,1","3,1",-,5h37 / 18h23
9,khuếch tán,"32,3","31,0","27,2","21,7","15,0","7,7","0,5",-,5h56 / 18h04
9,tổng cộng,"66,6","63,1","53,8","40,6","26,0","12,1","0,6",-,5h56 / 18h04
10,khuếch tán,"29,6","28,3","24,7","19,2","12,5","5,3",-,6h15 / 17h45,
10,tổng cộng,"52,0","49,4","42,0","31,5","19,5","7,7",-,6h15 / 17h45,
11,khuếch tán,"26,3","25,0","21,6","16,3","10,0","3,2",-,6h32 / 17h28,
11,tổng cộng,"46,7","43,8","35,9","25,0","13,4","3,6",-,6h32 / 17h28,
12,khuếch tán,"24,4","23,2","20,0","15,1","9,0","2,3",-,6h40 / 17h20,
12,tổng cộng,"39,8","37,3","30,3","20,6","10,5","2,2",-,6h40 / 17h20,
Trạm Lạng Sơn,,,,,,,,,,
1,khuếch tán,"25,8","24,5","20,7","15,2","8,8","2,5",-,6h34 / 17h26,
1,tổng cộng,"34,6","32,7","27,6","20,1","11,6","3,3",-,6h34 / 17h26,
2,khuếch tán,"27,8","26,2","22,0","15,9","9,3","3,3",-,6h20 / 17h40,
2,tổng cộng,"35,3","33,2","27,4","19,3","10,8","3,5",-,6h20 / 17h40,
3,khuếch tán,"31,4","29,7","24,9","18,3","11,2","4,7",-,6h04 / 17h56,
3,tổng cộng,"36,9","34,7","28,8","20,7","12,1","4,8",-,6h04 / 17h56,
4,khuếch tán,"35,1","33,3","28,6","22,0","14,7","7,5","1,3",-,5h46 / 18h14
4,tổng cộng,"47,9","45,1","37,9","28,1","17,6","8,2","1,2",-,5h46 / 18h14
5,khuếch tán,"35,2","33,5","29,4","23,8","17,1","10,0","3,2",-,5h30 / 18h3
5,tổng cộng,"70,1","65,8","56,1","42,8","28,3","14,9","4,1",-,5h30 / 18h3
6,khuếch tán,"34,8","33,1","29,4","24,2","17,8","11,0","4,1",-,5h22 / 18h38
6,tổng cộng,"59,4","56,0","48,3","37,7","25,9","14,5","4,8",-,5h22 / 18h38
7,khuếch tán,"33,9","32,3","28,8","23,9","17,8","11,0","3,9",-,5h25 / 18h35
7,tổng cộng,"65,6","61,8","53,3","41,7","28,7","16,1","5,2",-,5h25 / 18h35
8,khuếch tán,"35,2","33,5","29,3","23,3","16,3","9,1","2,2",-,5h39 / 18h21
8,tổng cộng,"42,5","40,5","35,5","28,4","20,1","11,3","2,8",-,5h39 / 18h21
9,khuếch tán,"31,5","30,3","27,0","22,0","15,6","8,3","0,5",-,5h56 / 18h04
9,tổng cộng,"65,1","61,9","53,2","40,9","26,9","13,0","0,7",-,5h56 / 18h04
10,khuếch tán,"29,8","28,5","24,8","19,3","12,6","5,4",-,6h15 / 17h45,
10,tổng cộng,"55,6","52,7","44,6","33,1","20,2","8,0",-,6h15 / 17h45,
11,khuếch tán,"27,7","26,2","22,2","16,4","9,7","3,1",-,16h30 / 17h30,
11,tổng cộng,"49,8","46,7","38,4","26,8","14,5","4,0",-,16h30 / 17h30,
12,khuếch tán,"26,1","24,6","20,7","15,0","8,5","2,1",-,6h38 / 17h22,
12,tổng cộng,"39,3","36,9","30,2","21,0","11,1","2,5",-,6h38 / 17h22,
Trạm Bắc Kạn,,,,,,,,,,
1,khuếch tán,"24,9","23,6","19,9","14,6","8,4","2,3",-,6h36 / 17h24,
1,tổng cộng,"33,9","32,1","27,0","19,6","11,2","3,0",-,6h36 / 17h24,
2,khuếch tán,"27,2","25,6","21,5","15,6","9,1","3,1",-,6h21 / 17h39,
2,tổng cộng,"36,2","34,1","28,1","19,8","11,1","3,6",-,6h21 / 17h39,
3,khuếch tán,"31,2","29,5","24,8","18,2","11,1","4,6",-,6h04 / 17h56,
3,tổng cộng,"39,7","37,4","31,0","22,3","13,1","5,1",-,6h04 / 17h56,
4,khuếch tán,"34,9","33,1","28,5","22,0","14,7","7,5","1,3",-,5h45 / 18h15
4,tổng cộng,"48,9","46,1","38,8","28,8","18,1","8,5","1,3",-,5h45 / 18h15
5,khuếch tán,"35,3","33,6","29,6","24,0","17,3","10,2","3,3",-,5h29 / 18h31
5,tổng cộng,"66,2","62,2","53,1","40,6","26,9","14,2","4,0",-,5h29 / 18h31
6,khuếch tán,"34,8","33,1","29,5","24,3","17,9","11,1","4,3",-,5h20 / 18h40
6,tổng cộng,"59,7","56,2","48,5","37,9","26,1","14,8","5,1",-,5h20 / 18h40
7,khuếch tán,"34,0","32,4","28,9","24,0","17,9","11,1","4,1",-,5h24 / 18h36
7,tổng cộng,"63,5","59,8","51,7","40,5","28,0","15,8","5,2",-,5h24 / 18h36
8,khuếch tán,"33,7","32,3","28,7","23,5","17,0","9,9","2,7",-,5h38 / 18h22
8,tổng cộng,"63,0","59,5","50,7","38,7","25,5","13,1","3,0",-,5h38 / 18h22
9,khuếch tán,"31,3","30,1","26,8","21,8","15,5","8,2","0,5",-,5h56 / 18h04
9,tổng cộng,"63,4","60,3","51,9","39,9","26,2","12,7","0,7",-,5h56 / 18h04
10,khuếch tán,"29,5","28,2","24,6","19,1","12,5","5,3",-,6h15 / 17h45,
10,tổng cộng,"54,4","51,6","43,7","32,4","19,8","7,7",-,6h15 / 17h45,
11,khuếch tán,"27,2","25,8","21,9","16,1","9,5","2,9",-,6h32 / 17h28,
11,tổng cộng,"46,0","43,2","35,4","24,7","13,3","3,6",-,6h32 / 17h28,
12,khuếch tán,"25,5","24,1","20,3","14,6","8,2","1,9",-,6h40 / 17h20,
12,tổng cộng,"38,4","36,1","29,5","20,4","10,7","2,3",-,6h40 / 17h20,
Trạm Thái Nguyên,,,,,,,,,,
1,khuếch tán,"25,5","24,1","20,4","14,9","8,6","2,5",,-,6h34 / 17h26
1,tổng cộng,"35,6","33,5","27,6","19,4","10,6","2,8",,-,6h34 / 17h26
2,khuếch tán,"26,9","25,4","21,2","15,4","9,0","3,2",,-,6h02 / 17h04
2,tổng cộng,"35,8","33,5","27,4","19,0","10,4","3,2",,-,6h02 / 17h04
3,khuếch tán,"30,7","28,9","24,0","17,2","10,1","4,0",,-,6h04/ 17h56
3,tổng cộng,"38,3","36,0","29,8","21,3","12,4","4,8",,-,6h04/ 17h56
4,khuếch tán,"35,0","33,1","28,1","21,3","13,8","6,7","1,1",-,5h46 / 18h14
4,tổng cộng,"47,6","44,8","37,5","27,7","17,2","7,9","1,2",-,5h46 / 18h14
5,khuếch tán,"35,9","34,1","29,8","23,8","16,9","9,7","3,0",-,5h30 / 18h30
5,tổng cộng,"66,8","62,7","53,3","40,7","26,8","14,0","3,8",-,5h30 / 18h30
6,khuếch tán,"35,4","33,7","29,7","24,1","17,4","10,5","3,8",-,5h22 / 18h38
6,tổng cộng,"61,8","58,2","50,1","39,0","26,7","14,9","4,9",-,5h22 / 18h38
7,khuếch tán,"33,7","32,1","28,7","23,8","17,7","10,9","3,9",-,5h26 / 18h34
7,tổng cộng,"65,4","61,5","52,9","41,2","28,2","15,6","4,9",-,5h26 / 18h34
8,khuếch tán,"33,9","32,4","28,7","23,4","16,8","9,7","2,5",-,5h39 / 18h21
8,tổng cộng,"62,9","59,5","51,3","40,0","27,1","14,5","3,4",-,5h39 / 18h21
9,khuếch tán,"31,9","30,6","27,0","21,7","15,1","7,9","0,4",-,5h56 / 18h04
9,tổng cộng,"65,3","61,9","53,0","40,3","26,1","12,4","0,6",-,5h56 / 18h04
10,khuếch tán,"29,8","28,5","24,6","19,0","12,2","5,1",-,6h15 / 17h45,
10,tổng cộng,"59,5","56,3","47,4","34,9","21,0","8,1",-,6h15 / 17h45,
11,khuếch tán,"27,8","26,3","22,2","16,2","9,5","2,9",-,6h30 / 17h30,
11,tổng cộng,"47,8","45,3","38,3","28,2","16,6","5,2",-,6h30 / 17h30,
12,khuếch tán,"25,9","24,6","20,7","15,1","8,6","2,2",-,6h38 / 17h22,
12,tổng cộng,"40,3","37,9","31,3","22,0","11,9","2,8",-,6h38 / 17h22,
Trạm Việt Trì,,,,,,,,,,
1,khuếch tán,"25,3","24,0","20,3","14,9","8,6","2,5",-,6h34 / 17h26,
1,tổng cộng,"34,3","32,5","27,3","19,9","11,5","3,3",-,6h34 / 17h26,
2,khuếch tán,"26,9","25,4","21,3","15,5","9,1","3,2",-,6h20 / 17h40,
2,tổng cộng,"36,0","33,9","27,9","19,7","11,1","3,6",-,6h20 / 17h40,
3,khuếch tán,"30,5","28,8","24,2","17,8","10,8","4,5",-,6h04 / 17h56,
3,tổng cộng,"38,8","36,5","30,3","21,7","12,7","5,0",-,6h04 / 17h56,
4,khuếch tán,"34,9","33,1","28,5","21,9","14,6","7,4","1,3",-,5h46 / 17h14
4,tổng cộng,"50,5","47,6","40,0","29,7","18,6","8,7","1,3",-,5h46 / 17h14
5,khuếch tán,"35,1","33,4","29,4","23,7","17,0","10,0","3,2",-,5h30 / 18h30
5,tổng cộng,"71,1","66,7","56,8","43,4","28,7","15,0","4,1",-,5h30 / 18h30
6,khuếch tán,"34,9","33,2","29,4","24,1","17,6","10,7","4,0",-,5h22 / 18h38
6,tổng cộng,"62,3","58,9","51,1","40,3","28,1","16,1","5,5",-,5h22 / 18h38
7,khuếch tán,"33,5","31,9","28,5","23,6","17,6","10,8","3,9",-,5h26 / 18h34
7,tổng cộng,"68,1","64,1","55,3","43,3","29,8","16,7","5,3",-,5h26 / 18h34
8,khuếch tán,"33,8","32,3","28,7","23,4","17,0","9,8","2,5",-,5h39 / 18h21
