Địa danh,"Đỉnh gia tốc nền tham chiếu, agR",Địa danh,"Đỉnh gia tốc nền tham chiếu, agR"
Huyện Anh Sơn,"0,10×g",Huyện Quỳnh Lưu,"0,10×g"
Huyện Con Cuông,"0,10×g",Huyện Quỳ Châu,"0,08×g"
Huyện Diễn Châu,"0,10×g",Huyện Tân Kỳ,"0,10×g"
Huyện Đô Lương,"0,12×g",Huyện Thanh Chương,"0,12×g"
Huyện Hưng Nguyên,"0,12×g",Huyện Tương Dương,"0,08×g"
Huyện Kỳ Sơn,"0,06×g",Huyện Yên Thành,"0,10×g"
Huyện Nghi Lộc,"0,12×g",,
42. Ninh Bình,,,
Thành phố Ninh Bình,"0,12×g",Huyện Kim Sơn,"0,12×g"
Thị xã Tam Điệp,"0,12×g",Huyện Nho Quan,"0,12×g"
Huyện Gia Viễn,"0,08×g",Huyện Yên Khánh,"0,12×g"
Huyện Hoa Lư,"0,10×g",Huyện Yên Mô,"0,12×g"
43. Ninh Thuận,,,
Thành phố Phan Rang-Tháp Chàm,"0,02×g",Huyện Ninh Sơn,"0,02×g"
Huyện Bác Ái,"0,02×g",Huyện Thuận Bắc,"0,02×g"
Huyện Ninh Hải,"0,02×g",Huyện Thuận Nam,"0,02×g"
Huyện Ninh Phước,"0,02×g",,
44. Phú Thọ,,,
Thành phố Việt Trì,"0,14×g",Huyện Tam Nông,"0,12×g"
Thị xã Phú Thọ,"0,14×g",Huyện Tân Sơn,"0,08×g"
Huyện Cẩm Khê,"0,12×g",Huyện Thanh Ba,"0,14×g"
Huyện Đoan Hùng,"0,12×g",Huyện Thanh Sơn,"0,08×g"
Huyện Hạ Hòa,"0,12×g",Huyện Thanh Thủy,"0,08×g"
Huyện Lâm Thao,"0,14×g",Huyện Yên Lập,"0,08×g"
Huyện Phù Ninh,"0,14×g",,
45. Phú Yên,,,
Thành phố Tuy Hòa,"0,10×g",Huyện Sông Hinh,"0,08×g"
Thị xã Sông Cầu,"0,10×g",Huyện Sơn Hòa,"0,10×g"
Huyện Đông Hòa,"0,08×g",Huyện Tây Hòa,"0,10×g"
Huyện Đồng Xuân,"0,10×g",Huyện Tuy An,"0,10×g"
Huyện Phú Hòa,"0,10×g",,
46. Quảng Bình,,,
Thành phố Đồng Hới,"0,04×g",Huyện Minh Hóa,"0,06×g"
Thị xã Ba Đồn,"0,08×g",Huyện Quảng Ninh,"0,04×g"
Huyện Bố Trạch,"0,06×g",Huyện Quảng Trạch,"0,08×g"
Huyện Lệ Thủy,"0,04×g",Huyện Tuyên Hóa,"0,08×g"
47. Quảng Nam,,,
Thành phố Tam Kỳ,"0,08×g",Huyện Nam Giang,"0,04×g"
Thành phố Hội An,"0,04×g",Huyện Nông Sơn,"0,06×g"
Thị xã Điện Bàn,"0,04×g",Huyện Núi Thành,"0,06×g"
Huyện Bắc Trà My,"0,06×g",Huyện Phú Ninh,"0,08×g"
Huyện Duy Xuyên,"0,04×g",Huyện Phước Sơn,"0,10×g"
Huyện Đại Lộc,"0,04×g",Huyện Quế Sơn,"0,08×g"
Huyện Đông Giang,"0,04×g",Huyện Tây Giang,"0,06×g"
Huyện Hiệp Đức,"0,10×g",Huyện Thăng Bình,"0,06×g"
Huyện Nam Trà My,"0,06×g",Huyện Tiên Phước,"0,06×g"
48. Quảng Ngãi,,,
Thành phố Quảng Ngãi,"0,08×g",Huyện Nghĩa Hành,"0,06×g"
Huyện Ba Tơ,"0,10×g",Huyện Sơn Hà,"0,06×g"
Huyện Bình Sơn,"0,08×g",Huyện Sơn Tây,"0,04×g"
Huyện Đức Phổ,"0,10×g",Huyện Sơn Tịnh,"0,08×g"
Huyện Lý Sơn,"0,08×g",Huyện Tây Trà,"0,08×g"
Huyện Minh Long,"0,06×g",Huyện Trà Bồng,"0,08×g"
Huyện Mộ Đức,"0,06×g",Huyện Tư Nghĩa,"0,08×g"
49. Quảng Ninh,,,
Thành phố Hạ Long,"0,10×g",Thành phố Móng Cái,"0,06×g"
Thành phố Cẩm Phả,"0,08×g",Thành phố Uông Bí,"0,12×g"
Thị xã Quảng Yên,"0,12×g",Huyện Đông Triều,"0,12×g"
Huyện Ba Chẽ,"0,10×g",Huyện Hải Hà,"0,04×g"
Huyện Bình Liêu,"0,04×g",Huyện Tiên Yên,"0,06×g"
Huyện Cô Tô,"0,02×g",Huyện Vân Đồn,"0,06×g"
Huyện Đầm Hà,"0,04×g",,
50. Quảng Trị,,,
Thành phố Đông Hà,"0,04×g",Huyện Gio Linh,"0,04×g"
Thị xã Quảng Trị,"0,04×g",Huyện Hướng Hóa,"0,04×g"
Huyện Cam Lộ,"0,04×g",Huyện Hải Lăng,"0,04×g"
Huyện Cồn Cỏ,"0,06×g",Huyện Triệu Phong,"0,04×g"
Huyện Đa Krông,"0,04×g",Huyện Vĩnh Linh,"0,04×g"
51. Sóc Trăng,,,
Thành phố Sóc Trăng,"0,02×g",Huyện Long Phú,"0,04×g"
Thị xã Vĩnh Châu,"0,02×g",Huyện Mỹ Tú,"0,02×g"
Thị xã Ngã Năm,"0,02×g",Huyện Mỹ Xuyên,"0,02×g"
Huyện Châu Thành,"0,02×g",Huyện Thạnh Trị,"0,02×g"
Huyện Cù Lao Dung,"0,04×g",Huyện Trần Đề,"0,02×g"
Huyện Kế Sách,"0,04×g",,
52. Sơn La,,,
Thành phố Sơn La,"0,18×g",Huyện Quỳnh Nhai,"0,12×g"
Huyện Bắc Yên,"0,08×g",Huyện Sông Mã,"0,14×g"
Huyện Mai Sơn,"0,18×g",Huyện Sốp Cộp,"0,12×g"
Huyện Mộc Châu,"0,22×g",Huyện Thuận Châu,"0,22×g"
Huyện Mường La,"0,10×g",Huyện Vân Hồ,"0,20×g"
Huyện Phù Yên,"0,08×g",Huyện Yên Châu,"0,20×g"
53. Tây Ninh,,,
Thành phố Tây Ninh,"0,04×g",Huyện Hòa Thành,"0,04×g"
Huyện Bến Cầu,"0,06×g",Huyện Tân Biên,"0,04×g"
Huyện Châu Thành,"0,04×g",Huyện Tân Châu,"0,04×g"
Huyện Dương Minh Châu,"0,04×g",Huyện Trảng Bàng,"0,04×g"
Huyện Gò Dầu,"0,04×g",,
54. Thái Bình,,,
Thành phố Thái Bình,"0,12×g",Huyện Quỳnh Phụ,"0,06×g"
Huyện Đông Hưng,"0,08×g",Huyện Thái Thụy,"0,06×g"
Huyện Hưng Hà,"0,12×g",Huyện Tiền Hải,"0,08×g"
Huyện Kiến Xương,"0,10×g",Huyện Vũ Thư,"0,12×g"
55. Thái Nguyên,,,
Thành phố Thái Nguyên,"0,08×g",Huyện Đồng Hỷ,"0,10×g"
Thành phố Phổ Yên,"0,08×g",Huyện Phú Bình,"0,06×g"
Thị xã Sông Công,"0,08×g",Huyện Phú Lương,"0,10×g"
Huyện Đại Từ,"0,12×g",Huyện Võ Nhai,"0,04×g"
Huyện Định Hóa,"0,04×g",,
56. Thanh Hóa,,,
Thành phố Thanh Hóa,"0,14×g",Huyện Hậu Lộc,"0,20×g"
Thành phố Sầm Sơn,"0,12×g",Huyện Hoằng Hóa,"0,20×g"
Thị xã Bỉm Sơn,"0,18×g",Huyện Lang Chánh,"0,12×g"
Thị xã Nghi Sơn,"0,12×g",Huyện Mường Lát,"0,14×g"
Huyện Bá Thước,"0,18×g",Huyện Nga Sơn,"0,16×g"
Huyện Cẩm Thủy,"0,20×g",Huyện Ngọc Lặc,"0,12×g"
Huyện Đông Sơn,"0,12×g",Huyện Như Thanh,"0,12×g"
Huyện Hà Trung,"0,22×g",Huyện Như Xuân,"0,10×g"
Huyện Nông Cống,"0,12×g",Huyện Triệu Sơn,"0,12×g"
Huyện Quan Hóa,"0,14×g",Huyện Thường Xuân,"0,12×g"
Huyện Quan Sơn,"0,10×g",Huyện Thọ Xuân,"0,12×g"
Huyện Quảng Xương,"0,12×g",Huyện Vĩnh Lộc,"0,22×g"
Huyện Thạch Thành,"0,20×g",Huyện Yên Định,"0,18×g"
Huyện Thiệu Hóa,"0,14×g",,
57. Thừa Thiên - Huế,,,
Thành phố Huế,"0,06×g",Huyện Phong Điền,"0,06×g"
Thị xã Hương Thủy,"0,08×g",Huyện Phú Lộc,"0,04×g"
Thị xã Hương Trà,"0,06×g",Huyện Phú Vang,"0,08×g"
Huyện A Lưới,"0,04×g",Huyện Quảng Điền,"0,06×g"
Huyện Nam Đông,"0,08×g",,
58. Tiền Giang,,,
Thành phố Mỹ Tho,"0,02×g",Huyện Chợ Gạo,"0,02×g"
Thị xã Cai Lậy,"0,02×g",Huyện Gò Công Tây,"0,04×g"
Thị xã Gò Công,"0,04×g",Huyện Gò Công Đông,"0,04×g"
Huyện Cái Bè,"0,02×g",Huyện Tân Phước,"0,02×g"
Huyện Cai Lậy,"0,02×g",Huyện Tân Phú Đông,"0,04×g"
Huyện Châu Thành,"0,02×g",,
