Tỉnh,TP/Huyện/ Thị xã,Trạm,Năm bắt đầu,Năm kết thúc,Tháng
Tỉnh,TP/Huyện/ Thị xã,Trạm,Năm bắt đầu,Năm kết thúc,1,2,3,4,5,6,7,8,9,10,11,12
18.Khánh Hoà,Trường Sa,1979,2007,"1,10","0,55","0,97","2,48","5,55","5,72","5,41","5,45","5,14","5,10","5,66","3,34"
19.Kiên Giang,TP. Phú Quốc,Phú Quốc,1979,2007,"0,52","0,83","3,00","9,31","12,97","8,59","7,03","6,48","6,24","8,10","5,21","1,07"
19.Kiên Giang,TP. Rạch Giá,Rạch Giá,1979,2007,"0,66","0,76","3,14","9,97","18,28","12,52","10,79","10,24","11,76","13,93","9,59","2,07"
20.Kon Tum,TP. Kon Tum,Kon Tum,1979,2007,"0,00","0,79","4,55","9,90","14,10","8,00","7,38","6,14","9,14","4,17","0,48","0,00"
21.Điện Biên,TP. Điện Biên Phủ,Điện Biên,1965,2007,"0,63","1,95","4,79","9,67","12,74","11,74","10,40","10,49","7,05","3,47","0,58","0,23"
22.Lai Châu,TP. Lai Châu,Lai Châu,1965,2007,"1,26","2,88","6,16","12,49","14,63","14,16","11,74","10,37","6,33","2,74","0,88","0,28"
23.Lâm Đồng,TP. Đà Lạt,Đà Lạt,1979,2007,"0,14","1,24","5,00","12,17","15,07","10,03","8,76","6,38","9,90","6,48","1,83","0,21"
24.Lạng Sơn,Tràng Định,Thất khê,1965,2007,"0,26","0,93","2,44","5,60","8,42","11,74","12,74","11,33","5,67","2,28","0,35","0,12"
24.Lạng Sơn,TP. Lạng Sơn,Lạng Sơn,1965,2007,"0,23","1,00","2,28","6,26","10,60","13,67","15,09","15,16","8,72","3,42","0,49","0,07"
25.Lào Cai,TP. Sa Pa,Sa Pa,1965,2007,"0,70","2,42","5,58","12,42","11,51","10,65","10,21","10,35","5,12","2,02","0,47","0,58"
26.Long An,Mộc Hoá,1979,2007,"1,14","1,07","2,76","10,55","19,76","15,21","16,00","11,79","16,90","18,83","11,48","3,28"
27.Nam Định,TP. Nam Định,Nam Định,1965,2007,"0,14","0,47","1,84","5,33","10,42","11,53","11,30","13,37","9,79","4,16","0,51","0,12"
28.Nghệ An,Quỳnh Lưu,1965,2007,"0,09","0,84","1,77","6,49","11,65","10,12","9,09","13,58","10,86","5,21","0,56","0,09"
28.Nghệ An,TP. Vinh,Vinh,1965,2007,"0,16","0,91","2,53","5,93","10,09","8,28","6,37","11,05","10,70","5,19","0,58","0,02"
29.Ninh Bình,TP. Ninh Bình,Ninh Bình,1965,2007,"0,12","0,49","1,79","5,07","10,05","11,72","11,14","12,98","8,86","3,95","0,42","0,07"
30.Phú Thọ,TX. Phú Thọ,Phú Hộ,1965,2007,"0,21","1,30","3,28","8,30","13,67","15,77","16,72","16,49","9,12","4,40","0,58","0,16"
31.Phú Yên,TP. Tuy Hoà,Tuy Hoà,1979,2007,"0,03","0,00","0,28","2,28","6,90","4,76","4,00","4,03","7,55","5,00","1,31","0,03"
32.Quảng Bình,TP. Đồng Hới,Đồng Hới,1965,2007,"0,09","0,67","2,14","7,23","11,37","6,49","5,23","8,14","11,67","6,65","0,81","0,00"
33.Quảng Ngãi,TP. Quảng Ngãi,Quảng Ngãi,1979,2007,"0,00","0,07","0,97","4,07","12,21","11,90","11,24","10,59","11,17","5,83","1,24","0,10"
34.Quảng Ninh,Tiên Yên,1965,2007,"0,21","0,79","2,05","5,42","10,65","15,09","16,40","16,44","9,95","3,30","0,33","0,05"
34.Quảng Ninh,TP. Hạ Long,Bãi Cháy,1965,2007,"0,16","0,79","1,74","4,63","8,26","11,93","12,79","16,37","9,65","3,23","0,49","0,05"
35.Quảng Trị,TP. Đông Hà,Đông Hà,1965,2007,"0,00","0,53","2,35","6,40","10,74","6,42","5,51","7,65","9,86","4,88","0,65","0,05"
35.Quảng Trị,Vĩnh Linh,Cồn Cỏ,1979,2007,"0,03","0,55","1,48","4,72","10,24","5,52","4,59","7,24","9,45","4,34","0,62","0,00"
36.Sóc Trăng,TP. Sóc Trăng,Sóc Trăng,1979,2007,"0,03","0,14","1,34","5,97","17,00","13,62","12,31","10,41","11,28","9,79","3,45","0,52"
37.Sơn La,Mộc Châu,1965,2007,"0,35","1,37","4,23","12,07","16,37","15,14","16,58","15,16","8,42","3,40","0,60","0,07"
37.Sơn La,TP. Sơn La,Sơn La,1965,2007,"0,74","2,21","5,42","12,65","15,21","15,86","14,88","14,07","8,30","3,58","0,60","0,26"
38.Tây Ninh,TP. Tây Ninh,Tây Ninh,1979,2007,"0,79","0,86","2,97","9,66","16,48","14,41","12,97","11,10","15,97","14,59","7,14","1,45"
39.Thái Bình,TP. Thái Bình,Thái Bình,1965,2007,"0,12","0,42","1,65","3,86","8,44","8,63","8,79","11,28","8,79","3,35","0,47","0,07"
40.Thái Nguyên,TP. Thái Nguyên,Thái Nguyên,1965,2007,"0,28","1,14","2,63","6,14","11,88","15,14","16,16","15,72","9,09","3,44","0,51","0,19"
41.Thanh Hoá,Quan Hoá,Hồi Xuân,1965,2007,"0,19","0,79","3,37","10,23","16,21","17,12","17,53","15,37","8,84","3,47","0,47","0,33"
41.Thanh Hoá,TP. Thanh Hoá,Thanh Hoá,1965,2007,"0,12","0,47","1,65","6,21","11,79","11,28","10,00","13,81","10,19","4,77","0,47","0,07"
42.Thừa Thiên- Huế,TP. Huế,Huế,1979,2007,"0,00","0,79","4,00","10,07","16,38","12,24","10,45","11,72","12,55","6,59","1,07","0,00"
43.Tiền Giang,TP. Mỹ Tho,Mỹ Tho,1979,2007,"0,28","0,31","1,21","5,34","15,72","13,69","12,76","10,38","13,03","13,55","6,48","2,17"
44.TP. Đà Nẵng,Q. Hải Châu,Đà Nẵng,1979,2007,"0,00","0,45","1,72","5,93","12,62","9,90","9,66","9,97","10,59","6,45","1,17","0,07"
45.TP. Hà Nội,Q. Đống Đa,Láng,1965,2007,"0,23","1,05","2,58","6,81","12,79","15,51","15,28","13,49","8,42","3,42","0,56","0,07"
45.TP. Hà Nội,TX. Sơn Tây,Sơn Tây,1965,2007,"0,23","1,14","2,72","8,19","14,56","16,07","16,16","14,12","8,47","3,60","0,44","0,14"
46.TP. Hải Phòng,Bạch Long Vĩ,1965,2007,"0,14","0,56","1,42","3,23","5,47","6,26","5,67","9,95","7,28","2,47","0,42","0,02"
46.TP. Hải Phòng,Q. Kiến An,Phủ Liễn,1965,2007,"0,19","0,72","1,77","5,51","11,40","13,67","13,09","16,21","10,91","3,93","0,63","0,07"
47.Tuyên Quang,TP. Tuyên Quang,Tuyên Quang,1965,2007,"0,19","1,51","3,05","7,79","12,02","14,67","16,37","16,23","8,95","3,56","0,51","0,16"
48.Yên Bái,TP. Yên Bái,Yên Bái,1965,2007,"0,37","1,72","3,93","10,53","12,63","15,02","15,93","15,77","9,02","4,00","0,63","0,28"
48.Yên Bái,Văn Chấn,1965,2007,"0,33","1,88","4,79","12,05","12,95","13,95","15,12","14,23","8,23","3,05","0,67","0,16"
