Địa danh,Vùng,"W0 (daN/m2) 3 s, 20 năm","V3s,50 (m/s) 3 s, 50 năm","V10m,50 (m/s) 10 phút, 50 năm"
Huyện Lương Tài (các địa danh hành chính còn lại),II,95,44,31
12. Bến Tre,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
13. Bình Dương,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
14. Bình Định,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện An Lão, Hoài Ân, Tây Sơn, Vân Canh và Vĩnh Thạnh)",III,125,50,36
"Huyện An Lão (xã An Toàn, xã An Vinh, xã An Nghĩa)",II,95,44,31
Huyện An Lão (các địa danh hành chính còn lại),III,125,50,36
"Huyện Hoài Ân (xã Dak Mang, xã Bok Tới, xã Ân Nghĩa, xã Ân Sơn)",II,95,44,31
Huyện Hoài Ân (các địa danh hành chính còn lại),III,125,50,36
"Huyện Tây Sơn (xã Bình Thuận, xã Tây An, xã Tây Vinh)",III,125,50,36
Huyện Tây Sơn (các địa danh hành chính còn lại),II,95,44,31
"Huyện Vân Canh (thị trấn Vân Canh, xã Canh Liên, xã Canh Thuận, xã Canh Hòa)",II,95,44,31
Huyện Vân Canh (các địa danh hành chính còn lại),III,125,50,36
Huyện Vĩnh Thạnh,II,95,44,31
15. Bình Phước,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
16. Bình Thuận,
Thành phố Phan Thiết,II,95,44,31
"Huyện Bắc Bình (xã Bình An, xã Bình Tân, xã Hải Ninh, xã Phan Điền, xã Phan Lâm, xã Phan Sơn, xã Phan Thanh, xã Phan Tiến, xã Sông Bình, xã Sông Lũy)",I,65,36,26
Huyện Bắc Bình (các địa danh hành chính còn lại),II,95,44,31
Huyện Đức Linh,I,65,36,26
Huyện Hàm Tân,II,95,44,31
"Huyện Hàm Thuận Bắc (thị trấn Phú Long, xã Hồng Sơn, xã Hàm Liêm, xã Hàm Đức, xã Hàm Hiệp, xã Hàm Thắng)",II,95,44,31
Huyện Hàm Thuận Bắc (các địa danh hành chính còn lại),I,65,36,26
"Huyện Hàm Thuận Nam (xã Hàm Cần, xã Hàm Thạnh, xã Mương Mán, xã Mỹ Thạnh)",I,65,36,26
Huyện Hàm Thuận Nam (các địa danh hành chính còn lại),II,95,44,31
Huyện Phú Quý,III,125,50,36
Huyện Tánh Linh,I,65,36,26
Huyện Tuy Phong,II,95,44,31
Thị xã La Gi,II,95,44,31
17. Cà Mau,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
18. Cao Bằng,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
19. Đắk Lắk,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện M'Đrắk)",I,65,36,26
"Huyện M'Đrắk (thị trấn M'Đrắk, xã Cư M'ta, xã Ea Pil, xã Krông Á, xã Krông Jing)",I,65,36,26
Huyện M'Đrắk (các địa danh hành chính còn lại),II,95,44,31
20. Đắk Nông,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
21. Điện Biên,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
22. Đồng Nai,
Thành phố Biên Hòa,II,95,44,31
Thành phố Long Khánh,II,95,44,31
Huyện Cẩm Mỹ,II,95,44,31
Huyện Định Quán,I,65,36,26
Huyện Long Thành,II,95,44,31
Huyện Nhơn Trạch,II,95,44,31
Huyện Tân Phú,I,65,36,26
Huyện Thống Nhất,II,95,44,31
Huyện Trảng Bom,I,65,36,26
Huyện Vĩnh Cửu,I,65,36,26
Huyện Xuân Lộc,II,95,44,31
23. Đồng Tháp,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Châu Thành và Lai Vung)",I,65,36,26
Huyện Châu Thành,II,95,44,31
"Huyện Lai Vung (xã Phong Hòa, xã Long Thắng, xã Tân Hòa, xã Định Hòa)",II,95,44,31
Huyện Lai Vung (các địa danh hành chính còn lại),I,65,36,26
24. Gia Lai,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
25. Hà Giang,
Thành phố Hà Giang,II,95,44,31
Huyện Bắc Mê,II,95,44,31
Huyện Bắc Quang,II,95,44,31
Huyện Đồng Văn,I,65,36,26
Huyện Hoàng Su Phì,II,95,44,31
Huyện Mèo Vạc,I,65,36,26
Huyện Quang Bình,II,95,44,31
Huyện Quản Bạ,I,65,36,26
Huyện Vị Xuyên,I,65,36,26
Huyện Xín Mần,I,65,36,26
Huyện Yên Minh,I,65,36,26
26. Hà Nam,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện Bình Lục)",III,125,50,36
Huyện Bình Lục,IV,155,55,39
27. Hà Tĩnh,
Thành phố Hà Tĩnh,IV,155,55,39
Thị xã Hồng Lĩnh,IV,155,55,39
Thị xã Kỳ Anh,IV,155,56,40
Huyện Can Lộc,IV,155,55,39
"Huyện Cẩm Xuyên (thị trấn Thiên Cầm, xã Cẩm Dương, xã Yên Hòa, xã Cẩm Lĩnh, xã Cẩm Lộc, xã Cẩm Nhượng, xã Cẩm Trung)",IV,155,56,40
Huyện Cẩm Xuyên (các địa danh hành chính còn lại),III,125,50,36
Huyện Đức Thọ,II,95,44,31
"Huyện Hương Khê (xã Hương Lâm, xã Hương Liên, xã Hương Trà, xã Hương Vĩnh, xã Hương Xuân, xã Phú Gia, xã Phú Phong)",I,65,36,26
Huyện Hương Khê (các địa danh hành chính còn lại),II,95,44,31
"Huyện Hương Sơn (thị trấn Tây Sơn, xã Quang Diệm, xã Sơn Hàm, xã Sơn Hồng, xã Sơn Kim 1, xã Sơn Kim 2, xã Sơn Lĩnh, xã Sơn Tây)",I,65,36,26
Huyện Hương Sơn (các địa danh hành chính còn lại),II,95,44,31
Huyện Kỳ Anh,IV,155,56,40
Huyện Nghi Xuân,IV,155,56,40
Huyện Thạch Hà,IV,155,56,40
Huyện Vũ Quang,II,95,44,31
Huyện Lộc Hà,IV,155,56,40
28. Hải Dương,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện Tứ Kỳ)",III,125,50,36
Huyện Tứ Kỳ,IV,155,56,40
29. Hậu Giang,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
30. Hòa Bình,
"Tất cả các thành phố, huyện (không bao gồm các huyện Đà Bắc, Lạc Thủy, Mai Châu và Yên Thủy)",II,95,44,31
"Huyện Đà Bắc (thị trấn Đà Bắc, xã Tân Minh, xã Vầy Nưa, xã Cao Sơn, xã Tú Lý, xã Hiền Lương, xã Toàn Sơn)",II,95,44,31
Huyện Đà Bắc (các địa danh hành chính còn lại),I,65,36,26
"Huyện Lạc Thuỷ (thị trấn Ba Hàng Đồi, xã Hưng Thi, xã Phú Thành, xã Thống Nhất, xã Phú Lão,)",II,95,44,31
Huyện Lạc Thuỷ (các địa danh hành chính còn lại),III,125,50,36
"Huyện Mai Châu (thị trấn Mai Châu, xã Mai Hạ, xã Mai Hịch, xã Nà Phòn, xã Sơn Thủy, xã Tân Thành, xã Đồng Tân, xã Thành Sơn, xã Vạn Mai)",I,65,36,26
Huyện Mai Châu (các địa danh hành chính còn lại),II,95,44,31
"Huyện Yên Thuỷ (xã Lạc Lương, xã Lạc Thịnh, xã Lạc Sĩ, xã Đa Phúc)",II,95,44,31
Huyện Yên Thuỷ (các địa danh hành chính còn lại),III,125,50,36
31. Hưng Yên,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Văn Giang và Văn Lâm)",III,125,50,36
Huyện Văn Giang,II,95,44,31
Huyện Văn Lâm,II,95,44,31
32. Khánh Hòa,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Khánh Sơn, Khánh Vĩnh và Trường Sa)",II,95,44,31
Huyện Khánh Sơn,I,65,36,26
Huyện Khánh Vĩnh,I,65,36,26
Huyện Trường Sa (tất cả các đảo thuộc quần đảo Trường Sa),IV,155,56,40
33. Kiên Giang,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Kiên Hải và thành phố Phú Quốc)",II,95,44,31
"Thành phố Phú Quốc (bao gồm đảo Phú Quốc và các đảo khác thuộc thành phố Phú Quốc), Huyện Kiên Hải",III,125,50,36
34. Kon Tum,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
35. Lai Châu,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
36. Lạng Sơn,
"Tất cả các thành phố, huyện (không bao gồm các huyện Đình Lập và Hữu Lũng)",I,65,36,26
"Huyện Đình Lập (xã Bắc Lãng, xã Châu Sơn, xã Đồng Thắng, xã Lâm Ca)",II,95,44,31
Huyện Đình Lập (các địa danh hành chính còn lại),I,65,36,26
"Huyện Hữu Lũng (xã Đồng Tiến, xã Hoà Thắng, xã Minh Hòa, xã Minh Sơn, xã Thanh Sơn, xã Vân Nham)",II,95,44,31
Huyện Hữu Lũng (các địa danh hành chính còn lại),I,65,36,26
37. Lào Cai,
"Tất cả các thành phố, huyện (không bao gồm thị xã Sa Pa và các huyện Bát Xát và Văn Bàn)",I,65,36,26
Thị xã Sa Pa,II,95,44,31
"Huyện Bát Xát (Thị trấn Bát Xát, xã Quang Kim, xã Tòng Sành)",I,65,36,26
Huyện Bát Xát (các địa danh hành chính còn lại),II,95,44,31
"Huyện Văn Bàn (xã Dần Thàng, xã Dương Qùy, xã Hòa Mạc, xã Khánh Yên Hạ, xã Khánh Yên Trung, xã Minh Lương, xã Nậm Chầy, xã Nậm Mả, xã Nậm Xây, xã Nậm Xé, xã Thẩm Dương)",II,95,44,31
Huyện Văn Bàn (các địa danh hành chính còn lại),I,65,36,26
38. Lâm Đồng,
"Tất cả các thành phố, thị xã, huyện",I,65,36,26
39. Long An,
Thành phố Tân An,II,95,44,31
Huyện Bến Lức,II,95,44,31
Huyện Cần Giuộc,II,95,44,31
Huyện Cần Đước,II,95,44,31
Huyện Châu Thành,II,95,44,31
Huyện Đức Hoà,I,65,36,26
Huyện Đức Huệ,I,65,36,26
Huyện Mộc Hoá,I,65,36,26
Huyện Tân Hưng,I,65,36,26
Huyện Tân Thạnh,I,65,36,26
Huyện Tân Trụ,II,95,44,31
Huyện Thạnh Hoá,I,65,36,26
Huyện Thủ Thừa,II,95,44,31
Huyện Vĩnh Hưng,I,65,36,26
Thị xã Kiến Tường,I,65,36,26
40. Nam Định,
"Tất cả các thành phố, thị xã, huyện",IV,155,56,40
41. Nghệ An,
Thành phố Vinh,III,125,50,36
Thị xã Cửa Lò,IV,155,56,40
Thị xã Hoàng Mai,IV,155,56,40
Thị xã Thái Hoà,III,125,50,36
Huyện Con Cuông,I,65,36,26
Huyện Diễn Châu,III,125,50,36
Huyện Đô Lương,II,95,44,31
Huyện Hưng Nguyên,III,125,50,36
Huyện Kỳ Sơn,I,65,36,26
Huyện Nam Đàn,II,95,44,31
"Huyện Nghi Lộc (xã Nghi Thiết, xã Khánh Hợp, xã Nghi Quang, xã Nghi Tiến)",IV,155,56,40
Huyện Nghi Lộc (các địa danh hành chính còn lại),III,125,50,36
"Huyện Nghĩa Đàn (xã Nghĩa An, xã Nghĩa Đức, xã Nghĩa Hiếu, xã Nghĩa Hồng, xã Nghĩa Hưng, xã Nghĩa Khánh, xã Nghĩa Thành, xã Nghĩa Mai, xã Nghĩa Minh, xã Nghĩa Thịnh, xã Nghĩa Yên)",II,95,44,31
Huyện Nghĩa Đàn (các địa danh hành chính còn lại),III,125,50,36
Huyện Quế Phong,I,65,36,26
"Huyện Quỳ Châu (xã Châu Bính, xã Châu Hạnh, xã Châu Hội, xã Châu Nga)",II,95,44,31
Huyện Quỳ Châu (các địa danh hành chính còn lại),I,65,36,26
Huyện Quỳ Hợp,II,95,44,31
"Huyện Quỳnh Lưu (xã An Hoà, xã Quỳnh Nghĩa, xã Quỳnh Bảng, xã Quỳnh Đôi, xã Quỳnh Long, xã Quỳnh Lương, xã Quỳnh Minh, xã Quỳnh Thanh, xã Quỳnh Thuận, xã Quỳnh Yên, xã Tiến Thuỷ)",IV,155,56,40
Huyện Quỳnh Lưu (các địa danh hành chính còn lại),III,125,50,36
Huyện Tân Kỳ,II,95,44,31
Huyện Thanh Chương,II,95,44,31
Huyện Tương Dương,I,65,36,26
"Huyện Yên Thành (xã Đô Thành, xã Đức Thành, xã Hậu Thành, xã Hoa Thành, xã Hồng Thành, xã Hợp Thành, xã Lăng Thành, xã Mã Thành, xã Nhân Thành, xã Phú Thành, xã Phúc Thành, xã Sơn Thành, xã Tân Thành, xã Thọ Thành, xã Tiến Thành, xã Văn Thành, xã Viên Thành, xã Vĩnh Thành)",III,125,50,36
Huyện Yên Thành (các địa danh hành chính còn lại),II,95,44,31
42. Ninh Bình,
Thành phố Ninh Bình,IV,155,56,40
Thành phố Tam Điệp,IV,155,56,40
Huyện Gia Viễn,III,125,50,36
Huyện Hoa Lư,III,125,50,36
Huyện Kim Sơn,IV,155,56,40
Huyện Nho Quan,III,125,50,36
Huyện Yên Khánh,IV,155,56,40
Huyện Yên Mô,IV,155,56,40
43. Ninh Thuận,
Thành phố Phan Rang - Tháp Chàm,II,95,44,31
Huyện Bác Ái,I,65,36,26
Huyện Ninh Hải,II,95,44,31
Huyện Ninh Phước,II,95,44,31
Huyện Ninh Sơn,I,65,36,26
Huyện Thuận Bắc,II,95,44,31
Huyện Thuận Nam,II,95,44,31
44. Phú Thọ,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
45. Phú Yên,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Đồng Xuân, Sông Hinh, Sơn Hoà và Tây Hòa)",III,125,50,36
"Huyện Đồng Xuân (xã Phú Mỡ, xã Xuân Phước, xã Xuân Quang 1, xã Xuân Quang 2, xã Xuân Quang 3)",II,95,44,31
Huyện Đồng Xuân (các địa danh hành chính còn lại),III,125,50,36
Huyện Sông Hinh,II,95,44,31
Huyện Sơn Hoà,II,95,44,31
"Huyện Tây Hòa (xã Hòa Mỹ Đông, xã Hòa Mỹ Tây, xã Hoà Phong, xã Hòa Phú, xã Sơn Thành Đông, xã Sơn Thành Tây)",II,95,44,31
Huyện Tây Hòa (các địa danh hành chính còn lại),III,125,50,36
46. Quảng Bình,
Thành phố Đồng Hới,III,125,50,36
Thị xã Ba Đồn,III,125,50,36
"Huyện Bố Trạch (xã Bắc Trạch, xã Đại Trạch, xã Đồng Trạch, xã Đức Trạch, xã Hải Phú, xã Lý Trạch, xã Nhân Trạch, xã Thanh Trạch, xã Trung Trạch)",III,125,50,36
Huyện Bố Trạch (các địa danh hành chính còn lại),II,95,44,31
"Huyện Lệ Thuỷ (xã Ngư Thủy Bắc, xã Ngư Thủy, xã Sen Thủy)",III,125,50,36
Huyện Lệ Thuỷ (các địa danh hành chính còn lại),II,95,44,31
Huyện Minh Hoá,I,65,36,26
Huyện Quảng Ninh,III,125,50,36
Huyện Quảng Trạch,III,125,50,36
Huyện Tuyên Hoá,II,95,44,31
47. Quảng Nam,
Thành phố Tam Kỳ,III,125,50,36
Thành phố Hội An,III,125,50,36
Thị xã Điện Bàn,III,125,50,36
"Huyện Bắc Trà My (xã Trà Bui, xã Trà Đốc, xã Trà Sơn, xã Trà Tân)",I,65,36,26
Huyện Bắc Trà My (các địa danh hành chính còn lại),II,95,44,31
"Huyện Duy Xuyên (xã Duy Sơn, xã Duy Phú, xã Duy Hòa, xã Duy Trinh, xã Duy Châu, xã Duy Thu, xã Duy Tân)",II,95,44,31
Huyện Duy Xuyên (các địa danh hành chính còn lại),III,125,50,36
Huyện Đại Lộc,II,95,44,31
Huyện Đông Giang,I,65,36,26
Huyện Hiệp Đức,II,95,44,31
Huyện Nam Giang,I,65,36,26
Huyện Nam Trà My,I,65,36,26
Huyện Nông Sơn,II,95,44,31
Huyện Núi Thành,III,125,50,36
Huyện Phước Sơn,I,65,36,26
"Huyện Quế Sơn (thị trấn Hương An, xã Quế Mỹ, xã Quế Phú, xã Quế Xuân 1, xã Quế Xuân 2)",III,125,50,36
Huyện Quế Sơn (các địa danh hành chính còn lại),II,95,44,31
Huyện Tây Giang,I,65,36,26
Huyện Thăng Bình,III,125,50,36
Huyện Tiên Phước,II,95,44,31
"Huyện Phú Ninh (Thị trấn Phú Thịnh, xã Tam Lãnh, xã Tam Lộc, xã Tam Dân, xã Tam Vinh, xã Tam Phước, xã Tam Thái)",II,95,44,31
Huyện Phú Ninh (các địa danh hành chính còn lại),III,125,50,36
48. Quảng Ngãi,
"Tất cả các thành phố, huyện (không bao gồm các huyện Ba Tơ, Minh Long, Sơn Hà, Sơn Tây và Trà Bồng)",III,125,50,36
Huyện Ba Tơ,II,95,44,31
Huyện Minh Long,II,95,44,31
Huyện Sơn Hà,II,95,44,31
"Huyện Sơn Tây (xã Sơn Lập, xã Sơn Tân, xã Sơn Màu, xã Sơn Tinh)",II,95,44,31
Huyện Sơn Tây (các địa danh hành chính còn lại),I,65,36,26
Huyện Trà Bồng,II,95,44,31
49. Quảng Ninh,
"Tất cả các thành phố, thị xã, huyện (không bao gồm thị xã Quảng Yên, các huyện Bình Liêu, Cô Tô và Vân Đồn)",III,125,50,36
Huyện Bình Liêu,II,95,44,31
Huyện Cô Tô,IV,155,56,40
Thị xã Quảng Yên,IV,155,56,40
Huyện Vân Đồn,IV,155,56,40
50. Quảng Trị,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Gio Linh, Hướng Hóa, Triệu Phong, Vĩnh Linh và Cồn Cỏ)",II,95,44,31
Huyện Gio Linh,III,125,50,36
Huyện Hướng Hoá,I,65,36,26
Huyện Triệu Phong,III,125,50,36
Huyện Vĩnh Linh,III,125,50,36
Huyện Cồn Cỏ,III,125,50,36
51. Sóc Trăng,
"Tất cả thành phố, thị xã, huyện",II,95,44,31
52. Sơn La,
"Tất cả thành phố, thị xã, huyện",II,95,44,31
53. Tây Ninh,
"Tất cả thành phố, thị xã, huyện",I,65,36,26
54. Thái Bình,
"Tất cả thành phố, thị xã, huyện",IV,155,56,40
55. Thái Nguyên,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Đồng Hỷ, Phú Lương và Võ Nhai)",II,95,44,31
"Huyện Đồng Hỷ (thị trấn Trại Cau, xã Hợp Tiến, xã Nam Hoà, xã Tân Lợi)",II,95,44,31
Huyện Đồng Hỷ (các địa danh hành chính còn lại),I,65,36,26
Huyện Phú Lương,I,65,36,26
Huyện Võ Nhai,I,65,36,26
56. Thanh Hóa,
Thành phố Thanh Hóa,IV,155,56,40
Thành phố Sầm Sơn,IV,155,56,40
Thị xã Bỉm Sơn,IV,155,56,40
Thị xã Nghi Sơn,IV,155,56,40
Huyện Bá Thước,II,95,44,31
Huyện Cẩm Thuỷ,II,95,44,31
Huyện Đông Sơn,III,125,50,36
"Huyện Hà Trung (xã Hà Hải, xã Lĩnh Toại, xã Hà Vinh)",IV,155,56,40
Huyện Hà Trung (các địa danh hành chính còn lại),III,125,50,36
Huyện Hậu Lộc,IV,155,56,40
Huyện Hoằng Hoá,IV,155,56,40
Huyện Lang Chánh,II,95,44,31
Huyện Mường Lát,I,65,36,26
Huyện Nga Sơn,IV,155,56,40
Huyện Ngọc Lặc,II,95,44,31
Huyện Như Thanh,II,95,44,31
Huyện Như Xuân,II,95,44,31
Huyện Nông Cống,III,125,50,36
"Huyện Quảng Xương (thị trấn Tân Phong, xã Quảng Hòa, xã Quảng Hợp, xã Quảng Long, xã Quảng Ngọc, xã Quảng Phúc, xã Quảng Trạch, xã Quảng Văn, xã Quảng Yên)",III,125,50,36
Huyện Quảng Xương (các địa danh hành chính còn lại),IV,155,56,40
Huyện Quan Hoá,I,65,36,26
Huyện Quan Sơn,I,65,36,26
Huyện Thạch Thành,III,125,50,36
"Huyện Thọ Xuân (thị trấn Lam Sơn, Thị trấn Sao Vàng, xã Quảng Phú, xã Thọ Diên, xã Thọ Hải, xã Thọ Lâm, xã Thọ Lập, xã Thuận Minh, xã Thọ Xương, xã Xuân Bái, xã Xuân Hòa, xã Xuân Hưng, xã Xuân Phú, xã Xuân Thiên, xã Xuân Tín)",II,95,44,31
Huyện Thọ Xuân (các địa danh hành chính còn lại),III,125,50,36
Huyện Thường Xuân,II,95,44,31
Huyện Thiệu Hóa,III,125,50,36
Huyện Triệu Sơn,III,125,50,36
Huyện Vĩnh Lộc,III,125,50,36
Huyện Yên Định,III,125,50,36
57. Thừa Thiên Huế,
Thành phố Huế,II,95,44,31
Thị xã Hương Thủy,II,95,44,31
Thị xã Hương Trà,II,95,44,31
Huyện A Lưới,I,65,36,26
"Huyện Nam Đông (xã Thượng Lộ, xã Hương Phú, xã Hương Lộc)",II,95,44,31
Huyện Nam Đông (các địa danh hành chính còn lại),I,65,36,26
"Huyện Phú Lộc (thị trấn Phú Lộc, xã Lộc Điền, xã Lộc Trì, xã Xuân Lộc, xã Lộc Hoà, xã Lộc Bổn, xã Lộc An, xã Lộc Sơn, xã Vinh Hưng)",II,95,44,31
Huyện Phú Lộc (các địa danh hành chính còn lại),III,125,50,36
Huyện Phú Vang,III,125,50,36
Huyện Phong Điền,III,125,50,36
Huyện Quảng Điền,III,125,50,36
58. Tiền Giang,
"Tất cả thành phố, thị xã, huyện",II,95,44,31
59. Trà Vinh,
"Tất cả thành phố, thị xã, quận, huyện",II,95,44,31
60. Tuyên Quang,
Thành phố Tuyên Quang,II,95,44,31
Huyện Chiêm Hoá,II,95,44,31
Huyện Hàm Yên,II,95,44,31
Huyện Na Hang,II,95,44,31
Huyện Sơn Dương,I,65,36,26
Huyện Yên Sơn,II,95,44,31
Huyện Lâm Bình,II,95,44,31
61. Vĩnh Long,
"Tất cả thành phố, thị xã, huyện",II,95,44,31
62. Vĩnh Phúc,
"Tất cả thành phố, thị xã, huyện",II,95,44,31
63. Yên Bái,
Thành phố Yên Bái,II,95,44,31
Thị xã Nghĩa Lộ,II,95,44,31
Huyện Lục Yên,I,65,36,26
Huyện Mù Căng Chải,II,95,44,31
Huyện Trạm Tấu,II,95,44,31
Huyện Trấn Yên,II,95,44,31
"Huyện Văn Chấn (thị trấn Nông trường Liên Sơn, xã Cát Thịnh, xã Gia Hội, xã Nậm Búng, xã Nậm Lành, xã Nghĩa Sơn, xã Sơn Lương, xã Sơn Thịnh, xã Tú Lệ)",II,95,44,31
Huyện Văn Chấn (các địa danh hành chính còn lại),I,65,36,26
Huyện Văn Yên,I,65,36,26
Huyện Yên Bình,II,95,44,31
