Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
61. Bãi Cháy,"66,9","73,4","77,3","76,1","70,7","71,7","71,7","72,4","67,3","63,5","59,6","60,6","69,3"
62. Cửa Ông,"68,1","74,9","78,2","75,6","69,8","71,0","70,8","71,2","67,0","63,7","61,2","61,8","69,4"
63. Tiên Yên,"66,6","73,1","76,8","74,8","69,4","70,1","70,1","69,2","64,4","61,4","58,4","59,9","67,9"
64. Móng Cái,"67,5","73,3","77,9","77,6","74,3","75,4","75,2","73,9","68,0","63,8","59,3","60,1","70,4"
65. Phù Liễn,"70,0","77,1","81,0","79,7","72,6","72,4","72,5","74,9","71,3","66,2","61,9","63,0","71,9"
66. Hòn Dấu,"70,8","78,0","81,9","81,2","76,2","77,1","76,4","76,9","73,6","69,3","65,6","65,4","74,4"
67. Bạch Long Vĩ,"75,5","81,5","83,4","82,7","80,6","80,2","77,0","77,7","76,5","73,3","70,0","70,7","77,4"
68. Ba Vì,"69,1","71,3","73,3","72,5","66,8","65,7","66,5","67,8","65,0","62,8","60,1","60,4","66,9"
69. Hà Đông,"70,2","73,9","75,5","76,7","69,8","65,7","65,9","70,5","69,0","64,9","62,3","61,6","69,0"
70. Sơn Tây,"68,1","71,0","73,3","73,2","66,7","65,9","66,8","69,0","65,6","63,0","60,6","61,6","67,2"
71. Hà Nội,"65,4","70,0","73,2","72,3","65,1","64,5","64,5","67,7","64,4","61,1","59,5","59,7","65,6"
72. Chí Linh,"66,7","72,0","76,8","76,2","70,0","69,8","70,2","72,6","67,0","62,9","58,6","58,7","68,5"
73. Hải Dương,"68,5","74,3","79,0","78,5","71,0","68,1","69,0","72,7","69,6","64,7","60,1","61,3","69,7"
74. Hưng Yên,"70,2","75,6","79,0","77,7","69,7","67,8","67,7","72,0","70,1","65,9","62,6","63,7","70,2"
75. Nam Định,"70,8","76,8","79,6","76,9","69,0","65,8","65,2","70,1","69,8","66,4","63,9","64,8","69,9"
76. Văn Lý,"76,1","82,0","85,3","84,0","77,7","74,1","72,4","73,5","72,0","69,8","67,1","69,0","75,2"
77. Thái Bình,"71,4","78,1","81,4","78,9","71,4","67,6","67,0","71,7","70,8","66,7","63,2","65,4","71,1"
78. Hà Nam,"70,4","74,6","78,5","76,5","69,2","65,6","65,8","71,2","70,0","65,4","62,7","62,7","69,4"
79. Ninh Bình,"71,5","76,8","79,8","77,0","69,5","66,8","65,7","70,8","70,1","66,2","64,7","65,0","70,3"
80. Nho Quan,"69,1","73,5","76,4","73,8","65,3","64,7","64,5","70,0","68,5","64,7","61,7","62,2","67,9"
81. Yên Định,"69,9","74,6","77,9","76,0","67,6","65,6","65,5","71,3","70,3","66,2","62,2","62,9","69,3"
82. Bái Thượng,"71,5","75,3","76,8","74,4","67,6","66,8","65,6","69,9","69,1","66,5","63,6","63,9","69,5"
83. Như Xuân,"73,8","77,7","79,1","76,3","65,4","63,2","62,3","69,4","70,5","67,7","64,2","64,8","69,2"
84. Tĩnh Gia,"75,9","80,2","81,9","79,6","71,1","65,0","63,5","70,0","73,0","70,6","67,6","68,7","72,3"
85. Thanh Hoá,"71,3","76,3","79,0","76,5","67,6","64,4","63,6","68,4","68,7","66,8","63,9","64,1","69,2"
86. Hồi Xuân,"66,6","67,0","66,2","63,6","58,8","62,6","63,3","66,9","66,6","65,3","63,3","62,4","64,2"
87. Quỳ Châu,"69,4","71,2","69,1","64,7","60,8","63,4","62,7","67,2","67,8","67,1","65,3","65,3","66,1"
88. Quỳ Hợp,"67,0","68,5","66,7","62,0","56,9","57,8","57,0","62,5","64,2","62,8","60,6","60,4","62,1"
89. Tây Hiếu,"70,6","73,3","72,5","67,0","59,8","61,6","59,2","65,1","68,6","68,1","65,7","65,7","66,2"
90. Quỳnh Lưu,"72,7","77,0","78,7","77,6","68,4","64,1","62,6","68,6","70,9","68,9","66,5","67,0","70,4"
91. Con Cuông,"71,2","74,0","71,7","66,6","60,4","59,3","56,7","62,8","67,7","68,9","67,4","66,8","66,2"
92. Đô Lương,"72,4","75,8","75,9","72,1","63,1","60,7","58,6","64,9","68,7","68,6","66,9","67,2","67,9"
93. Tương Dương,"61,7","61,2","58,4","56,2","55,0","57,4","56,9","62,0","63,6","64,4","63,7","60,0","60,1"
94. Vinh,"76,1","80,3","79,3","74,1","63,5","58,0","55,5","62,2","69,9","72,4","70,8","70,6","69,4"
95. Hương Khê,"74,4","77,5","74,4","68,3","59,6","57,9","54,2","61,2","67,7","72,0","71,8","72,3","67,5"
96. Kỳ Anh,"80,0","83,1","79,9","73,9","65,6","60,3","58,3","62,4","71,3","75,8","75,4","76,6","71,9"
97. Hà Tĩnh,"78,8","82,7","80,3","74,7","64,9","59,8","56,6","62,6","70,6","74,8","75,1","75,4","71,4"
98. Tuyên Hoá,"76,4","77,2","71,7","64,2","58,6","57,3","55,5","59,9","68,1","74,0","74,9","75,5","68,0"
99. Ba Đồn,"76,1","78,7","76,4","71,8","63,7","57,9","55,6","60,1","69,3","73,8","74,5","74,8","69,9"
100. Đồng Hới,"76,2","78,8","77,1","72,3","62,6","56,9","54,1","58,8","67,9","73,6","73,3","74,1","68,9"
101. Cồn Cỏ,"82,2","85,5","84,7","81,6","74,2","66,5","63,7","66,1","73,1","76,6","77,9","79,3","76,1"
102. Đông Hà,"74,8","76,4","70,8","64,1","57,8","53,2","51,0","55,5","65,0","73,1","74,8","75,6","66,0"
103. Khe Sanh,"74,6","72,4","63,9","60,5","65,4","71,8","72,1","76,0","75,7","78,0","80,0","80,0","72,5"
104. A Lưới,"76,7","75,0","69,2","67,7","67,8","63,9","61,9","64,7","73,2","80,3","84,1","83,3","72,3"
105. Nam Đông,"71,6","69,5","64,0","58,6","56,9","55,1","53,4","55,8","64,6","73,1","76,6","77,1","64,8"
106. Huế,"75,3","75,8","71,4","65,9","60,6","56,4","53,0","55,0","65,3","73,0","75,5","76,6","67,0"
107. Đà Nẵng,"70,5","69,7","67,4","66,3","62,5","59,2","56,6","57,5","65,1","71,5","71,8","73,0","65,9"
108. Tam Kỳ,"71,0","69,5","65,3","63,0","60,2","57,8","55,2","55,2","64,4","71,5","73,3","74,6","65,1"
109. Trà My,"71,4","68,0","61,1","57,7","58,9","59,6","58,0","58,8","65,7","72,7","77,9","78,8","65,7"
110. Ba Tơ,"74,4","70,1","64,8","61,0","62,4","63,1","60,8","60,7","68,5","76,3","79,8","80,3","68,4"
111. Quảng Ngãi,"69,1","67,0","64,0","61,5","59,9","58,0","55,7","56,7","63,3","70,0","73,1","73,2","64,3"
112. Lý Sơn,"79,2","80,5","82,3","81,7","77,1","72,1","69,9","70,1","75,6","80,0","80,0","80,0","77,5"
113. Hoài Nhơn,"68,2","66,2","63,2","62,3","61,6","60,1","57,7","58,0","66,9","71,5","73,4","72,3","65,2"
114. Quy Nhơn,"66,9","66,5","66,8","66,5","64,6","57,8","55,2","53,4","61,6","69,8","72,1","71,3","64,7"
115. Sơn Hoà,"65,1","58,6","52,5","49,9","51,8","55,1","53,8","55,7","61,1","70,7","72,5","69,8","59,6"
116. Tuy Hoà,"70,7","69,2","65,8","63,5","59,2","57,8","56,2","57,2","62,4","72,8","74,7","73,7","65,3"
117. Nha Trang,"66,9","65,9","66,0","65,8","63,2","60,7","59,9","59,6","64,2","70,0","70,2","68,8","65,1"
118. Cam Ranh,"61,8","58,5","58,5","59,5","59,5","58,8","57,0","56,4","62,0","66,9","67,9","65,5","61,0"
119. Trường Sa,"81,9","79,3","75,0","71,1","72,0","76,3","77,8","78,3","77,7","77,8","80,8","83,4","77,6"
120. Phan Thiết,"59,3","59,4","63,3","63,8","64,4","65,5","67,3","66,7","67,8","67,9","61,6","58,1","63,9"
121. Hàm Tân,"61,3","61,4","62,1","64,3","69,3","73,3","75,6","75,8","75,6","73,5","68,0","63,7","68,5"
122. Phú Quý,"71,4","71,2","70,9","71,5","75,3","80,1","80,4","80,8","80,5","79,5","76,9","74,7","76,1"
123. Đắk Tô,"43,5","41,1","42,2","49,0","59,7","71,1","72,5","73,6","68,7","62,8","56,2","49,8","57,7"
124. Kon Tum,"46,2","42,7","41,2","46,7","55,9","65,1","67,1","69,0","65,6","59,8","56,7","52,4","55,7"
125. Pleiku,"50,0","43,3","42,5","49,1","62,9","74,6","76,5","78,2","73,3","66,7","61,4","56,1","61,4"
126. An Khê,"66,5","61,0","54,3","53,5","58,0","62,8","63,2","66,0","66,8","71,8","74,7","73,1","64,3"
127. Ayun Pa,"57,0","51,8","48,3","48,5","56,3","63,5","63,8","66,5","68,1","70,4","67,5","63,3","60,4"
128. M’Đrắk,"68,7","61,0","53,4","52,0","54,9","60,0","58,9","60,6","62,9","71,0","75,6","76,0","62,9"
129. Buôn Ma Thuột,"51,8","45,5","41,8","45,0","56,4","66,2","68,6","70,5","69,5","66,6","64,3","61,0","58,9"
130. Buôn Hồ,"59,0","50,3","46,1","48,2","58,7","70,1","72,5","75,2","72,5","71,1","70,2","67,6","63,4"
131. Đắk Nông,"48,0","41,2","43,3","50,3","60,5","69,2","70,6","72,6","69,0","65,0","62,0","56,3","59,1"
132. Liên Khương,"47,3","42,7","42,4","50,1","59,6","67,6","67,2","67,7","68,6","69,3","61,6","55,0","58,3"
133. Bảo Lộc,"47,3","45,0","46,6","52,9","60,7","69,6","70,8","74,5","69,1","66,5","60,5","56,0","59,7"
134. Đồng Phú (Đồng Xoài),"44,8","43,0","42,3","48,8","59,0","67,8","69,7","71,4","70,0","66,9","59,2","51,8","58,2"
135. Phước Long,"48,2","47,1","46,5","51,6","60,2","69,1","71,4","73,7","71,8","67,8","59,2","53,0","60,0"
136. Tây Ninh,"46,6","46,0","44,6","48,6","56,3","62,5","64,0","65,0","66,7","64,8","58,4","51,6","56,2"
137. Vũng Tàu,"59,6","61,2","62,0","63,0","64,8","67,9","69,6","70,0","70,5","69,9","65,9","61,5","65,5"
138. Côn Đảo,"69,5","68,9","68,0","66,4","67,5","70,2","70,3","70,7","71,9","73,0","72,6","70,7","70,2"
139. Mộc Hoá,"54,8","52,6","50,3","51,3","60,5","64,7","65,4","66,8","68,7","68,7","63,8","58,0","60,5"
140. Mỹ Tho,"58,3","57,5","56,6","57,1","63,0","68,8","70,8","70,6","70,3","71,0","66,5","61,6","64,3"
141. Cao Lãnh,"61,5","60,3","55,7","56,4","63,4","69,2","69,7","70,7","70,8","71,2","67,9","64,6","65,1"
142. Ba Tri,"64,5","64,8","65,0","65,0","66,2","69,1","70,3","71,8","71,9","73,4","70,3","66,5","68,4"
143. Càng Long,"60,3","59,0","57,6","58,3","65,3","70,1","70,9","72,4","72,7","72,1","68,3","64,7","66,0"
144. Châu Đốc,"56,8","55,9","51,1","51,4","61,9","65,1","65,6","66,9","68,8","68,7","64,6","60,7","61,5"
145. Cần Thơ,"60,3","58,8","56,4","58,4","65,4","71,9","71,4","72,6","72,6","71,5","67,8","64,8","66,1"
146. Sóc Trăng,"56,5","54,3","52,3","54,5","63,4","69,4","70,2","72,2","71,7","70,9","67,3","62,0","64,1"
147. Rạch Giá,"58,8","56,7","55,5","58,6","67,5","73,7","75,9","76,4","74,5","70,2","66,2","62,2","66,4"
148. Phú Quốc,"57,0","59,5","60,7","64,7","71,6","76,1","77,7","79,4","78,9","74,0","63,7","56,6","68,3"
149. Bạc Liêu,"61,1","61,0","61,2","60,9","66,9","71,8","73,3","74,5","75,5","76,0","71,0","66,2","68,3"
150. Cà Mau,"58,5","56,0","53,4","54,4","62,3","68,6","68,3","70,4","69,9","71,0","67,8","62,5","63,6"
