Vùng bờ biển,Thời gian xuất hiện,Tên cơn bão/ áp thấp nhiệt đới,Cấp bão
Quảng Ninh - Thanh Hóa,17/06/1975,NONAME (số 2),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,21/10/1974,DELLA (số 10),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,7/6/1974,DINAH (số 2),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,12/10/1973,RUTH (số 12),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,11/9/1973,MARGE (số 8),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,3/9/1973,LOUISE (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,22/08/1973,KATE (số 6),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,24/08/1972,CORA (số 4),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,12/7/1971,JANE (số 8),Cấp 13: > 133 km/h
Quảng Ninh - Thanh Hóa,1/7/1971,HARRIET (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,5/9/1970,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,21/07/1969,NONAME (số 2),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,22/06/1969,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,1/9/1968,WENDY (số 5),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,9/8/1968,ROSE (số 3),Cấp 13: > 133 km/h
Quảng Ninh - Thanh Hóa,13/10/1967,CLARA (số 8),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,4/9/1967,PATSY (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,1/8/1966,PHILLIS (số 6),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,23/07/1966,ORA (số 5),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,31/08/1965,ROSE (số 7),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,8/7/1965,FREDA (số 3),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,26/06/1964,WINNIE (số 2),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,31/08/1963,FAYE (số 5),Cấp 13: > 133 km/h
Quảng Ninh - Thanh Hóa,10/8/1963,CARMEN (số 4),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,20/07/1963,AGNES (số 3),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,19/09/1962,CHARLOTTE (số 5),Cấp 13: > 133 km/h
Quảng Ninh - Thanh Hóa,7/8/1962,PATSY (số 2),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,7/10/2017,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,11/9/2017,DOKSURI (số 10),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,13/7/2017,TALAS (số 2),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,25/9/2013,WUTIP (số 10),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,27/9/2008,MEKKHALA (số 7),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,13/10/2008,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,27/09/2007,LEKIMA,Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,28/10/2005,KAITAK (số 8),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,15/09/2005,VICENTE (số 6),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,8/9/2003,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,10/9/2002,HAGUPIT (số 4),Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,10/8/2001,USAGI (số 5),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,5/9/2000,WUKONG (số 4),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,15/10/1999,EVE (số 9),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,11/9/1996,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,26/08/1995,LOIS (số 5),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,8/9/1994,LUKE (số 8),Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,12/8/1991,FRED (số 6),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,25/08/1990,BECKY (số 5),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,21/07/1990,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,29/10/1989,BRIAN (số 7),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,8/10/1989,DAN (số 9),Cấp 13: > 133 km/h
Nghệ An - Quảng Bình,13/08/1987,CARY (số 3),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,14/10/1985,DOT (số 9),Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,21/10/1983,LEX (số 11),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,1/10/1983,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,11/10/1982,NANCY (số 9),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,3/9/1980,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,7/8/1979,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,22/09/1978,KIT (số 6),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,3/9/1977,CARLA (số 5),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,24/08/1975,NONAME (số 3),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,5/7/1973,ANITA (số 2),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,30/09/1972,LORNA (số 7),Cấp 11: (103-117) km/h
Nghệ An - Quảng Bình,4/10/1971,ELAINE (số 12),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,10/7/1971,KIM (số 9),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,16/08/1970,NONAME (số 1),Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,8/7/1969,TESS (số 1),Cấp 9: (75 - 88) km/h
Nghệ An - Quảng Bình,30/08/1965,POLLY (số 6),Cấp 6: (39 - 49) km/h
Nghệ An - Quảng Bình,15/08/1965,NADINE (số 5),Cấp 12: (118-133) km/h
Nghệ An - Quảng Bình,3/10/1964,CLARA (số 10),Cấp 13: > 133 km/h
Nghệ An - Quảng Bình,29/09/1964,BILLIE (số 9),Cấp 8: (62 - 74) km/h
Nghệ An - Quảng Bình,25/09/1962,ÁP THẤP NHIỆT ĐỚI 3,Cấp 7: (50 - 61) km/h
Nghệ An - Quảng Bình,22/09/1961,RUBY (số 8),Cấp 10: (89-102) km/h
Nghệ An - Quảng Bình,21/06/1961,CORA (số 2),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,21/7/2017,SONCA (số 4),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,10/9/2016,RAI (số 4),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,13/9/2015,VAMCO (số 3),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,9/10/2013,NARI (số 11),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,16/9/2013,NONAME (số 8),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,24/9/2011,HAITANG (số 4),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,23/9/2009,KETSANA,Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,8/11/2006,CHEBI,Cấp 13: > 133 km/h
Quảng Trị - Quảng Ngãi,25/09/2006,XANGSANE,Cấp 13: > 133 km/h
Quảng Trị - Quảng Ngãi,23/09/2006,ÁP THẤP NHIỆT ĐỚI,Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,6/10/2005,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,16/06/2004,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,5/12/2001,KAJIKI (số 9),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,20/08/2000,KAEMI (số 2),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,29/05/2000,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,2/10/1997,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,21/09/1997,FRITZ (số 4),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,26/10/1995,ZACK (số 11),Cấp 12: (118-133) km/h
Quảng Trị - Quảng Ngãi,5/9/1989,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,22/05/1989,CECIL (số 2),Cấp 10: (89-102) km/h
Quảng Trị - Quảng Ngãi,3/9/1987,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,17/10/1986,GEORGIA (số 8),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,6/10/1986,DOM (số 6),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,12/10/1985,CECIL (số 8),Cấp 12: (118-133) km/h
Quảng Trị - Quảng Ngãi,14/09/1985,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,9/9/1985,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,2/11/1984,AGNES (số 10),Cấp 12: (118-133) km/h
Quảng Trị - Quảng Ngãi,23/09/1984,LYN (số 7),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,29/07/1984,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,7/6/1984,VERNON (số 1),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,24/06/1983,SARAH (số 1),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,4/9/1982,HOPE (số 7),Cấp 9: (75 - 88) km/h
Quảng Trị - Quảng Ngãi,19/09/1979,NANCY (số 7),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,18/09/1978,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,9/8/1978,BONNIE (số 4),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,7/9/1975,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,1/11/1974,FAYE (số 2),Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,13/08/1974,NONAME (số 5),Cấp 9: (75 - 88) km/h
Quảng Trị - Quảng Ngãi,7/10/1973,PATSY (số 11),Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,10/9/1972,FLOSSIE (số 6),Cấp 11: (103-117) km/h
Quảng Trị - Quảng Ngãi,31/08/1972,ELSIE (số 5),Cấp 11: (103-117) km/h
Quảng Trị - Quảng Ngãi,1/6/1972,MAMIE (số 1),Cấp 9: (75 - 88) km/h
Quảng Trị - Quảng Ngãi,19/10/1971,HESTER (số 14),Cấp 12: (118-133) km/h
Quảng Trị - Quảng Ngãi,31/08/1968,BESS (số 6),Cấp 9: (75 - 88) km/h
Quảng Trị - Quảng Ngãi,26/08/1965,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Trị - Quảng Ngãi,20/10/1964,GEORGIA (số 12),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,23/09/1964,ANITA (số 8),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,14/09/1964,ÁP THẤP NHIỆT ĐỚI 4,Cấp 7: (50 - 61) km/h
Quảng Trị - Quảng Ngãi,13/09/1964,TILDA (số 7),Cấp 11: (103-117) km/h
Quảng Trị - Quảng Ngãi,12/9/1962,BABS (số 4),Cấp 8: (62 - 74) km/h
Quảng Trị - Quảng Ngãi,7/10/1961,WILDA (số 10),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,31/10/2017,DAMREY (số 12),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,26/11/2014,SINLAKU (số 3),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,10/11/2013,PUDOL (số 14),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,4/11/2013,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,29/9/2012,GAEMI (số 7),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,27/10/2009,MIRINAE (số 11),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,15/11/2008,NOUL (số 10),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,22/11/2007,HAGIBIS,Cấp 12: (118-133) km/h
Bình Định - Ninh Thuận,29/10/2007,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,2/8/2007,ÁP THẤP NHIỆT ĐỚI,Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,26/10/2006,CIMARON,Cấp 13: > 133 km/h
Bình Định - Ninh Thuận,11/9/2005,ÁP THẤP NHIỆT ĐỚI,Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,9/6/2004,CHANTHU (số 2),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,7/11/2001,LINGLING (số 8),Cấp 11: (103-117) km/h
Bình Định - Ninh Thuận,14/12/1999,NONAME (số 10),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,4/11/1999,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,9/12/1998,FAITH (số 8),Cấp 6: (39 – 49) km/h
Bình Định - Ninh Thuận,23/11/1998,ELVIS (số 6),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,17/11/1998,DAWN (số 5),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,1/11/1996,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,24/10/1995,YVETTE (số 10),Cấp 10: (89-102) km/h
Bình Định - Ninh Thuận,17/10/1994,TERRESA (số 9),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,2/12/1993,LOLA (số 11),Cấp 10: (89-102) km/h
Bình Định - Ninh Thuận,19/11/1993,KYLE (số 10),Cấp 13: > 133 km/h
Bình Định - Ninh Thuận,18/10/1992,COLLEEN (số 7),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,15/10/1992,ANGELA (số 6),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,10/11/1990,NELL (số 3),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,16/10/1990,LOLA (số 8),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,1/10/1990,IRA (số 7),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,7/10/1988,NONAME (số 7),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,14/11/1987,MAURY (số 6),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,6/11/1986,HERBERT (số 9),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,20/11/1985,GORDON (số 11),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,23/10/1984,WARREN (số 9),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,11/10/1984,SUSAN (số 8),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,15/10/1983,KIM (số 10),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,6/10/1983,HERBERT (số 8),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,17/03/1982,MAMIE (số 1),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,12/10/1981,FABIAN (số 7),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,29/10/1980,CARY (số 7),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,4/10/1979,SARAH (số 8),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,31/10/1978,NONAME (số 10),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,28/06/1978,SHIRLEY (số 2),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,2/11/1975,HELLEN (số 7),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,13/11/1974,HESTER (số 14),Cấp 6: (39 - 49) km/h
Bình Định - Ninh Thuận,9/11/1973,SARAH (số 13),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,4/10/1973,OPAL (số 10),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,4/12/1972,THERESE (số 10),Cấp 10: (89-102) km/h
Bình Định - Ninh Thuận,23/04/1971,WANDA (số 1),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,26/10/1970,LOUISE (số 6),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,18/10/1970,KATE (số 5),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,15/11/1968,MAMIE (số 9),Cấp 10: (89-102) km/h
Bình Định - Ninh Thuận,7/11/1967,FREDA (số 10),Cấp 9: (75 - 88) km/h
Bình Định - Ninh Thuận,12/11/1964,KATE (số 15),Cấp 7: (50 - 61) km/h
Bình Định - Ninh Thuận,6/11/1964,JOAN (số 14),Cấp 8: (62 - 74) km/h
Bình Định - Ninh Thuận,1/11/1964,IRIS (số 13),Cấp 8: (62 - 74) km/h
Bình Thuận - Cà Mau,16/11/2017,KIROGI (số 14),Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,3/11/2015,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,26/3/2012,PAKHAR (số 1),Cấp 7: (50 - 61) km/h
Bình Thuận - Cà Mau,18/1/2010,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,22/01/2008,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,13/01/2008,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,4/11/2007,Peipah,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,2/11/2007,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,24/11/2006,Durian,Cấp 13: > 133 km/h
Bình Thuận - Cà Mau,22/10/1999,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
