Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
27. Bắc Hà,"-2,8","-0,2","1,3","0,0","10,7","0,0","15,0","15,0","0,0","5,7","0,0","-3,6","-3,6"
28. Sa Pa,"-4,2","-1,0","-3,5","3,4","8,3","10,8","12,2","13,8","8,7","5,6","1,5","-3,2","-4,2"
29. Mù Căng Chải,"2,8","-0,2","1,3","6,8","11,2","12,8","15,0","15,0","11,7","5,7","1,9","-3,6","-3,6"
30. Văn Chấn,"0,8","5,3","1,4","9,5","15,8","15,9","18,1","19,6","15,3","9,6","5,5","2,0","0,8"
31. Lục Yên,"0,9","5,3","6,0","11,8","15,5","17,6","19,6","20,3","16,3","12,1","7,0","2,7","0,9"
32. Yên Bái,"3,3","6,2","7,9","11,8","16,8","18,6","19,5","21,3","17,3","11,3","8,2","2,9","2,9"
33. Hàm Yên,"-0,6","4,3","5,4","8,9","16,1","17,7","19,5","21,1","15,9","10,2","5,1","0,2","-0,6"
34. Tuyên Quang,"1,8","5,5","7,1","12,2","17,3","18,8","20,2","21,6","17,4","10,5","7,1","2,9","1,8"
35. Chiêm Hóa,"0,5","3,7","5,1","12,2","16,2","18,9","19,4","20,5","15,6","10,5","6,1","0,6","0,5"
36. Chợ Rã,"-0,3","2,9","4,4","9,8","14,3","16,3","18,9","20,1","14,2","9,4","4,1","-0,6","-0,6"
37. Ngân Sơn,"-2,0","0,2","2,8","7,7","12,3","14,0","15,0","15,8","13,2","5,9","1,8","-1,7","-2,0"
38. Bắc Kạn,"-0,9","2,4","4,9","10,4","14,9","16,5","18,7","19,8","13,7","8,5","3,9","-1,0","-1,0"
39. Định Hoá,"0,5","3,2","6,5","11,4","12,5","18,1","20,2","20,5","13,6","8,1","3,9","-0,4","-0,4"
40. Thái Nguyên,"3,0","4,2","7,8","12,6","16,4","19,7","20,5","21,7","16,3","10,2","7,2","3,2","3,0"
41. Minh Đài,"1,5","3,8","5,6","12,4","15,4","15,5","17,7","21,4","15,9","10,9","5,5","0,5","0,5"
42. Phú Hộ,"4,0","5,2","8,1","13,0","16,4","18,6","19,4","21,6","17,1","10,9","7,9","3,6","3,6"
43. Việt Trì,"5,0","5,4","7,7","13,0","16,7","20,1","20,3","21,7","17,3","13,1","9,7","5,3","5,0"
44. Tam Đảo,"0,4","0,0","0,5","7,0","9,5","14,3","16,2","17,3","10,6","9,1","4,5","1,1","0,0"
45. Vĩnh Yên,"3,7","5,0","7,7","13,2","16,3","20,4","21,1","21,8","17,4","13,1","8,9","4,4","3,7"
46. Bảo Lạc,"-0,1","3,5","4,4","9,3","13,6","16,3","18,5","18,5","13,6","8,6","4,6","-0,1","-0,1"
47. Nguyên Bình,"-0,6","0,2","4,1","8,4","13,2","15,4","17,5","16,5","13,6","6,5","3,1","-1,2","-1,2"
48. Trùng Khánh,"-3,0","-0,6","0,8","7,0","11,0","13,9","17,4","16,0","12,1","5,2","1,0","-3,4","-3,4"
49. Cao Bằng,"-0,9","1,8","3,1","8,8","13,7","15,6","18,2","18,7","14,2","7,2","3,6","-1,3","-1,3"
50. Bắc Sơn,"-1,0","1,1","2,6","0,0","13,7","16,2","18,1","19,7","14,0","6,7","2,5","-1,4","-1,4"
51. Hữu Lũng,"-1,1","1,8","3,3","10,4","15,3","18,2","21,0","21,4","14,6","6,9","3,0","-0,8","-1,1"
52. Đình Lập,"-2,8","0,8","0,7","8,0","13,0","14,6","18,3","0,0","13,4","6,3","0,5","-1,9","-2,8"
53. Thất Khê,"-1,8","2,6","3,4","9,6","13,9","16,2","19,2","19,5","14,4","6,3","2,4","-1,4","-1,8"
54. Lạng Sơn,"-2,1","-1,7","0,9","9,3","13,7","15,1","18,6","19,5","13,2","5,5","1,8","-1,5","-2,1"
55. Lục Ngạn,"-1,0","2,6","5,9","11,5","15,8","18,4","21,2","19,1","15,4","8,3","4,3","0,8","-1,0"
56. Sơn Động,"-2,8","2,0","3,0","10,6","15,0","17,1","20,0","21,1","14,5","8,0","3,6","-1,2","-2,8"
57. Bắc Giang,"3,4","4,6","5,9","12,2","16,1","19,2","21,8","21,6","17,2","10,3","6,7","2,8","2,8"
58. Hiệp Hòa,"4,5","5,6","7,2","12,5","16,2","20,3","20,7","21,6","16,8","12,3","8,3","2,4","2,4"
59. Uông Bí,"3,3","5,4","6,1","11,4","16,6","19,6","21,9","21,6","16,7","12,7","6,6","1,1","1,1"
60. Cô Tô,"4,4","5,6","5,8","11,1","2,4","18,8","20,7","21,6","17,7","14,0","10,8","5,0","2,4"
61. Bãi Cháy,"4,6","5,3","7,1","11,4","17,1","18,4","21,4","21,1","16,6","14,0","9,0","1,7","1,7"
62. Cửa Ông,"3,8","4,7","6,0","11,1","16,8","17,9","20,9","20,5","16,6","13,3","8,2","5,0","3,8"
63. Tiên Yên,"0,9","3,5","4,0","10,6","15,1","17,8","20,6","21,2","15,4","9,1","4,9","0,4","0,4"
64. Móng Cái,"1,1","3,3","4,7","10,8","15,1","18,9","21,2","21,7","17,0","11,1","5,0","2,1","1,1"
65. Quảng Hà,"2,5","3,8","4,7","12,0","15,1","18,9","3,6","22,0","17,6","9,5","3,1","0,8","0,8"
66. Phù Liễn,"4,5","4,5","6,1","12,0","15,5","18,4","20,3","21,0","15,6","13,5","9,3","4,9","4,5"
67. Hòn Dấu,"6,2","6,6","7,3","13,0","16,5","19,2","19,9","21,5","16,7","14,9","12,6","6,9","6,2"
68. Bạch Long Vĩ,"7,2","7,3","8,3","11,4","17,3","20,1","21,2","21,9","19,5","15,9","12,3","7,0","7,0"
69. Ba Vì,"4,0","6,1","7,0","12,4","17,1","20,1","19,9","21,0","17,3","12,8","6,7","2,8","2,8"
70. Hà Đông,"5,4","6,1","7,3","13,3","16,5","20,4","22,5","21,9","19,0","12,0","8,4","3,6","3,6"
71. Sơn Tây,"4,6","5,4","4,5","13,0","17,3","20,4","20,7","22,0","17,2","14,4","9,2","5,1","4,5"
72. Hà Nội,"5,4","5,0","7,0","12,9","17,3","20,0","21,0","21,8","16,1","13,9","10,6","5,1","5,0"
73. Chí Linh,"4,7","4,3","6,5","11,5","16,6","20,6","22,3","21,5","16,5","13,9","9,4","5,1","4,3"
74. Hải Dương,"4,1","5,0","6,5","11,9","16,6","18,9","21,5","21,8","16,5","13,0","8,1","3,2","3,2"
75. Hưng Yên,"4,9","5,3","6,6","12,2","16,5","19,4","20,6","21,8","16,5","12,5","8,4","4,8","4,8"
76. Nam Định,"4,6","5,3","6,4","12,3","17,2","19,2","21,3","22,3","16,7","13,3","6,7","5,1","4,6"
77. Văn Lý,"5,6","5,9","6,9","12,3","17,5","19,6","21,0","22,3","16,7","13,9","10,4","5,7","5,6"
78. Thái Bình,"4,1","5,5","6,7","12,8","16,9","19,4","21,9","21,6","16,5","11,6","9,1","4,4","4,1"
79. Hà Nam,"5,2","5,9","6,9","12,2","17,1","19,4","20,8","21,8","16,3","14,0","9,5","5,5","5,2"
80. Ninh Bình,"5,4","5,7","7,5","12,6","17,7","19,1","21,6","21,9","16,8","13,4","10,6","5,8","5,4"
81. Nho Quan,"2,9","1,0","7,1","12,4","16,9","19,2","20,8","21,7","16,7","12,6","8,0","2,4","1,0"
82. Yên Định,"4,2","6,8","7,7","13,0","17,4","20,0","20,2","20,7","17,4","13,8","8,3","2,8","2,8"
83. Bái Thượng,"2,6","5,7","6,9","12,3","16,3","19,9","21,1","21,5","17,3","13,5","8,1","1,0","1,0"
84. Như Xuân,"3,1","6,1","6,9","12,0","16,9","18,9","21,2","21,7","17,2","13,5","8,7","3,8","3,1"
85. Tĩnh Gia,"3,0","6,8","7,8","12,7","16,6","19,5","21,6","21,3","17,1","15,0","9,7","4,3","3,0"
86. Thanh Hoá,"6,0","6,6","7,7","12,9","18,1","19,8","21,4","22,3","17,1","14,8","9,2","5,6","5,6"
87. Hồi Xuân,"2,5","5,8","6,0","12,5","16,3","17,0","20,2","19,6","16,7","10,9","6,4","2,1","2,1"
88. Quỳ Châu,"0,5","4,8","4,2","12,0","15,9","18,5","20,9","20,7","15,5","10,6","4,6","0,4","0,4"
89. Quỳ Hợp,"-0,3","5,0","4,8","12,2","16,2","19,8","21,2","21,3","2,0","10,8","5,5","0,9","-0,3"
90. Tây Hiếu,"0,3","3,7","5,3","11,4","16,1","18,9","20,4","20,3","16,8","11,4","5,6","0,2","0,2"
91. Quỳnh Lưu,"5,7","7,1","8,4","13,3","17,7","19,8","21,4","21,5","17,6","14,4","9,1","5,5","5,5"
92. Con Cuông,"2,0","6,7","5,7","12,6","16,8","19,5","21,3","20,4","16,9","12,4","7,6","2,4","2,0"
93. Đô Lương,"5,0","7,8","7,8","12,5","16,3","19,5","21,6","22,0","17,8","14,4","10,1","5,4","5,0"
94. Tương Dương,"1,7","5,0","4,2","11,1","17,6","18,5","21,0","21,4","16,9","11,9","7,5","2,8","1,7"
95. Vinh,"5,6","7,0","7,3","13,4","17,4","19,7","21,5","21,3","16,7","15,0","9,9","5,2","5,2"
96. Hương Khê,"2,6","6,7","6,1","11,8","15,5","19,0","20,4","20,4","17,2","13,5","0,0","0,0","0,0"
97. Kỳ Anh,"6,0","8,1","7,4","13,2","14,8","19,9","22,2","22,1","17,3","15,2","11,2","6,9","6,0"
98. Hà Tĩnh,"5,6","8,0","8,2","13,3","17,3","19,5","22,0","22,3","17,0","15,1","11,3","6,8","5,6"
99. Tuyên Hoá,"5,0","5,6","7,2","12,4","16,3","18,0","16,7","19,7","17,1","13,9","10,3","5,0","5,0"
100.Ba Đồn,"6,1","9,1","7,8","13,4","18,1","20,4","21,7","21,3","18,0","16,0","9,1","7,6","6,1"
101.Đồng Hới,"6,7","9,6","8,0","13,1","17,2","19,2","21,8","22,0","17,8","15,3","12,0","7,8","6,7"
102.Cồn Cỏ,"10,7","13,3","12,4","17,1","19,3","22,7","22,6","23,5","21,0","18,7","14,2","11,1","10,7"
103.Đông Hà,"10,0","11,1","9,4","15,8","17,4","19,8","22,2","22,7","18,6","16,9","13,0","9,8","9,4"
104.Khe Sanh,"8,2","9,2","8,6","13,5","16,1","17,5","19,4","19,6","17,2","13,7","12,0","7,7","7,7"
105.A Lưới,"5,9","8,2","8,1","12,5","12,7","16,6","17,2","17,4","14,7","10,8","9,2","4,0","5,4"
106.Nam Đông,"10,6","11,0","10,6","16,4","17,0","19,8","20,3","20,4","18,5","15,1","13,1","8,7","8,7"
107.Huế,"10,2","9,5","10,7","15,6","18,7","20,5","21,3","22,2","19,6","16,7","13,3","9,5","9,5"
108.Đà Nẵng,"10,2","13,1","12,7","18,2","20,6","21,6","21,1","20,4","19,8","16,9","14,4","9,2","9,2"
109.Tam Kỳ,"12,3","14,4","14,2","18,2","20,6","22,4","21,3","19,8","20,6","17,6","14,8","12,0","12,0"
110.Trà My,"11,8","12,9","12,9","16,9","17,3","19,3","19,6","20,2","19,0","15,1","12,0","10,4","10,4"
111.Ba Tơ,"11,3","13,6","13,2","18,3","20,2","21,0","18,9","20,9","20,0","16,1","13,7","11,7","11,3"
112.Quảng Ngãi,"12,4","14,1","13,4","18,6","20,1","21,9","21,6","21,4","20,6","17,1","15,6","12,9","12,4"
113.Lý Sơn,"16,9","16,3","15,4","19,8","21,8","23,1","23,0","22,9","21,8","21,2","20,0","17,1","15,4"
114.Hoài Nhơn,"13,2","14,7","14,2","18,8","21,3","22,1","22,3","21,8","21,7","17,6","16,2","14,9","13,2"
115.Quy Nhơn,"16,5","16,9","15,8","20,2","22,9","22,5","22,7","22,8","21,3","19,3","18,6","15,5","15,5"
116.Sơn Hoà,"11,7","12,0","13,7","17,4","21,1","20,7","19,4","0,0","20,9","17,0","14,3","11,8","0,0"
117.Tuy Hoà,"15,2","16,0","16,4","18,8","21,4","21,9","21,7","22,0","20,9","19,3","17,7","15,2","15,2"
118.Nha Trang,"15,4","15,8","17,0","19,4","22,2","22,6","21,6","22,4","21,8","19,8","18,2","15,1","15,4"
119.Cam Ranh,"14,4","16,4","17,1","18,6","21,5","21,1","21,3","21,0","21,6","19,3","18,7","15,7","14,4"
120.Trường Sa,"19,7","21,5","19,2","23,0","21,2","21,9","21,9","20,7","21,8","21,3","20,9","20,4","19,2"
121.Phan Thiết,"15,4","16,3","17,4","19,9","22,0","21,8","20,8","20,6","21,7","20,3","18,2","16,8","15,4"
122.Hàm Tân,"16,1","17,5","17,4","22,1","13,7","19,2","21,2","21,2","20,5","20,5","18,0","17,2","13,7"
123.Phú Quý,"19,7","21,0","20,7","22,7","22,8","22,3","22,8","22,7","21,5","22,1","20,3","20,6","19,7"
124.Đắk Tô,"3,2","7,2","5,0","12,9","15,9","17,3","17,2","18,0","13,1","11,5","7,4","3,6","3,2"
125.Kon Tum,"5,5","7,9","8,7","15,5","18,0","18,8","18,1","18,0","16,3","11,9","8,9","5,9","5,5"
126.Pleiku,"5,6","8,2","7,6","13,0","16,8","16,6","17,0","16,7","15,0","12,0","9,0","6,1","5,6"
127.An Khê,"9,0","11,9","11,9","15,6","18,9","19,0","19,5","19,0","17,8","13,2","13,0","9,8","9,0"
128.Ayun Pa,"10,3","10,2","11,3","18,9","21,0","21,5","20,6","20,9","20,3","16,4","13,6","10,4","10,2"
129.M’Đrắk,"11,6","11,9","12,7","15,1","18,4","18,3","18,6","19,1","18,5","15,4","13,9","12,8","11,6"
130.Buôn Ma Thuột,"9,1","12,5","12,3","13,0","18,4","18,1","18,4","17,9","13,4","15,0","11,5","10,0","9,1"
131.Buôn Hồ,"8,8","11,1","10,1","15,8","16,5","18,0","17,1","17,7","17,8","13,8","10,5","8,5","8,5"
132.Đắk Nông,"7,6","7,8","9,5","13,2","17,0","16,6","17,1","17,0","16,2","11,4","10,7","8,3","7,6"
133.Liên Khương,"6,8","6,4","10,2","12,9","10,9","15,9","15,4","15,3","12,8","10,4","9,1","7,9","6,4"
134.Đà Lạt,"4,5","5,0","6,2","8,9","11,5","12,3","10,0","12,9","12,0","8,7","7,0","5,6","4,5"
135.Bảo Lộc,"5,0","4,5","8,0","12,0","10,4","15,8","15,3","14,5","15,5","13,5","8,9","8,1","4,5"
136.Đồng Phú (Đồng Xoài),"11,9","15,1","16,8","19,2","20,9","21,3","20,9","20,6","20,7","17,8","15,2","14,3","11,9"
137.Phước Long,"13,0","14,6","15,0","19,5","19,8","20,8","20,4","19,9","19,9","16,5","13,2","13,0","13,0"
138.Tây Ninh,"15,3","17,6","16,8","21,4","21,1","19,3","20,8","21,2","20,3","18,5","16,9","13,9","13,9"
139.Vũng Tàu,"18,0","18,4","16,8","21,0","18,7","17,9","20,1","20,8","19,2","19,0","18,8","17,0","17,0"
140.Côn Đảo,"17,9","17,7","19,3","19,2","21,3","21,5","21,7","21,0","21,4","22,2","19,0","19,7","17,7"
141.Mộc Hoá,"16,4","17,4","16,2","22,3","21,7","21,9","21,3","21,6","22,1","21,3","18,7","15,7","15,7"
142.Mỹ Tho,"14,9","15,9","15,7","19,4","21,5","21,2","19,6","21,2","21,2","19,9","17,6","16,1","14,9"
143.Cao Lãnh,"16,1","18,1","15,8","20,0","21,7","21,5","21,9","19,0","13,1","21,3","19,5","16,8","15,8"
144.Ba Tri,"18,0","18,8","17,2","21,5","22,3","21,3","21,4","21,0","22,2","20,9","18,7","17,3","17,2"
145.Càng Long,"17,0","17,8","18,5","21,9","22,4","21,4","21,1","21,7","22,2","21,4","19,6","17,2","17,0"
146.Châu Đốc,"17,0","17,6","17,5","21,0","21,9","20,0","21,1","21,0","21,2","22,2","19,4","16,8","16,8"
147.Cần Thơ,"14,8","17,3","17,5","19,2","18,7","19,0","19,5","19,7","17,8","18,7","17,5","16,5","14,8"
148.Sóc Trăng,"13,9","13,1","16,9","18,8","19,5","21,8","21,3","21,3","19,5","15,7","18,0","13,0","13,0"
149.Rạch Giá,"14,8","16,9","17,1","21,5","22,0","21,9","22,2","21,9","22,5","21,3","19,3","16,3","14,8"
150.Phú Quốc,"16,0","16,0","18,5","21,0","22,5","22,0","21,7","21,6","22,0","20,8","18,3","17,1","16,0"
151.Bạc Liêu,"17,1","17,3","18,8","21,4","22,0","21,7","21,4","21,4","21,8","21,7","13,1","16,4","13,1"
152.Cà Mau,"15,3","16,9","18,2","19,0","21,9","21,3","21,2","21,8","21,7","21,4","20,1","16,8","15,3"
