Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
40. Thái Nguyên,"0,3","0,5","0,7","0,4","0,0","0,0","0,1","0,4","0,5","0,8","0,4","0,9","5,0"
41. Minh Đài,"3,2","1,6","1,3","0,9","1,2","1,7","2,2","1,7","3,4","4,6","5,5","7,1","34,4"
42. Phú Hộ,"1,9","1,2","1,4","0,5","0,0","0,1","0,1","0,3","0,8","1,6","2,5","2,9","13,3"
43. Việt Trì,"1,0","0,7","0,8","0,2","0,0","0,0","0,0","0,2","0,4","0,6","1,2","1,7","6,9"
44. Tam Đảo,"15,9","17,7","19,6","18,1","10,8","5,9","5,5","3,3","3,6","4,3","5,9","10,4","120,9"
45. Vĩnh Yên,"0,7","0,5","0,7","0,1","0,0","0,0","0,0","0,0","0,1","0,3","0,5","1,1","4,0"
46. Bảo Lạc,"6,2","3,8","1,9","1,2","0,6","1,2","2,0","5,0","8,4","8,4","10,5","11,7","61,0"
47. Nguyên Bình,"1,1","0,9","0,9","0,5","0,0","0,0","0,2","0,6","0,6","0,5","0,7","1,5","7,6"
48. Trùng Khánh,"0,5","0,2","0,5","0,2","0,2","0,3","1,0","2,8","2,5","1,0","0,7","1,0","11,0"
49. Cao Bằng,"5,0","2,4","2,0","1,6","1,4","1,8","4,0","9,1","12,5","10,6","11,1","10,7","72,0"
50. Bắc Sơn,"0,9","0,6","0,7","0,3","0,6","0,8","2,1","5,0","7,1","4,4","3,5","1,9","27,9"
51. Hữu Lũng,"2,3","1,4","1,7","1,4","0,5","0,8","1,5","3,9","5,5","4,3","3,2","2,9","29,5"
52. Đình Lập,"2,7","1,2","1,0","1,3","1,6","2,3","5,5","10,8","10,0","8,0","4,9","3,8","52,9"
53. Thất Khê,"3,7","1,5","1,7","1,6","1,8","2,5","5,1","6,8","7,4","7,9","8,3","8,8","57,2"
54. Lạng Sơn,"1,7","0,6","0,8","0,4","0,7","0,6","1,4","3,6","5,5","5,0","4,3","3,7","28,2"
55. Lục Ngạn,"0,7","0,4","0,4","0,2","0,0","0,1","0,4","1,5","2,2","1,7","1,3","1,2","10,3"
56. Sơn Động,"4,5","1,3","1,0","0,8","1,4","1,9","3,6","8,8","12,3","12,2","10,1","9,0","67,0"
57. Bắc Giang,"0,6","0,5","0,5","0,2","0,1","0,0","0,1","0,2","0,4","0,5","0,2","0,5","3,8"
58. Hiệp Hòa,"0,5","0,3","0,1","0,1","0,0","0,0","0,0","0,1","0,2","0,5","0,3","0,6","2,7"
59. Uông Bí,"1,0","0,7","1,1","0,4","0,1","0,1","0,0","0,0","0,1","0,3","1,0","1,8","6,5"
60. Cô Tô,"5,1","7,5","9,8","6,0","0,2","0,0","0,0","0,0","0,0","0,0","0,2","1,9","30,8"
61. Bãi Cháy,"1,3","2,5","4,2","1,4","0,0","0,1","0,1","0,3","0,2","0,1","0,2","0,4","10,9"
62. Cửa Ông,"4,4","4,6","6,7","2,7","0,2","0,1","0,3","0,6","0,7","1,0","0,8","2,4","24,5"
63. Tiên Yên,"3,3","3,2","4,1","2,2","0,1","0,0","0,0","0,1","0,0","0,1","0,3","1,2","14,8"
64. Móng Cái,"2,2","2,2","2,8","1,2","0,0","0,0","0,0","0,7","0,3","0,0","0,2","1,0","10,8"
65. Phù Liễn,"3,7","6,5","8,7","4,1","0,3","0,1","0,1","0,3","0,4","0,7","0,9","2,0","27,7"
66. Hòn Dấu,"0,9","2,5","3,9","2,6","0,1","0,0","0,0","0,0","0,0","0,0","0,1","0,3","10,5"
67. Bạch Long Vĩ,"1,9","5,0","9,0","6,0","0,4","0,0","0,2","0,0","0,0","0,0","0,2","0,5","23,2"
68. Ba Vì,"2,2","1,1","1,2","0,5","0,0","0,0","0,0","0,0","0,3","0,3","0,8","1,8","8,3"
69. Hà Đông,"2,3","0,9","1,1","0,4","0,2","0,1","0,0","0,1","0,7","1,3","2,9","4,1","14,1"
70. Sơn Tây,"2,4","1,0","1,6","0,8","0,6","0,2","0,2","0,4","0,9","1,4","2,2","3,1","15,0"
71. Hà Nội,"1,6","1,0","1,0","0,1","0,0","0,0","0,0","0,0","0,3","0,6","0,9","2,1","7,7"
72. Chí Linh,"0,8","0,3","0,6","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","2,3"
73. Hải Dương,"1,9","0,6","0,7","0,2","0,1","0,0","0,0","0,0","0,2","0,7","1,6","2,8","8,9"
74. Hưng Yên,"4,1","2,1","1,3","1,0","0,5","0,2","0,0","0,2","0,8","2,9","3,6","6,4","23,3"
75. Nam Định,"3,3","2,0","1,7","0,7","0,3","0,2","0,0","0,0","0,3","1,0","2,3","4,1","15,8"
76. Văn Lý,"3,0","3,4","5,3","3,4","0,1","0,0","0,0","0,0","0,1","0,5","0,8","2,0","18,8"
77. Thái Bình,"3,3","1,2","1,1","0,5","0,1","0,1","0,0","0,1","0,4","1,4","3,0","5,6","17,0"
78. Hà Nam,"1,6","0,9","1,2","0,6","0,2","0,1","0,0","0,0","0,1","0,7","1,0","2,9","9,3"
79. Ninh Bình,"2,1","1,5","1,4","0,7","0,1","0,0","0,0","0,0","0,2","0,2","0,8","2,6","9,5"
80. Nho Quan,"1,2","0,8","0,9","0,4","0,1","0,0","0,0","0,0","0,1","0,4","0,4","1,2","5,5"
81. Yên Định,"2,1","1,6","1,4","1,4","0,7","0,2","0,3","0,6","1,3","1,5","2,4","3,7","17,1"
82. Bái Thượng,"3,1","2,7","2,7","1,5","0,6","0,4","0,1","0,3","0,4","1,4","1,7","3,3","18,0"
83. Như Xuân,"2,9","1,9","2,4","2,2","0,4","0,2","0,4","0,4","0,7","1,5","1,6","2,8","17,5"
84. Tĩnh Gia,"1,2","1,7","2,8","1,5","0,0","0,0","0,0","0,0","0,0","0,1","0,4","0,7","8,4"
85. Thanh Hoá,"2,1","2,0","2,5","1,9","0,3","0,1","0,0","0,1","0,5","1,0","1,0","2,1","13,9"
86. Hồi Xuân,"1,9","0,6","0,5","0,2","0,0","0,0","0,0","0,0","0,3","1,3","2,5","3,9","11,3"
87. Quỳ Châu,"6,6","3,0","3,3","3,2","2,7","1,9","2,3","2,7","6,2","9,1","11,3","11,2","63,4"
88. Quỳ Hợp,"2,8","1,6","1,8","1,5","0,5","0,1","0,1","0,6","1,2","2,2","2,7","3,6","18,8"
89. Tây Hiếu,"5,2","2,4","3,3","3,5","2,1","1,6","1,6","2,6","3,7","5,4","5,6","7,1","44,0"
90. Quỳnh Lưu,"1,4","1,4","2,3","1,5","0,1","0,1","0,0","0,0","0,1","0,2","0,6","1,1","8,9"
91. Con Cuông,"2,0","1,0","1,0","0,5","0,0","0,0","0,1","0,1","0,4","1,0","2,0","3,3","11,4"
92. Đô Lương,"2,2","2,0","2,6","2,3","0,7","0,4","0,2","0,4","1,4","2,7","2,2","2,9","20,0"
93. Tương Dương,"4,6","2,0","1,7","0,9","0,3","0,1","0,4","0,4","2,6","4,4","6,8","8,7","32,7"
94. Vinh,"3,8","3,4","4,9","3,2","0,3","0,0","0,0","0,1","0,4","1,6","2,0","3,3","23,1"
95. Hương Khê,"5,4","3,1","3,3","3,2","2,5","1,4","1,8","3,5","5,9","6,7","6,6","7,4","50,8"
96. Kỳ Anh,"1,1","1,4","1,7","1,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,5","5,9"
97. Hà Tĩnh,"2,7","2,6","3,7","2,5","0,2","0,0","0,0","0,0","0,0","0,5","0,7","2,1","15,1"
98. Tuyên Hoá,"4,5","3,2","3,6","2,7","2,3","1,3","1,3","2,9","6,2","6,5","4,7","5,4","44,5"
99. Ba Đồn,"3,1","2,9","4,3","2,4","0,3","0,0","0,1","0,0","0,9","2,2","1,9","2,7","20,8"
100. Đồng Hới,"1,4","3,0","4,6","3,4","0,3","0,0","0,0","0,0","0,0","0,0","0,1","0,6","13,3"
101. Cồn Cỏ,"0,6","2,0","4,0","2,7","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,2","9,9"
102. Đông Hà,"2,5","3,0","3,7","1,6","0,5","0,0","0,0","0,0","0,0","0,3","0,8","1,4","13,8"
103. Khe Sanh,"11,2","10,7","11,0","6,6","3,2","0,8","1,3","3,3","7,0","7,8","5,2","7,1","75,1"
104. A Lưới,"10,0","9,7","10,6","6,7","4,7","1,7","1,0","2,3","7,1","8,6","4,9","5,3","72,6"
105. Nam Đông,"4,6","4,0","3,1","1,0","0,5","0,1","0,0","0,1","0,9","2,3","2,0","3,1","21,7"
106. Huế,"3,8","3,5","4,6","1,5","0,1","0,0","0,0","0,0","0,0","0,4","0,8","2,2","16,9"
107. Đà Nẵng,"0,4","0,9","2,2","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","4,9"
108. Tam Kỳ,"0,9","1,2","1,5","0,5","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,5","5,0"
109. Trà My,"8,8","8,9","11,7","8,5","8,0","6,1","8,1","6,8","8,2","6,8","3,9","5,1","90,8"
110. Ba Tơ,"4,0","5,6","7,0","3,4","0,9","0,5","1,0","0,7","1,0","1,2","1,7","1,4","28,5"
111. Quảng Ngãi,"2,0","3,6","4,2","2,1","0,2","0,0","0,0","0,0","0,0","0,1","0,3","0,5","13,0"
112. Lý Sơn,"0,1","1,4","3,1","2,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,1"
113. Hoài Nhơn,"1,2","1,5","1,2","0,5","0,0","0,0","0,0","0,0","0,1","0,2","0,4","0,9","6,1"
114. Quy Nhơn,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
115. Sơn Hoà,"4,9","3,8","2,1","0,5","0,1","0,0","0,0","0,0","0,2","1,0","1,4","2,2","16,4"
116. Tuy Hoà,"0,3","0,9","0,4","0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","2,1"
117. Nha Trang,"0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
118. Cam Ranh,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
119. Trường Sa,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
120. Phan Thiết,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
121. Hàm Tân,"0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4"
122. Phú Quý,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
123. Đắk Tô,"9,8","5,0","3,0","2,4","2,0","2,3","3,0","3,6","6,3","6,9","4,8","6,8","55,8"
124. Kon Tum,"2,0","0,7","1,0","1,0","1,0","1,2","2,0","1,9","4,3","4,2","1,7","2,0","23,2"
125. Pleiku,"2,0","1,9","1,7","2,2","4,7","7,5","10,7","10,9","11,9","5,7","2,0","1,2","62,2"
126. An Khê,"2,6","5,9","6,9","3,0","1,4","1,3","1,6","2,2","3,7","3,0","1,4","1,0","33,8"
127. Ayun Pa,"4,0","1,3","0,0","0,0","0,0","0,1","0,0","0,2","0,5","2,6","3,0","3,9","15,6"
128. M’Đrắk,"1,3","2,6","2,0","0,8","0,2","0,3","0,5","0,3","1,3","1,2","0,5","0,2","11,3"
129. Buôn Ma Thuột,"0,0","0,2","0,0","0,0","0,2","0,4","0,5","0,6","1,8","1,5","0,2","0,1","5,6"
130. Buôn Hồ,"5,1","3,7","1,9","0,9","1,2","0,4","0,6","0,9","2,3","4,4","5,0","5,0","31,0"
131. Đắk Nông,"2,8","2,3","3,6","3,9","3,5","4,3","4,3","3,3","6,7","8,7","2,7","2,2","48,3"
132. Liên Khương,"1,0","1,5","2,2","3,3","1,9","1,1","1,1","1,4","1,7","2,7","1,8","2,1","21,8"
133. Bảo Lộc,"2,6","4,5","6,6","6,4","4,3","2,1","2,4","2,2","5,0","7,8","3,9","2,5","50,3"
134. Đồng Phú (Đồng Xoài),"0,6","0,9","0,4","0,1","0,2","0,1","0,4","0,7","0,7","1,0","1,1","0,7","6,9"
135. Phước Long,"0,3","1,0","0,2","0,1","0,3","0,3","0,2","0,1","0,3","1,5","0,9","0,4","5,5"
136. Tây Ninh,"1,6","1,1","0,6","0,1","0,4","0,3","0,3","0,4","0,4","0,1","0,2","0,3","6,0"
137. Vũng Tàu,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
138. Côn Đảo,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
139. Mộc Hoá,"0,8","0,3","0,9","0,3","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,3","2,7"
140. Mỹ Tho,"0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4"
141. Cao Lãnh,"1,3","0,7","0,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,7"
142. Ba Tri,"0,0","0,0","0,1","0,0","0,0","0,1","0,0","0,1","0,0","0,0","0,0","0,0","0,4"
143. Càng Long,"0,8","0,6","0,6","0,1","0,0","0,1","0,0","0,1","0,1","0,0","0,0","0,2","2,7"
144. Châu Đốc,"0,1","0,2","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,6"
145. Cần Thơ,"0,2","0,5","0,4","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,4","1,8"
146. Sóc Trăng,"0,4","0,3","0,1","0,0","0,0","0,0","0,1","0,1","0,2","0,1","0,0","0,1","1,3"
147. Rạch Giá,"0,0","0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,7"
148. Phú Quốc,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
149. Bạc Liêu,"0,3","0,5","0,0","0,0","0,1","0,0","0,0","0,0","0,3","0,2","0,1","0,2","1,9"
150. Cà Mau,"0,5","0,6","0,9","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","2,4"
