"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Nghệ An,Quỳ Châu,-,26/9/2009
Nghệ An,Quỳ Châu,-,14/9/2016
Ninh Thuận,Bắc Ái,-,15/9/2008
Ninh Thuận,Ninh Hải,-,25/9/1994
Ninh Thuận,Ninh Phước,-,29/6/1998
Ninh Thuận,Ninh Phước,-,26/7/1998
Ninh Thuận,Ninh Phước,-,13/11/2003
Ninh Thuận,Ninh Phước,-,14/9/1995
Ninh Thuận,Ninh Sơn,-,29/6/1998
Ninh Thuận,Ninh Sơn,-,22/8/2011
Ninh Thuận,Ninh Sơn,-,10/10/2011
Phú Thọ,Cẩm Khê,-,27/9/2005
Phú Thọ,Đoan Hùng,Chảy,9/7/1995
Phú Thọ,Hạ Hoà Hạ Hoà,-,27/9/2005
Phú Thọ,Hạ Hoà Hạ Hoà,-,9/8/2008
Phú Thọ,Tam Nông,-,27/9/2005
Phú Thọ,Tam Nông,-,18/9/2005
Phú Thọ,Thanh Sơn,Bứa,28/9/2005
Phú Thọ,Thanh Sơn,-,24/7/2003
Phú Thọ,Thanh Sơn,-,27/10/2001
Phú Thọ,TP. Phú Thọ,-,22/7/2000
Phú Thọ,TP. Phú Thọ,-,6/9/2007
Phú Thọ,Yên Lập,Ngòi Lao,18/6/2006
Phú Thọ,Yên Lập,-,2/9/1999
Phú Thọ,Yên Lập,-,24/7/2003
Phú Thọ,Yên Lập,-,20-21/9/2014
Phú Yên,TP. Tuy Hoà,Đà Rằng,4/10/1993
Quảng Bình,Lệ Thuỷ,Kiến Giang,8/10/1992
Quảng Bình,Lệ Thuỷ,-,11/10/2007
Quảng Bình,Quảng Ninh,Kiến Giang,2/11/1999
Quảng Bình,Quảng Trạch,Gianh,18/3/1993
Quảng Bình,Tuyên Hoá,-,22/8/2007
Quảng Bình,TP. Đồng Hới,Kiến Giang,7/10/1992
Quảng Nam,Duy Xuyên,Thu Bồn,25/12/1992
Quảng Nam,Phước Sơn,-,31/10/2007
Quảng Nam,Quế Sơn,-,10/11/1964
Quảng Nam,Thăng Bình,-,10/11/1964
Quảng Nam,Tiên Phước,Thu Bồn,4/12/1999
Quảng Nam,Trà My,-,16/10/2007
Quảng Ngãi,Sơn Hà,Trà khúc,4/12/1999
Quảng Ngãi,Bình Sơn,-,4/11/2010
Quảng Ninh,Ba Chẽ,-,28/6/2001
Quảng Ninh,Ba Chẽ,-,5/9/1996
Quảng Ninh,Bình Liêu,-,5/9/1996
Quảng Ninh,Bình Liêu,-,9/6/2005
Quảng Ninh,Cô Tô,-,5/9/1996
Quảng Ninh,TX. Đông Triều,-,5/9/1996
Quảng Ninh,TX. Đông Triều,-,13/7/1994
Quảng Ninh,Đầm Hà,-,30/10/2014
Quảng Ninh,Hải Ninh,-,5/9/1996
Quảng Ninh,Hoành Bồ,-,5/9/1996
Quảng Ninh,Quảng Hà,-,5/9/1996
Quảng Ninh,Quảng Hà,-,13/7/1994
Quảng Ninh,Quảng Hà,-,4/7/1998
Quảng Ninh,Tiên Yên,-,5/9/1996
Quảng Ninh,TP. Hạ Long,-,5/9/1996
Quảng Ninh,TP. Hạ Long,-,13/7/1994
Quảng Ninh,TP. Cẩm Phả,-,5/9/1996
Quảng Ninh,TP. Uông Bí,-,5/9/1996
Quảng Ninh,TP. Uông Bí,-,13/7/1994
Quảng Ninh,Vân Đồn,-,5/9/1996
Quảng Ninh,TX. Quảng Yên,-,5/9/1996
Quảng Ninh,TX. Quảng Yên,-,13/7/1994
Quảng Ninh,TX. Quảng Yên,-,4/7/1998
Quảng Trị,Đa Krông,Thạch Hãn,2/11/1999
Quảng Trị,Gio Linh,Bến Hải,28/10/1992
Quảng Trị,Gio Linh,Bến Hải,7/10/1992
Sơn La,Bắc Yên,Đà,3/8/1994
Sơn La,Bắc Yên,-,10/5/2006
Sơn La,Bắc Yên,Đà,1/7/1996
Sơn La,Bắc Yên,Đà,24/7/1996
Sơn La,Bắc Yên,-,4-5/9/2015
Sơn La,Mai Sơn,-,24/7/1996
Sơn La,Mai Sơn,-,1/7/1996
Sơn La,Mai Sơn,-,10/5/2006
Sơn La,Mai Sơn,Nậm Sập,3/8/1994
Sơn La,Mộc Châu,Nậm Sập,3/8/1994
