Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
64. Hòn Dấu,"75,9","58,3","33,9","94,9","189,3","185,4","173,0","176,7","170,6","180,1","125,9","107,9","1571,7"
65. Ba Vì,"63,2","50,3","48,2","78,9","157,0","160,8","173,3","170,9","175,1","151,8","134,4","115,0","1477,2"
66. Hà Đông,"65,7","49,7","50,1","87,8","170,2","167,1","181,9","167,0","162,4","146,1","133,2","110,3","1477,8"
67. Sơn Tây,"65,5","48,3","49,3","91,6","172,4","165,4","181,1","173,4","170,5","151,3","130,5","108,9","1494,7"
68. Hà Nội,"68,7","48,1","45,5","87,4","173,7","167,0","181,1","163,0","162,4","150,3","131,6","113,0","1488,5"
69. Chí Linh,"69,7","48,6","44,7","81,8","177,2","176,1","194,5","176,0","187,1","171,5","153,6","131,8","1621,4"
70. Hải Dương,"72,5","45,1","39,5","83,1","183,8","171,8","191,4","172,8","178,6","168,0","143,6","119,0","1566,6"
71. Hưng Yên,"69,1","41,4","44,4","88,9","178,3","174,0","192,4","168,0","166,1","155,5","131,4","112,2","1521,8"
72. Nam Định,"69,9","42,4","40,8","90,3","184,9","178,6","195,9","165,2","161,9","153,4","130,8","110,6","1517,2"
73. Văn Lý,"75,5","42,1","41,8","98,3","203,4","196,7","211,9","178,4","174,8","169,0","140,0","115,7","1641,9"
74. Thái Bình,"68,9","39,8","38,9","90,0","190,0","184,2","203,6","170,2","161,8","135,8","111,8","1556,5"
75. Hà Nam,"70,6","43,4","42,9","86,1","176,3","170,5","185,0","164,5","162,7","151,6","131,6","113,9","1497,2"
76. Ninh Bình,"69,9","45,1","44,2","91,8","184,9","179,4","195,8","165,2","160,8","149,9","127,8","108,5","1511,6"
77. Nho Quan,"71,0","50,8","48,6","93,1","173,8","168,8","180,1","158,2","161,5","153,0","131,6","113,9","1501,2"
78. Yên Định,"75,2","53,3","55,5","104,2","183,1","174,6","195,2","165,6","160,0","149,8","124,1","106,5","1551,2"
79. Bái Thượng,"78,1","57,6","58,2","95,1","153,6","154,3","164,1","160,1","152,5","145,1","130,4","99,8","1448,9"
80. Như Xuân,"61,7","54,6","52,3","103,8","177,8","188,3","180,3","155,4","144,2","128,1","113,8","90,5","1444,5"
81. Tĩnh Gia,"72,8","54,2","61,1","119,4","204,7","199,7","212,9","181,2","163,4","160,3","122,8","102,9","1649,9"
82. Thanh Hoá,"77,5","52,2","56,1","110,6","198,7","191,8","209,9","175,1","161,3","154,1","129,4","112,3","1630,4"
83. Hồi Xuân,"70,9","65,1","75,9","119,1","169,3","148,7","154,7","152,5","142,5","124,0","114,8","100,1","1437,6"
84. Quỳ Châu,"80,3","64,9","80,0","128,5","186,9","165,4","178,8","154,3","150,6","138,8","117,3","104,5","1549,2"
85. Quỳ Hợp,"71,6","61,6","93,9","131,2","196,9","174,2","190,4","164,2","151,1","136,7","113,9","97,8","1582,2"
86. Tây Hiếu,"76,2","56,5","69,2","122,1","190,2","179,1","193,3","162,0","145,2","132,5","109,1","90,2","1533,8"
87. Quỳnh Lưu,"78,4","60,2","73,4","132,1","216,7","200,9","216,7","183,9","161,5","148,2","123,0","101,3","1692,6"
88. Con Cuông,"82,0","68,0","91,9","137,3","189,7","173,9","185,2","159,4","152,1","132,7","112,2","100,4","1580,2"
89. Đô Lương,"75,0","59,6","72,5","126,5","199,0","192,4","201,1","173,3","151,2","128,4","107,7","89,3","1572,5"
90. Tương Dương,"92,7","82,0","113,8","150,6","189,4","163,4","171,7","158,3","154,4","138,1","116,5","108,2","1626,0"
91. Vinh,"68,7","50,9","69,4","131,8","216,3","204,9","219,8","189,3","157,5","127,7","99,4","76,9","1614,1"
92. Hương Khê,"58,3","51,8","72,9","125,8","176,6","181,2","191,3","154,7","118,8","93,0","70,2","51,4","1332,7"
93. Kỳ Anh,"68,9","60,2","86,6","147,5","218,9","219,0","227,3","190,6","153,4","118,0","80,1","64,3","1636,8"
94. Hà Tĩnh,"70,7","53,0","73,1","135,8","219,3","210,8","226,5","191,8","156,5","129,5","94,4","73,5","1629,6"
95. Tuyên Hoá,"64,2","62,9","97,8","141,5","196,9","204,2","209,1","172,6","123,1","97,1","71,4","54,4","1483,9"
96. Ba Đồn,"88,0","74,7","103,2","158,8","222,7","218,2","230,4","197,0","158,3","129,4","98,3","76,7","1759,7"
97. Đồng Hới,"89,9","74,5","106,3","159,1","232,8","224,3","234,6","198,1","168,1","129,2","95,6","73,3","1783,9"
98. Cồn Cỏ,"89,6","107,6","148,0","145,2","248,7","259,9","277,8","215,0","173,9","95,1","82,3","91,6","1931,4"
99. Đông Hà,"95,3","88,9","123,4","170,2","228,2","225,1","227,5","199,9","161,7","127,9","94,2","72,2","1815,1"
100. Khe Sanh,"125,2","124,6","164,5","189,8","203,7","170,4","162,4","150,8","141,5","126,3","104,0","89,4","1764,9"
101. A Lưới,"112,6","127,8","160,2","170,1","185,4","179,9","185,0","165,9","130,7","111,5","82,8","72,4","1679,9"
102. Nam Đông,"107,4","124,0","161,2","175,3","208,5","212,2","213,0","192,9","154,5","118,6","91,7","69,5","1832,0"
103. Huế,"104,0","110,3","140,8","175,9","230,9","232,5","236,7","209,9","169,2","130,6","101,2","76,0","1916,1"
104. Đà Nẵng,"131,9","146,0","182,3","208,6","246,7","242,3","246,2","214,8","177,4","143,4","117,7","94,8","2162,6"
105. Tam Kỳ,"116,0","142,6","192,7","215,7","248,2","236,2","234,5","220,6","184,7","145,8","105,7","75,8","2128,0"
106. Trà My,"98,1","132,9","179,4","194,1","211,5","199,5","202,1","194,7","156,0","117,5","80,0","59,0","1827,5"
107. Ba Tơ,"107,4","145,5","190,0","209,7","224,0","217,7","215,1","201,6","166,2","129,5","98,2","68,1","1959,0"
108. Quảng Ngãi,"121,7","153,4","204,0","227,5","253,1","235,2","241,2","222,7","188,3","154,4","113,9","85,8","2203,3"
109. Lý Sơn,"147,2","170,3","213,0","230,1","278,3","264,9","265,8","254,3","197,2","164,6","138,0","101,4","2394,3"
110. Hoài Nhơn,"148,6","184,8","233,4","244,2","252,4","236,5","242,4","225,0","185,2","165,6","133,7","105,8","2359,7"
111. Quy Nhơn,"154,8","187,4","237,7","261,4","273,2","248,2","249,4","235,7","199,3","163,1","123,2","111,4","2444,6"
112. Sơn Hoà,"145,0","181,8","249,6","250,9","255,6","220,7","239,4","219,4","184,5","152,4","113,1","97,5","2304,5"
113. Tuy Hoà,"160,5","196,0","251,6","269,7","272,8","239,9","239,3","230,6","203,6","168,0","128,3","118,2","2472,9"
114. Nha Trang,"179,6","208,7","256,5","258,5","259,1","235,2","243,5","236,0","203,8","183,1","140,4","136,5","2538,8"
115. Cam Ranh,"214,7","237,0","272,0","266,4","255,5","224,0","234,6","230,9","199,0","182,5","169,5","164,7","2640,9"
116. Trường Sa,"178,1","221,8","263,9","260,5","257,4","201,2","195,0","213,5","182,5","209,5","193,9","143,4","2457,4"
117. Phan Thiết,"266,2","264,5","296,6","284,1","248,5","217,6","215,9","208,9","199,8","209,2","215,6","229,0","2856,9"
118. Hàm Tân,"264,2","265,0","295,6","279,2","237,3","192,2","201,8","195,6","184,0","198,5","216,3","225,5","2751,7"
119. Phú Quý,"235,4","250,6","288,4","282,2","262,0","213,2","223,2","222,8","198,9","191,0","181,6","185,8","2724,2"
120. Đắk Tô,"266,4","244,7","253,5","221,5","188,1","134,7","124,9","113,7","127,4","173,7","206,2","241,8","2290,6"
121. Kon Tum,"269,3","253,6","264,8","235,6","203,6","152,6","138,6","127,4","125,9","181,5","208,1","241,7","2459,6"
122. Pleiku,"263,2","260,1","272,1","240,8","210,1","155,5","146,2","127,9","136,1","178,1","199,7","229,3","2415,3"
123. An Khê,"175,9","201,8","239,9","251,0","245,6","218,1","213,9","197,4","173,3","165,7","142,0","135,3","2360,1"
124. Ayun Pa,"188,7","223,2","252,8","257,4","248,9","209,8","207,5","190,2","169,5","163,2","149,6","143,3","2406,5"
125. M’Đrắk,"141,6","182,5","241,4","245,4","236,2","207,1","210,8","198,0","172,6","140,3","101,0","96,4","2172,1"
126. Buôn Ma Thuột,"249,7","249,4","265,1","253,4","226,2","185,4","180,5","162,6","153,5","168,5","170,9","188,6","2450,4"
127. Buôn Hồ,"229,7","233,5","257,2","242,4","232,4","206,7","199,7","174,9","157,6","157,3","156,2","167,6","2419,2"
128. Đắk Nông,"251,3","240,6","250,4","222,7","190,2","146,3","142,3","126,5","125,9","163,6","193,4","223,5","2279,0"
129. Liên Khương,"245,2","243,6","255,4","221,2","188,7","153,1","151,7","141,6","138,7","153,3","170,8","205,2","2279,7"
130. Đà Lạt,"237,4","231,1","240,2","199,2","195,5","150,3","146,9","134,4","126,5","139,8","168,5","198,7","2147,8"
131. Bảo Lộc,"213,0","214,5","225,0","199,5","177,9","145,1","137,1","122,9","117,8","139,1","159,6","184,5","2037,6"
132. Đồng Phú (Đồng Xoài),"253,4","243,6","260,0","245,1","230,8","185,3","179,3","167,2","157,7","191,4","211,9","225,9","2552,0"
133. Phước Long,"269,5","255,3","265,8","242,3","226,5","181,5","177,8","164,1","149,8","186,1","216,4","236,6","2581,3"
134. Tây Ninh,"248,0","239,8","265,2","242,8","233,4","196,2","198,6","188,4","175,3","194,5","210,5","230,8","2613,3"
135. Vũng Tàu,"240,7","250,8","285,6","271,7","229,2","192,4","205,8","195,7","183,7","188,7","202,9","204,5","2643,3"
136. Côn Đảo,"206,4","221,7","264,2","267,5","222,5","171,9","182,3","182,6","159,3","162,0","161,2","161,6","2343,5"
137. Mộc Hoá,"253,4","247,2","272,6","246,0","227,5","190,8","194,0","191,3","186,8","201,2","221,6","232,5","2659,3"
138. Mỹ Tho,"244,1","249,3","284,9","261,5","209,8","180,7","188,5","187,9","165,4","170,5","198,5","198,0","2531,1"
139. Cao Lãnh,"255,7","248,6","269,4","258,9","220,3","186,6","188,2","187,3","172,8","189,3","212,7","230,4","2617,7"
140. Ba Tri,"246,0","259,1","293,2","277,4","217,5","177,4","192,1","191,7","172,3","180,4","201,3","204,7","2628,2"
141. Càng Long,"240,3","250,2","283,0","259,7","206,8","171,0","182,2","177,0","157,5","171,2","199,6","203,7","2509,3"
142. Châu Đốc,"240,0","235,1","254,4","229,6","210,1","178,0","172,3","171,5","168,2","185,0","203,7","223,1","2469,5"
143. Cần Thơ,"244,9","243,0","280,8","258,8","210,3","175,8","183,2","179,5","165,9","178,0","192,7","215,3","2524,3"
144. Sóc Trăng,"238,6","248,4","273,4","253,5","191,9","161,6","174,9","168,2","152,3","165,1","195,7","201,5","2422,1"
145. Rạch Giá,"244,2","236,6","256,6","249,9","207,1","173,8","176,4","166,3","161,0","176,1","203,3","223,5","2469,8"
146. Phú Quốc,"247,5","232,4","256,5","246,4","195,8","148,0","146,9","137,1","137,9","169,8","210,1","240,1","2373,1"
147. Bạc Liêu,"239,3","255,0","291,9","271,7","206,0","166,2","177,8","172,4","156,1","168,8","193,5","205,8","2505,8"
148. Cà Mau,"220,6","228,3","256,4","230,3","173,7","142,3","153,0","148,9","136,6","146,2","171,4","187,0","2185,8"
