Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
93. Đô Lương,"34,6","36,6","38,0","40,2","41,1","40,0","40,5","39,8","38,7","36,6","37,0","32,6","41,0"
94. Tương Dương,"36,7","39,0","41,6","42,2","42,7","41,5","41,3","39,6","39,0","38,2","37,2","36,0","42,2"
95. Vinh,"34,5","35,8","38,1","40,3","40,7","40,5","40,9","39,4","38,2","35,1","36,7","30,2","40,9"
96. Hương Khê,"35,4","38,4","41,0","42,0","42,6","41,2","41,0","40,5","39,3","35,8","36,8","33,4","42,6"
97. Kỳ Anh,"33,6","35,6","38,0","38,8","40,5","40,4","39,9","39,2","39,0","35,2","34,0","31,8","40,5"
98. Hà Tĩnh,"34,5","36,2","38,3","40,0","40,6","39,7","40,7","39,7","38,5","35,2","35,3","30,3","40,7"
99. Tuyên Hoá,"34,5","37,9","39,6","41,3","41,6","41,5","40,4","40,0","38,0","35,6","36,4","34,1","41,6"
100.Ba Đồn,"34,7","36,0","39,5","40,8","40,7","40,2","40,6","39,7","39,0","35,3","34,7","32,5","40,8"
101.Đồng Hới,"34,2","37,0","39,5","41,0","40,5","40,1","40,5","39,6","39,0","39,6","38,1","29,8","41,0"
102.Cồn Cỏ,"31,6","34,2","35,8","38,6","37,8","38,1","37,5","34,2","31,6","30,7","38,6"
103.Đông Hà,"34,6","37,9","39,8","42,1","42,0","41,4","39,7","39,4","38,9","34,9","35,6","33,0","42,1"
104.Khe Sanh,"33,2","35,7","38,1","39,3","38,3","38,0","35,5","34,8","34,3","38,1","37,2","32,3","39,3"
105.A Lưới,"31,5","34,6","36,2","38,1","35,8","35,4","40,1","35,2","33,9","32,4","31,2","30,7","40,1"
106.Nam Đông,"35,7","37,7","39,5","41,1","41,0","40,1","40,5","39,7","38,8","35,5","35,0","34,2","41,1"
107.Huế,"34,2","36,3","38,6","39,9","41,3","40,7","40,2","39,7","36,1","34,3","32,2","41,3"
108.Đà Nẵng,"37,4","37,0","39,9","40,0","40,6","40,1","40,2","39,5","38,2","35,7","32,8","31,2","40,6"
109.Tam Kỳ,"32,6","35,9","37,0","39,6","40,2","41,0","39,3","38,7","34,7","32,4","30,7","41,0"
110.Trà My,"34,1","36,1","37,9","40,5","38,9","39,3","38,4","36,7","34,1","33,7","32,0","40,5"
111.Ba Tơ,"34,2","36,5","38,9","41,4","41,5","39,5","39,9","39,7","37,4","34,8","33,8","32,8","41,5"
112.Quảng Ngãi,"33,1","35,3","37,6","38,7","40,2","40,5","39,5","38,7","38,3","34,5","33,3","32,4","40,5"
113.Lý Sơn,"30,4","29,9","31,7","33,7","35,9","36,4","36,2","36,8","35,5","33,0","31,5","31,0","36,8"
114.Hoài Nhơn,"33,3","35,8","38,3","40,5","41,6","40,2","39,5","38,9","37,3","34,9","32,9","31,2","41,6"
115.Quy Nhơn,"33,3","34,9","38,2","40,7","39,9","39,6","39,0","38,8","36,6","33,7","32,9","40,7"
116.Sơn Hoà,"38,2","38,3","39,8","42,1","41,5","40,0","39,6","38,6","38,3","35,4","34,3","32,7","42,1"
117.Tuy Hoà,"33,7","36,5","36,4","39,8","40,5","39,6","39,0","38,6","38,4","36,0","34,5","33,1","40,5"
118.Nha Trang,"31,0","33,0","32,7","34,6","37,5","37,8","37,9","37,1","34,0","32,6","31,8","37,9"
119.Cam Ranh,"33,3","33,0","34,5","37,1","39,0","38,7","39,0","37,5","37,7","33,5","32,0","39,0"
120.Trường Sa,"32,8","33,4","34,5","35,7","36,9","35,3","34,8","33,7","33,8","33,2","33,0","36,9"
121.Phan Thiết,"34,0","34,5","35,2","37,5","38,7","36,5","35,6","36,1","36,5","35,3","35,0","34,1","38,7"
122.Hàm Tân,"32,8","34,0","36,2","37,7","35,5","34,6","34,5","35,0","34,2","33,6","34,3","37,7"
123.Phú Quý,"31,4","31,7","33,3","34,8","35,7","36,6","34,7","34,0","34,4","33,6","32,7","31,4","36,6"
124.Đắk Tô,"33,3","35,5","37,1","37,9","35,2","35,1","34,4","33,2","32,5","33,0","32,6","33,2","37,9"
125.Kon Tum,"34,3","36,2","38,6","38,2","39,0","35,6","33,7","33,4","33,8","33,5","33,7","33,5","39,0"
126.Pleiku,"32,4","34,4","36,1","36,2","34,5","33,1","31,8","31,6","31,2","31,5","31,3","36,2"
127.An Khê,"34,0","35,5","37,2","38,9","37,8","37,6","36,5","35,0","35,2","34,4","32,0","35,1","38,9"
128.Ayun Pa,"36,1","38,5","40,2","41,3","40,5","38,2","37,1","36,1","34,9","34,3","33,3","41,3"
129.M’Đrắk,"33,9","36,1","36,9","38,7","37,3","36,0","34,7","34,5","35,2","32,8","32,5","30,1","38,7"
130.Buôn Ma Thuột,"34,3","36,6","37,6","38,5","37,0","35,1","32,9","32,8","32,7","33,1","32,6","32,4","38,5"
131.Buôn Hồ,"31,3","34,2","36,1","36,6","35,6","32,9","31,5","30,8","30,0","30,5","29,8","36,6"
132.Đắk Nông,"33,5","35,7","36,5","37,1","35,6","33,5","33,0","32,5","33,2","32,4","33,0","32,9","37,1"
133.Liên Khương,"31,5","33,2","34,6","33,5","33,0","33,9","31,1","31,3","32,5","30,8","31,1","30,6","34,6"
134.Đà Lạt,"28,5","29,2","30,5","29,7","28,1","29,6","26,5","27,0","26,5","26,0","26,2","30,5"
135.Bảo Lộc,"31,8","33,8","34,0","33,2","33,0","33,2","30,6","31,2","31,3","31,0","32,2","31,8","34,0"
136.Đồng Phú (Đồng Xoài),"37,7","38,2","40,6","40,1","40,0","36,5","35,5","35,1","35,5","35,7","35,0","36,2","40,6"
137.Phước Long,"35,4","37,2","38,3","38,5","38,4","35,9","34,6","34,5","35,0","34,7","35,0","38,5"
138.Tây Ninh,"36,2","37,2","38,5","39,9","39,0","37,6","37,3","35,2","35,6","34,5","35,0","36,5","39,9"
139.Vũng Tàu,"32,9","35,8","34,8","36,5","36,7","34,8","34,6","35,3","35,7","34,7","34,0","34,5","36,7"
140.Côn Đảo,"31,6","31,8","33,0","35,1","35,5","34,5","34,0","33,5","33,8","32,5","32,0","32,2","35,5"
141.Mộc Hoá,"34,8","35,8","37,2","38,2","38,6","37,0","35,6","35,8","34,8","34,0","33,8","38,6"
142.Mỹ Tho,"34,8","38,9","36,8","38,2","38,9","36,4","36,5","35,8","36,8","35,5","36,2","34,5","38,9"
143.Cao Lãnh,"35,2","34,7","36,7","37,4","37,0","35,4","35,0","34,6","34,9","33,4","33,8","33,5","37,4"
144.Ba Tri,"33,7","38,3","35,5","37,3","36,8","38,7","34,9","35,2","34,5","33,7","33,2","38,7"
145.Càng Long,"34,1","34,8","36,3","37,0","37,7","35,3","34,8","34,6","34,9","34,5","34,3","34,4","37,7"
146.Châu Đốc,"34,9","36,4","37,7","38,6","37,5","36,5","35,4","35,1","35,5","34,0","33,9","34,2","38,6"
147.Cần Thơ,"33,8","35,2","38,5","40,0","38,3","37,3","36,2","35,5","35,2","35,8","34,4","34,2","40,0"
148.Sóc Trăng,"35,3","35,6","36,6","37,1","37,2","35,5","34,1","34,2","33,7","33,5","33,4","37,2"
149.Rạch Giá,"35,6","35,4","37,8","37,9","37,7","34,7","34,0","34,4","33,9","34,0","34,8","37,9"
150.Phú Quốc,"34,3","34,4","35,8","36,4","37,0","34,0","33,4","33,3","33,2","33,8","37,0"
151.Bạc Liêu,"34,3","33,3","34,6","36,7","36,5","35,7","33,8","34,2","33,5","33,0","32,6","36,7"
152.Cà Mau,"35,2","36,2","36,8","37,4","38,2","35,9","34,7","34,4","34,5","34,0","33,8","33,5","38,2"
