"Tỉnh, Thành phố","Thành phố, Thị xã, Quận, Huyện",Mật độ sét đánh (số lần/km2/năm)
10. Bình Phước,"H. Bù Đốp, H. Bù Đăng, H. Lộc Ninh, TX. Phước Long, H. Bù Gia Mập","13,7"
11. Bình Thuận,"TP. Phan Thiết, TX. La Gi, H. Hàm Tân, H. Hàm Thuận Bắc, H. Hàm Thuận Nam, H. Tánh Linh","8,2"
11. Bình Thuận,H. Đức Linh,"10,9"
11. Bình Thuận,H. Phú Quý,"7,0"
11. Bình Thuận,H. Bắc Bình,"5,7"
11. Bình Thuận,H. Tuy Phong,"3,4"
12. Cà Mau,"TP. Cà Mau, H. U Minh, H. Thới Bình, H. Trần Văn Thời, H. Cái Nước, H. Đầm Dơi, H. Phú Tân, H. Năm Căn, H. Ngọc Hiển","13,7"
13. Cao Bằng,"TP. Cao Bằng, H. Bảo Lạc, H. Bảo Lâm, H. Hà Quảng, H. Hạ Lang, H. Hòa An, H. Nguyên Bình, H. Phục Hoà, H. Quảng Uyên, H. Thạch An, H. Thông Nông, H. Trà Lĩnh, H. Trùng Khánh","9,2"
14. Cần Thơ,"Q. Bình Thủy, Q. Cái Răng, Q. Ninh Kiều, Q. Ô Môn, H. Cờ Đỏ, H. Phong Điền, Q. Thốt Nốt, H. Vĩnh Thạnh, H. Thới Lai","13,7"
15. Đà Nẵng,"Q. Cẩm Lệ, Q. Hải Châu, Q. Liên Chiểu, Q. Ngũ Hành Sơn, Q. Sơn Trà, Q. Thanh Khê, H. Hòa Vang","8,2"
15. Đà Nẵng,H. Hoàng Sa,"7,0"
16. Đắk Lắk,"TP. Buôn Ma Thuột, TX. Buôn Hồ, H. Buôn Đôn, H. Ea Súp, H. Cư M'Gar, H. Ea H'Leo, H. Krông Búk, H. Krông Năng","13,7"
16. Đắk Lắk,"H. Krông Păk, H. Krông Ana, H. Lắk, H. Krông Bông, H. Ea Kar, H. Cư Kuin","10,9"
16. Đắk Lắk,H. M'Đrắk,"8,2"
17. Điện biên,"TP. Điện Biên Phủ, H. Điện Biên, H. Điện Biên Đông","8,2"
17. Điện biên,"TX. Mường Lay, H. Mường Chà, H. Mường Nhé, H. Tủa Chùa, H. Tuần Giáo, H. Mường Ảng, H. Nậm Pồ","10,9"
18. Đắk Nông,"TP. Gia Nghĩa, H. Krông Nô","10,9"
18. Đắk Nông,"H. Đắk Mil, H. Đắk R' Lấp, H. Đắk Song, H. Cư Jút, H. Tuy Đức, H. Đắk Glong","13,7"
19. Đồng Nai,"TP. Biên Hòa, H. Long Thành, H. Nhơn Trạch, H. Vĩnh Cửu, H. Trảng Bom","13,7"
19. Đồng Nai,"TP. Long Khánh, H. Tân Phú, H. Định Quán, H. Thống Nhất","10,9"
19. Đồng Nai,"H. Xuân Lộc, H. Cẩm Mỹ","8,2"
20. Đồng Tháp,"TP. Cao Lãnh, H. Lấp Vò, TP. Sa Đéc, H. Tân Hồng, H. Tam Nông, H. Tháp Mười, TX. Hồng Ngự, H. Cao Lãnh, H. Thanh Bình, H. Lai Vung, H. Châu Thành, H. Hồng Ngự","13,7"
21. Gia Lai,"TX. An Khê, H. Chư Păh, H. Ia Grai, H. Mang Yang, H. Đắc Đoa, H. Đắc Pơ, H. Kông Chro","8,2"
21. Gia Lai,"TP. Pleiku, H. K’Bang, H. Ia Pa, H. Đức Cơ, H. Krông Pa","10,9"
21. Gia Lai,"H. Chư Prông, H. Chư Sê, TX. Ayun Pa, H. Chư Pưh","13,7"
22. Hà Giang,"TP. Hà Giang, H. Bắc Mê, H. Bắc Quang, H. Quản Bạ, H. Vị Xuyên,","10,9"
22. Hà Giang,"H. Hoàng Su Phì, H. Mèo Vạc, H. Quang Bình, H. Xín Mần, H. Đồng Văn, H. Yên Minh","8,2"
23. Hà Nam,"TP. Phủ Lý, H. Kim Bảng, H. Thanh Liêm, TX. Duy Tiên","10,9"
23. Hà Nam,"H. Bình Lục, H. Lý Nhân","8,2"
24. Hà Nội,"Q. Ba Đình, Q. Cầu Giấy, Q. Đống Đa, Q. Hai Bà Trưng, Q. Hoàng Mai, Q. Hoàn Kiếm, Q. Long Biên, Q. Tây Hồ, Q. Thanh Xuân, Q. Bắc Từ Liêm, Q. Nam Từ Liêm, H. Gia Lâm, H. Thanh Trì, H. Đông Anh, Q. Hà Đông, TX. Sơn Tây , H. Ba Vì, H. Chương Mỹ, H. Mỹ Đức, H. Phú Xuyên, H. Thanh Oai, H. Thường Tín, H. Ứng Hòa","10,9"
24. Hà Nội,"H. Sóc Sơn, H. Phúc Thọ, H. Đan Phượng, H. Thạch Thất, H. Quốc Oai, H. Hoài Đức, H. Mê Linh","8,2"
25. Hà Tĩnh,"TP. Hà Tĩnh, H. Cẩm Xuyên, H. Can Lộc, H. Đức Thọ, H. Hương Sơn, TX. Kỳ Anh, H. Nghi Xuân, H. Thạch Hà, H. Vũ Quang, H. Kỳ Anh, TX. Hồng Lĩnh, H. Lộc Hà","8,2"
25. Hà Tĩnh,H. Hương Khê,"10,9"
26. Hậu Giang,"H. Châu Thành, H. Phụng Hiệp","10,9"
26. Hậu Giang,"TP. Vị Thanh, H. Vị Thuỷ, H. Long Mỹ, H. Châu Thành A, TX. Long Mỹ, TX. Ngã Bảy","13,7"
27. Hải Dương,"TP. Hải Dương, H. Bình Giang, H. Cẩm Giàng, TP. Chí Linh, H. Gia Lộc, H. Nam Sách, H. Ninh Giang, H. Thanh Miện","8,2"
27. Hải Dương,"TX. Kinh Môn, H. Kim Thành, H. Thanh Hà, H. Tứ Kỳ","10,9"
28. Hải Phòng,"Q. Hồng Bàng, Q. Kiến An, Q. Lê Chân, Q. Ngô Quyền, H. An Dương, H. An Lão, H. Bạch Long Vĩ, H. Thủy Nguyên, Q. Dương Kinh","10,9"
28. Hải Phòng,"Q. Hải An, Q. Đồ Sơn, H. Tiên Lãng, H. Vĩnh Bảo, H. Kiến Thụy, H. Cát Hải","8,2"
29. Hoà Bình,"TP. Hòa Bình, H. Đà Bắc, H. Kim Bôi, Kỳ Sơn, H. Lạc Thủy, H. Lương Sơn, H. Mai Châu","10,9"
29. Hoà Bình,"H. Cao Phong, H. Tân Lạc, H. Lạc Sơn, H. Yên Thủy","13,7"
30. Hưng Yên,"TP. Hưng Yên, H. Phù Cừ, H. Tiên Lữ","8,2"
30. Hưng Yên,"H. Ân Thi, H. Khoái Châu, H. Kim Động, TX. Mỹ Hào, H. Văn Giang, H. Văn Lâm, H. Yên Mỹ","10,9"
31. Khánh Hoà,TP. Nha Trang,"3,4"
31. Khánh Hoà,"TP. Cam Ranh, H. Diên Khánh, H. Vạn Ninh, TX. Ninh Hòa, H. Cam Lâm","5,7"
31. Khánh Hoà,"H. Khánh Sơn, H. Khánh Vĩnh","8,2"
31. Khánh Hoà,H. Trường Sa,"7,0"
32. Kiên Giang,"TP. Rạch Giá, TP. Hà Tiên, H. An Biên, H. An Minh, H. Châu Thành, H. Giồng Riềng, H. Gò Quao, H. Hòn Đất, H. Kiên Hải, H. Kiên Lương, H. Tân Hiệp, H. Vĩnh Thuận, H. Giang Thành, H. U Minh Thượng","13,7"
32. Kiên Giang,H. Phú Quốc,"7,0"
33. Kon Tum,"TP. Kom Tum, H. Kon Plông, H. Kon Rẫy, H. Đắk Glei, H. Đắk Hà, H. Sa Thầy, H. Ia H’Drai","8,2"
33. Kon Tum,"H. Đắk Tô, H. Ngọc Hồi, H. Tu Mơ Rông","5,7"
34. Lâm Đồng,"TP. Đà Lạt, H. Đam Rông, H. Đơn Dương, H. Đức Trọng, H. Lâm Hà","10,9"
34. Lâm Đồng,"TP. Bảo Lộc, H. Bảo Lâm, H. Cát Tiên, H. Di Linh","8,2"
34. Lâm Đồng,"H. Đạ Huoai, H. Đạ Tẻh","5,7"
34. Lâm Đồng,H. Lạc Dương,"13,7"
35. Lào Cai,"TP. Lào Cai, TX. Sa Pa, H. Bắc Hà, H. Bát Xát, H. Mường Khương, H. Si Ma Cai","8,2"
35. Lào Cai,"H. Bảo Thắng, H. Bảo Yên, H. Văn Bàn","10,9"
36. Lạng Sơn,"TP. Lạng Sơn, H. Bắc Sơn, H. Bình Gia, H. Cao Lộc, H. Chi Lăng, H. Đình Lập, H. Hữu Lũng, H. Lộc Bình, H. Tràng Định, H. Văn Lãng, H. Văn Quan","8,2"
37. Lai Châu,"TP. Lai Châu, H. Mường Tè, H. Phong Thổ, H. Sìn Hồ, H. Tam Đường, H. Than Uyên, H. Nậm Nhùn, H. Tân Uyên","8,2"
38. Long An,"TP. Tân An, H. Bến Lức, H. Cần Đước, H. Cần Guộc, H. Châu Thành, H. Đức Hòa, H. Tân Trụ, H. Tân Hưng, H. Tân Thạnh, H. Thủ Thừa","13,7"
38. Long An,"H. Đức Huệ, H. Mộc Hóa, H. Thạnh Hóa, H. Vĩnh Hưng","14,9"
39. Nam Định,"TP. Nam Định, H. Giao Thủy, H. Hải Hậu, H. Mỹ Lộc, H. Nam Trực, H. Nghĩa Hưng, H. Trực Ninh, H. Vụ Bản, H. Xuân Trường, H. Ý Yên","8,2"
40. Nghệ An,"TP. Vinh, TX. Cửa Lò, TX. Hoàng Mai, TX. Thái Hòa, H. Hưng Nguyên, H. Nam Đàn, H. Thanh Chương, H. Đô Lương, H. Yên Thành, H. Quỳnh Lưu, H. Diễn Châu, H. Nghi Lộc","8,2"
40. Nghệ An,"H. Anh Sơn, H. Con Cuông, H. Nghĩa Đàn, H. Tân Kỳ, H. Tương Dương, H. Kỳ Sơn, H. Quế Phong","10,9"
40. Nghệ An,"H. Quỳ Châu, H. Quỳ Hợp","13,7"
41. Ninh Bình,"TP. Ninh Bình, TP. Tam Điệp, H. Hoa Lư, H. Kim Sơn, H. Yên Khánh, H. Yên Mô","8,2"
41. Ninh Bình,"H. Gia Viễn, H. Nho Quan","10,9"
42. Ninh Thuận,"TP. Phan Rang - Tháp Chàm, H. Ninh Phước, H. Thuận Nam","1,4"
42. Ninh Thuận,"H. Bắc Ái, H. Ninh Sơn, H. Thuận Bắc","5,7"
42. Ninh Thuận,H. Ninh Hải,"3,4"
43. Phú Thọ,"TP. Việt Trì, TX. Phú Thọ, H. Đoan Hùng, H. Hạ Hoà, H. Lâm Thao, H. Phù Ninh, H. Cẩm Khê, H. Tam Nông, H. Thanh Ba, H. Thanh Sơn, H. Thanh Thuỷ, H. Yên Lập, H. Tân Sơn","10,9"
44. Phú Yên,TP. Tuy Hòa,"3,4"
44. Phú Yên,"H. Đông Xuân, H. Sông Hinh, H. Sơn Hòa","8,2"
44. Phú Yên,"H. Phú Hòa, TX. Sông Cầu, H. Tuy An, H. Tây Hòa, H. Đông Hòa","5,7"
45. Quảng Bình,"TP. Đồng Hới, TX. Ba Đồn, H. Bố Trạch, H. Lệ Thủy, H. Minh Hóa, H. Quảng Ninh, H. Quảng Trạch","8,2"
45. Quảng Bình,H. Tuyên Hóa,"10,9"
46. Quảng Nam,"TP. Tam Kỳ, TP. Hội An, H. Bắc Trà My, H. Duy Xuyên, H. Đại Lộc, TX. Điện Bàn, H. Nam Trà My, H. Phú Ninh, H. Núi Thành, H. Quế Sơn, H. Thăng Bình, H. Tiên Phước, H. Hiệp Đức","8,2"
46. Quảng Nam,"H. Đông Giang, H. Nam Giang, H. Phước Sơn, H. Tây Giang, H. Nông Sơn","10,9"
47. Quảng Ngãi,"TP. Quảng Ngãi, H. Bình Sơn, TX. Đức Phổ, H. Lý Sơn, H. Mộ Đức, H. Nghĩa Hành, H. Tư Nghĩa, H. Sơn Tịnh","8,2"
47. Quảng Ngãi,"H. Ba Tơ, H. Minh Long, H. Sơn Hà, H. Sơn Tây, H. Trà Bồng","10,9"
48. Quảng Ninh,"TP. Hạ Long, TP. Uông Bí, TX. Đông Triều, TX. Quảng Uyên, H. Bình Liêu","8,2"
48. Quảng Ninh,"TP. Móng Cái, H. Ba Chẽ, H. Cô Tô, H. Đầm Hà, H. Hải Hà, H. Hoành Bồ, H. Tiên Yên, H. Vân Đồ, TP. Cẩm Phả","10,9"
49. Quảng Trị,"TP. Đông Hà, H. Cam Lộ, H. Cồn Cỏ, H. Gio Linh, H. Hướng Hóa, H. Vĩnh Linh","8,2"
49. Quảng Trị,"TX. Quảng Trị, H. Đa Krông, H. Hải Lăng, H. Triệu Phong","10,9"
50. Sơn La,"TP. Sơn La, H. Bắc Yên, H. Mai Sơn, H. Mộc Châu, H. Mường La, H. Phù Yên, H. Quỳnh Nhai, H. Sông Mã, H. Sốp Cộp, H. Thuận Châu, H. Yên Châu, H. Vân Hồ","10,9"
51. Sóc Trăng,"TP. Sóc Trăng, H. Cù Lao Dung, H. Kế Sách, H. Long Phú, H. Mỹ Xuyên, TX. Vĩnh Châu, H. Trần Đề","10,9"
51. Sóc Trăng,"H. Mỹ Tú, TX. Ngã Năm, H. Thạnh Trị, H Châu Thành","13,7"
52. Tây Ninh,"TP. Tây Ninh, H. Châu Thành, TX. Hòa Thành, H. Tân Biên, H. Tân Châu","13,7"
52. Tây Ninh,"H. Gò Dầu, TX. Trảng Bàng, H. Bến cầu, H. Dương Minh Châu","14,9"
53. Thái Bình,"TP. Thái Bình, H. Đông Hưng, H. Hưng Hà, H. Kiến Xương, H. Quỳnh Phụ, H. Thái Thụy, H. Tiền Hải, H. Vũ Thư","8,2"
54. Thái Nguyên,"TP. Thái Nguyên, H. Định Hóa, H. Đồng Hỷ, TX. Phổ Yên, H. Phú Bình, H. Phú Lương, H. Võ Nhai, TP. Sông Công, H. Đại Từ","8,2"
55. Thanh Hoá,"TP. Thanh Hóa, TX. Bỉm Sơn, TP. Sầm Sơn, H. Đông Sơn, H. Hà Trung, H. Hậu Lộc, H. Hoằng Hóa, H. Như Thanh, H. Như Xuân, H. Nông Cống, H. Nga Sơn, H. Thiệu Hóa, H. Thọ Xuân, H. Quảng Xương, TX. Nghi Sơn, H. Triệu Sơn, H. Vĩnh Lộc, H. Yên Định","8,2"
55. Thanh Hoá,"H. Bá Thước, H. Thạch Thành","13,7"
55. Thanh Hoá,"H. Lang Chánh, H. Mường Lát, H. Quan Hóa, H. Quan Sơn, H. Thường Xuân, H. Ngọc Lặc, H. Cẩm Thủy","10,9"
56. Thừa Thiên Huế,"TP. Huế, H. Phong Điền, H. Phú Lộc, H. Phú Vang, H. Quảng Điền","10,9"
56. Thừa Thiên Huế,"H. A Lưới, TX. Hương Trà, TX. Hương Thủy, H. Nam Đông","13,7"
57. Tiền Giang,"TP. Mỹ Tho, TX. Gò Công, H. Cái Bè, TX. Cai Lậy, H. Châu Thành, H. Tân Phước, H. Chợ Gạo, H. Gò Công Đông, H. Gò Công Tây","13,7"
58. TP. Hồ Chí Minh,"TP. Thủ Đức, Quận 1, Quận 3, Quận 4, Quận 5, Quận 6, Quận 7, Quận 8, Quận 10, Quận 11, Quận 12, Q. Tân Phú, Q. Bình Tân, Q. Bình Thạnh, Q. Gò Vấp, Q. Phú Nhuận, Q. Tân Bình, H. Bình Chánh, H. Nhà Bè, H. Hóc Môn","13,7"
58. TP. Hồ Chí Minh,H. Cần Giờ,"10,9"
58. TP. Hồ Chí Minh,H. Củ Chi,"14,9"
59. Trà Vinh,"TP. Trà Vinh, H. Càng Long","13,7"
59. Trà Vinh,"TX. Duyên Hải, H. Cầu Kè, H. Cầu Ngang, H. Châu Thành, H. Duyên Hải, H. Tiểu Cần, H. Trà Cú","10,9"
60. Tuyên Quang,"TP. Tuyên Quang, H. Chiêm Hóa, H. Hàm Yên, H. Na Hang, H. Lâm Bình, H. Yên Sơn","10,9"
60. Tuyên Quang,H. Sơn Dương,"8,2"
61. Vĩnh Long,"TP. Vĩnh Long, H. Long Hồ, H. Mang Thít, H. Bình Tân","13,7"
61. Vĩnh Long,"H. Tam Bình, H. Trà Ôn, H. Vũng Liêm, TX. Bình Minh","10,9"
62. Vĩnh Phúc,"TP. Vĩnh Yên, TP. Phúc Yên, H. Bình Xuyên, H. Lập Thạch, H. Tam Dương, H. Vĩnh Tường, H. Yên Lạc, H. Sông Lô","10,9"
62. Vĩnh Phúc,H. Tam Đảo,"8,2"
63. Yên Bái,"TP. Yên Bái, TX. Nghĩa Lộ, H. Lục Yên, H. Mù Cang Chải, H. Trạm Tấu, H. Trấn Yên, H. Văn Chấn, H. Văn Yên, H. Yên Bình","10,9"
