Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1,Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1
15. Bình Phước,,,,,
Thành phố Đồng Xoài,"0,08×g","0,03×g",Huyện Bù Đăng,"0,08×g","0,03×g"
Thị xã Bình Long,"0,08×g","0,03×g",Huyện Bù Đốp,"0,08×g","0,03×g"
Thị xã Phước Long,"0,08×g","0,03×g",Huyện Bù Gia Mập,"0,08×g","0,03×g"
Huyện Chơn Thành,"0,08×g","0,03×g",Huyện Hớn Quản,"0,08×g","0,03×g"
Huyện Đồng Phú,"0,15×g","0,06×g",Huyện Lộc Ninh,"0,08×g","0,03×g"
16. Bình Thuận,,,,,
Thành phố Phan Thiết,"0,08×g","0,03×g",Huyện Hàm Thuận Nam,"0,08×g","0,03×g"
Thị xã La Gi,"0,15×g","0,06×g",Huyện Hàm Thuận Bắc,"0,08×g","0,03×g"
Huyện Bắc Bình,"0,08×g","0,03×g",Huyện Phú Quý,"0,19×g","0,09×g"
Huyện Đức Linh,"0,08×g","0,03×g",Huyện Tánh Linh,"0,08×g","0,03×g"
Huyện Hàm Tân,"0,08×g","0,03×g",Huyện Tuy Phong,"0,15×g","0,06×g"
17. Cà Mau,,,,,
Thành phố Cà Mau,"0,08×g","0,03×g",Huyện Phú Tân,"0,08×g","0,03×g"
Huyện Cái Nước,"0,08×g","0,03×g",Huyện U Minh,"0,08×g","0,03×g"
Huyện Đầm Dơi,"0,08×g","0,03×g",Huyện Trần Văn Thời,"0,08×g","0,03×g"
Huyện Năm Căn,"0,08×g","0,03×g",Huyện Thới Bình,"0,08×g","0,03×g"
Huyện Ngọc Hiển,"0,15×g","0,06×g",,,
18. Cao Bằng,,,,,
Thành phố Cao Bằng,"0,17×g","0,06×g",Huyện Phục Hòa,"0,15×g","0,06×g"
Huyện Bảo Lạc,"0,15×g","0,06×g",Huyện Quảng Uyên,"0,15×g","0,06×g"
Huyện Bảo Lâm,"0,23×g","0,09×g",Huyện Thạch An,"0,17×g","0,06×g"
Huyện Hạ Lang,"0,08×g","0,03×g",Huyện Thông Nông,"0,15×g","0,06×g"
Huyện Hà Quảng,"0,23×g","0,09×g",Huyện Trà Lĩnh,"0,15×g","0,06×g"
Huyện Hòa An,"0,17×g","0,06×g",Huyện Trùng Khánh,"0,23×g","0,09×g"
Huyện Nguyên Bình,"0,15×g","0,06×g",,,
19. Đăk Lăk,,,,,
Thành phố Buôn Ma Thuột,"0,08×g","0,03×g",Huyện Cư Kuin,"0,08×g","0,03×g"
Thị xã Buôn Hồ,"0,08×g","0,03×g",Huyện Cư M'gar,"0,08×g","0,03×g"
Huyện Buôn Đôn,"0,08×g","0,03×g",Huyện Ea H'leo,"0,08×g","0,03×g"
Huyện Ea Kar,"0,08×g","0,03×g",Huyện Krông Năng,"0,08×g","0,03×g"
Huyện Ea Súp,"0,08×g","0,03×g",Huyện Krông Pắc,"0,08×g","0,03×g"
Huyện Krông A Na,"0,08×g","0,03×g",Huyện Lắk,"0,08×g","0,03×g"
Huyện Krông Bông,"0,08×g","0,03×g",Huyện M'Đrắk,"0,08×g","0,03×g"
Huyện Krông Búk,"0,08×g","0,03×g",,,
20. Đăk Nông,,,,,
Thành phố Gia Nghĩa,"0,13×g","0,06×g",Huyện Đắk Song,"0,08×g","0,03×g"
Huyện Cư Jút,"0,08×g","0,03×g",Huyện Đắk Glong,"0,15×g","0,06×g"
Huyện Đắk Mil,"0,08×g","0,03×g",Huyện Krông Nô,"0,08×g","0,03×g"
Huyện Đắk R'Lấp,"0,08×g","0,03×g",Huyện Tuy Đức,"0,08×g","0,03×g"
21. Điện Biên,,,,,
Thành phố Điện Biên Phủ,"0,68×g","0,26×g",Huyện Mường Chà,"0,61×g","0,30×g"
Thị xã Mường Lay,"0,61×g","0,31×g",Huyện Mường Nhé,"0,60×g","0,23×g"
Huyện Điện Biên,"0,47×g","0,20×g",Huyện Nậm Pồ,"0,60×g","0,24×g"
Huyện Điện Biên Đông,"0,53×g","0,20×g",Huyện Tuần Giáo,"0,75×g","0,31×g"
Huyện Mường Ảng,"0,43×g","0,21×g",Huyện Tủa Chùa,"0,75×g","0,31×g"
22. Đồng Nai,,,,,
Thành phố Biên Hòa,"0,15×g","0,06×g",Huyện Tân Phú,"0,08×g","0,03×g"
Thị xã Long Khánh,"0,08×g","0,03×g",Huyện Thống Nhất,"0,08×g","0,03×g"
Huyện Cẩm Mỹ,"0,08×g","0,03×g",Huyện Trảng Bom,"0,08×g","0,03×g"
Huyện Định Quán,"0,08×g","0,03×g",Huyện Vĩnh Cửu,"0,08×g","0,03×g"
Huyện Long Thành,"0,15×g","0,06×g",Huyện Xuân Lộc,"0,08×g","0,03×g"
Huyện Nhơn Trạch,"0,13×g","0,06×g",,,
23. Đồng Tháp,,,,,
Thành phố Cao Lãnh,"0,08×g","0,03×g",Thị xã Hồng Ngự,"0,08×g","0,03×g"
Thành phố Sa Đéc,"0,15×g","0,06×g",Huyện Cao Lãnh,"0,08×g","0,03×g"
Huyện Châu Thành,"0,08×g","0,03×g",Huyện Tam Nông,"0,08×g","0,03×g"
Huyện Hồng Ngự,"0,15×g","0,06×g",Huyện Tân Hồng,"0,08×g","0,03×g"
Huyện Lai Vung,"0,13×g","0,06×g",Huyện Thanh Bình,"0,08×g","0,03×g"
Huyện Lấp Vò,"0,15×g","0,06×g",Huyện Tháp Mười,"0,08×g","0,03×g"
24. Gia Lai,,,,,
Thành phố Pleiku,"0,08×g","0,03×g",Huyện Đắk Đoa,"0,08×g","0,03×g"
Thị xã An Khê,"0,15×g","0,06×g",Huyện Krông Pa,"0,08×g","0,03×g"
Thị xã Ayun Pa,"0,08×g","0,03×g",Huyện Kông Chro,"0,08×g","0,03×g"
Huyện Chư Sê,"0,08×g","0,03×g",Huyện KBang,"0,15×g","0,06×g"
Huyện Chư Pưh,"0,08×g","0,03×g",Huyện Ia Grai,"0,08×g","0,03×g"
Huyện Chư Prông,"0,08×g","0,03×g",Huyện Ia Pa,"0,08×g","0,03×g"
Huyện Chư Păh,"0,08×g","0,03×g",Huyện Mang Yang,"0,08×g","0,03×g"
Huyện Đắk Pơ,"0,08×g","0,03×g",Huyện Phú Thiện,"0,08×g","0,03×g"
Huyện Đức Cơ,"0,08×g","0,03×g",,,
25. Hà Giang,,,,,
Thành phố Hà Giang,"0,14×g","0,06×g",Huyện Quang Bình,"0,23×g","0,09×g"
Huyện Bắc Mê,"0,15×g","0,06×g",Huyện Quản Bạ,"0,15×g","0,06×g"
Huyện Bắc Quang,"0,15×g","0,06×g",Huyện Vị Xuyên,"0,13×g","0,06×g"
Huyện Đồng Văn,"0,15×g","0,06×g",Huyện Xín Mần,"0,15×g","0,06×g"
Huyện Hoàng Su Phì,"0,15×g","0,06×g",Huyện Yên Minh,"0,20×g","0,09×g"
Huyện Mèo Vạc,"0,15×g","0,06×g",,,
26. Hà Nam,,,,,
Thành phố Phủ Lý,"0,53×g","0,21×g",Huyện Kim Bảng,"0,53×g","0,22×g"
Thị xã Duy Tiên,"0,53×g","0,20×g",Huyện Lý Nhân,"0,53×g","0,20×g"
Huyện Bình Lục,"0,53×g","0,20×g",Huyện Thanh Liêm,"0,53×g","0,21×g"
27. Hà Tĩnh,,,,,
Thành phố Hà Tĩnh,"0,38×g","0,17×g",Huyện Hương Sơn,"0,30×g","0,15×g"
Thị xã Hồng Lĩnh,"0,38×g","0,18×g",Huyện Hương Khê,"0,30×g","0,12×g"
Thị xã Kỳ Anh,"0,37×g","0,15×g",Huyện Lộc Hà,"0,39×g","0,17×g"
Huyện Can Lộc,"0,38×g","0,18×g",Huyện Nghi Xuân,"0,38×g","0,17×g"
Huyện Cẩm Xuyên,"0,37×g","0,18×g",Huyện Thạch Hà,"0,38×g","0,19×g"
Huyện Đức Thọ,"0,37×g","0,17×g",Huyện Vũ Quang,"0,38×g","0,14×g"
28. Hải Dương,,,,,
Thành phố Hải Dương,"0,53×g","0,22×g",Huyện Kim Thành,"0,53×g","0,20×g"
Thành phố Chí Linh,"0,45×g","0,19×g",Huyện Ninh Giang,"0,23×g","0,10×g"
Thị xã Kinh Môn,"0,45×g","0,17×g",Huyện Nam Sách,"0,53×g","0,21×g"
Huyện Bình Giang,"0,23×g","0,09×g",Huyện Thanh Hà,"0,53×g","0,22×g"
Huyện Cẩm Giàng,"0,38×g","0,14×g",Huyện Thanh Miện,"0,23×g","0,09×g"
Huyện Gia Lộc,"0,38×g","0,15×g",Huyện Tứ Kỳ,"0,45×g","0,18×g"
29. Hậu Giang,,,,,
Thành phố Vị Thanh,"0,08×g","0,03×g",Huyện Long Mỹ,"0,08×g","0,03×g"
Thị xã Ngã Bảy,"0,08×g","0,03×g",Huyện Phụng Hiệp,"0,08×g","0,03×g"
Huyện Châu Thành,"0,15×g","0,06×g",Huyện Vị Thủy,"0,08×g","0,03×g"
Huyện Châu Thành A,"0,08×g","0,03×g",,,
30. Hòa Bình,,,,,
Thành phố Hòa Bình,"0,25×g","0,12×g",Huyện Lạc Thủy,"0,25×g","0,12×g"
Huyện Cao Phong,"0,30×g","0,12×g",Huyện Lương Sơn,"0,24×g","0,12×g"
Huyện Đà Bắc,"0,27×g","0,12×g",Huyện Mai Châu,"0,60×g","0,24×g"
Huyện Kim Bôi,"0,19×g","0,09×g",Huyện Tân Lạc,"0,45×g","0,18×g"
Huyện Lạc Sơn,"0,60×g","0,24×g",Huyện Yên Thủy,"0,53×g","0,20×g"
31. Hưng Yên,,,,,
Thành phố Hưng Yên,"0,53×g","0,21×g",Huyện Phù Cừ,"0,27×g","0,12×g"
Huyện Ân Thi,"0,28×g","0,11×g",Huyện Tiên Lữ,"0,37×g","0,19×g"
Huyện Kim Động,"0,38×g","0,18×g",Huyện Văn Giang,"0,28×g","0,12×g"
Huyện Khoái Châu,"0,37×g","0,18×g",Huyện Văn Lâm,"0,30×g","0,12×g"
Huyện Mỹ Hào,"0,30×g","0,12×g",Huyện Yên Mỹ,"0,24×g","0,12×g"
32. Khánh Hòa,,,,,
Thành phố Nha Trang,"0,15×g","0,06×g",Huyện Khánh Sơn,"0,15×g","0,06×g"
Thành phố Cam Ranh,"0,08×g","0,03×g",Huyện Khánh Vĩnh,"0,15×g","0,06×g"
Thị xã Ninh Hòa,"0,15×g","0,06×g",Huyện Trường Sa (quần đảo Trường Sa),"0,08×g","0,03×g"
Huyện Cam Lâm,"0,15×g","0,06×g",Huyện Vạn Ninh,"0,15×g","0,06×g"
Huyện Diên Khánh,"0,15×g","0,06×g",,,
33. Kiên Giang,,,,,
Thành phố Rạch Giá,"0,08×g","0,03×g",Huyện Giang Thành,"0,08×g","0,03×g"
Thành phố Phú Quốc,"0,08×g","0,03×g",Huyện Gò Quao,"0,08×g","0,03×g"
Thị xã Hà Tiên,"0,08×g","0,03×g",Huyện Hòn Đất,"0,08×g","0,03×g"
Huyện An Biên,"0,08×g","0,03×g",Huyện Kiên Hải,"0,08×g","0,03×g"
Huyện An Minh,"0,08×g","0,03×g",Huyện Kiên Lương,"0,08×g","0,03×g"
Huyện Châu Thành,"0,08×g","0,03×g",Huyện Tân Hiệp,"0,08×g","0,03×g"
Huyện Giồng Riềng,"0,08×g","0,03×g",Huyện Vĩnh Thuận,"0,08×g","0,03×g"
34. Kon Tum,,,,,
Thành phố Kon Tum,"0,08×g","0,03×g",Huyện Kon Plông,"0,08×g","0,03×g"
Huyện Đắk Hà,"0,08×g","0,03×g",Huyện Ngọc Hồi,"0,13×g","0,06×g"
Huyện Đắk Tô,"0,08×g","0,03×g",Huyện Sa Thầy,"0,08×g","0,03×g"
Huyện Đắk Glei,"0,14×g","0,06×g",Huyện Tu Mơ Rông,"0,08×g","0,03×g"
Huyện Kon Rẫy,"0,08×g","0,03×g",Huyện Ia H’Drai,"0,13×g","0,03×g"
35. Lai Châu,,,,,
Thành phố Lai Châu,"0,36×g","0,17×g",Huyện Sìn Hồ,"0,54×g","0,28×g"
Huyện Mường Tè,"0,36×g","0,18×g",Huyện Tân Uyên,"0,32×g","0,14×g"
Huyện Nậm Nhùn,"0,51×g","0,24×g",Huyện Tam Đường,"0,32×g","0,14×g"
Huyện Phong Thổ,"0,45×g","0,20×g",Huyện Than Uyên,"0,38×g","0,16×g"
36. Lạng Sơn,,,,,
Thành phố Lạng Sơn,"0,16×g","0,06×g",Huyện Hữu Lũng,"0,30×g","0,13×g"
Huyện Bình Gia,"0,15×g","0,06×g",Huyện Lộc Bình,"0,23×g","0,08×g"
Huyện Bắc Sơn,"0,15×g","0,06×g",Huyện Tràng Định,"0,23×g","0,09×g"
Huyện Cao Lộc,"0,17×g","0,06×g",Huyện Văn Lãng,"0,18×g","0,09×g"
Huyện Chi Lăng,"0,15×g","0,06×g",Huyện Văn Quan,"0,15×g","0,06×g"
Huyện Đình Lập,"0,17×g","0,06×g",,,
37. Lào Cai,,,,,
Thành phố Lào Cai,"0,53×g","0,22×g",Huyện Bát Xát,"0,39×g","0,17×g"
Thị xã Sa Pa,"0,25×g","0,12×g",Huyện Mường Khương,"0,14×g","0,06×g"
Huyện Bắc Hà,"0,21×g","0,09×g",Huyện Si Ma Cai,"0,13×g","0,06×g"
Huyện Bảo Yên,"0,53×g","0,22×g",Huyện Văn Bàn,"0,36×g","0,14×g"
Huyện Bảo Thắng,"0,53×g","0,21×g",,,
38. Lâm Đồng,,,,,
Thành phố Đà Lạt,"0,08×g","0,03×g",Huyện Đơn Dương,"0,15×g","0,06×g"
Thành phố Bảo Lộc,"0,08×g","0,03×g",Huyện Đức Trọng,"0,15×g","0,06×g"
Huyện Bảo Lâm,"0,08×g","0,03×g",Huyện Đạ Huoai,"0,08×g","0,03×g"
Huyện Cát Tiên,"0,15×g","0,06×g",Huyện Đạ Tẻh,"0,08×g","0,03×g"
Huyện Di Linh,"0,08×g","0,03×g",Huyện Lâm Hà,"0,07×g","0,03×g"
Huyện Đam Rông,"0,08×g","0,03×g",Huyện Lạc Dương,"0,08×g","0,03×g"
39. Long An,,,,,
Thành phố Tân An,"0,08×g","0,03×g",Huyện Mộc Hóa,"0,08×g","0,03×g"
Thị xã Kiến Tường,"0,08×g","0,03×g",Huyện Tân Hưng,"0,08×g","0,03×g"
Huyện Bến Lức,"0,13×g","0,06×g",Huyện Tân Thạnh,"0,08×g","0,03×g"
Huyện Cần Đước,"0,15×g","0,06×g",Huyện Tân Trụ,"0,15×g","0,06×g"
,,,,,
Huyện Cần Giuộc,"0,13×g","0,06×g",Huyện Thạnh Hóa,"0,08×g","0,03×g"
Huyện Châu Thành,"0,08×g","0,03×g",Huyện Thủ Thừa,"0,15×g","0,06×g"
Huyện Đức Hòa,"0,13×g","0,06×g",Huyện Vĩnh Hưng,"0,08×g","0,03×g"
Huyện Đức Huệ,"0,13×g","0,06×g",,,
40. Nam Định,,,,,
Thành phố Nam Định,"0,53×g","0,22×g",Huyện Nghĩa Hưng,"0,53×g","0,21×g"
Huyện Giao Thủy,"0,39×g","0,18×g",Huyện Trực Ninh,"0,53×g","0,22×g"
Huyện Hải Hậu,"0,53×g","0,21×g",Huyện Vụ Bản,"0,53×g","0,21×g"
Huyện Mỹ Lộc,"0,53×g","0,22×g",Huyện Xuân Trường,"0,53×g","0,22×g"
Huyện Nam Trực,"0,53×g","0,22×g",Huyện Ý Yên,"0,39×g","0,19×g"
41. Nghệ An,,,,,
Thành phố Vinh,"0,38","0,17×g",Huyện Nam Đàn,"0,38×g","0,17×g"
Thị xã Cửa Lò,"0,38×g","0,18×g",Huyện Nghĩa Đàn,"0,38×g","0,15×g"
Thị xã Hoàng Mai,"0,33×g","0,15×g",Huyện Quế Phong,"0,30×g","0,12×g"
Thị xã Thái Hòa,"0,38×g","0,16×g",Huyện Quỳ Hợp,"0,26×g","0,12×g"
Huyện Anh Sơn,"0,37×g","0,14×g",Huyện Quỳnh Lưu,"0,38×g","0,14×g"
Huyện Con Cuông,"0,36×g","0,16×g",Huyện Quỳ Châu,"0,30×g","0,11×g"
Huyện Diễn Châu,"0,35×g","0,14×g",Huyện Tân Kỳ,"0,36×g","0,15×g"
Huyện Đô Lương,"0,38×g","0,18×g",Huyện Thanh Chương,"0,38×g","0,19×g"
Huyện Hưng Nguyên,"0,38×g","0,19×g",Huyện Tương Dương,"0,30×g","0,12×g"
Huyện Kỳ Sơn,"0,25×g","0,09×g",Huyện Yên Thành,"0,36×g","0,14×g"
Huyện Nghi Lộc,"0,38×g","0,18×g",,,
42. Ninh Bình,,,,,
Thành phố Ninh Bình,"0,37×g","0,18×g",Huyện Kim Sơn,"0,36×g","0,19×g"
Thị xã Tam Điệp,"0,45×g","0,18×g",Huyện Nho Quan,"0,45×g","0,18×g"
Huyện Gia Viễn,"0,25×g","0,11×g",Huyện Yên Khánh,"0,38×g","0,18×g"
Huyện Hoa Lư,"0,36×g","0,15×g",Huyện Yên Mô,"0,45×g","0,18×g"
43. Ninh Thuận,,,,,
Thành phố Phan Rang- Tháp Chàm,"0,08×g","0,03×g",Huyện Ninh Sơn,"0,08×g","0,03×g"
Huyện Bác ái,"0,08×g","0,03×g",Huyện Thuận Bắc,"0,08×g","0,03×g"
Huyện Ninh Hải,"0,08×g","0,03×g",Huyện Thuận Nam,"0,08×g","0,03×g"
Huyện Ninh Phước,"0,08×g","0,03×g",,,
44. Phú Thọ,,,,,
Thành phố Việt Trì,"0,53×g","0,20×g",Huyện Tam Nông,"0,38×g","0,19×g"
Thị xã Phú Thọ,"0,53×g","0,21×g",Huyện Tân Sơn,"0,30×g","0,12×g"
Huyện Cẩm Khê,"0,39×g","0,17×g",Huyện Thanh Ba,"0,53×g","0,22×g"
Huyện Đoan Hùng,"0,39×g","0,19×g",Huyện Thanh Sơn,"0,26×g","0,12×g"
Huyện Hạ Hòa,"0,39×g","0,19×g",Huyện Thanh Thủy,"0,29×g","0,13×g"
Huyện Lâm Thao,"0,53×g","0,21×g",Huyện Yên Lập,"0,28×g","0,12×g"
Huyện Phù Ninh,"0,53×g","0,22×g",,,
45. Phú Yên,,,,,
Thành phố Tuy Hòa,"0,15×g","0,06×g",Huyện Sông Hinh,"0,08×g","0,03×g"
Thị xã Sông Cầu,"0,18×g","0,09×g",Huyện Sơn Hòa,"0,15×g","0,06×g"
Huyện Đông Hòa,"0,15×g","0,06×g",Huyện Tây Hòa,"0,15×g","0,06×g"
Huyện Đồng Xuân,"0,20×g","0,09×g",Huyện Tuy An,"0,18×g","0,09×g"
Huyện Phú Hòa,"0,13×g","0,06×g",,,
46. Quảng Bình,,,,,
Thành phố Đồng Hới,"0,14×g","0,06×g",Huyện Minh Hóa,"0,23×g","0,09×g"
