"$P_{c}$, % — Mùa hè","$P_{c}$, % — Mùa đông",$P_{e}$,"Nhiệt độ, °C — Mùa hè — $t_{dry}$","Nhiệt độ, °C — Mùa hè — $t_{wet}$","Nhiệt độ, °C — Mùa hè — $t_{wet,coinc}$","Nhiệt độ, °C — Mùa đông — $t_{dry}$","Nhiệt độ, °C — Mùa đông — $t_{wet}$","Nhiệt độ, °C — Mùa đông — $t_{wet,coinc}$"
"1,5","98,5","0,985","33,7","28,3","27,6","11,2","10,3","10,4"
"2,0","98,0","0,980","33,3","28,1","27,3","11,6","10,7","10,9"
"2,5","97,5","0,975","33,0","27,9","27,2","12,0","11,0","11,2"
"3,0","97,0","0,970","32,8","27,8","27,1","12,3","11,3","11,5"
"3,5","96,5","0,965","32,5","27,7","27,0","12,6","11,6","11,8"
"4,0","96,0","0,960","32,3","27,6","27,0","12,9","11,8","12,0"
"4,5","95,5","0,955","32,1","27,5","26,8","13,1","12,1","12,3"
"5,0","95,0","0,950","31,8","27,4","26,7","13,4","12,3","12,4"
**6. Quảng Ninh**,,,,,,,,
"0,4","99,6","0,996","33,1","28,6","27,5","9,5","7,3","7,6"
"1,0","99,0","0,990","32,4","28,2","27,3","10,7","8,3","8,8"
"1,5","98,5","0,985","32,0","28,0","27,2","11,2","8,9","9,4"
"2,0","98,0","0,980","31,8","27,8","27,2","11,6","9,4","9,6"
"2,5","97,5","0,975","31,5","27,7","27,1","12,0","9,8","10,1"
"3,0","97,0","0,970","31,3","27,6","26,9","12,4","10,1","10,5"
"3,5","96,5","0,965","31,2","27,5","26,9","12,6","10,4","10,6"
"4,0","96,0","0,960","31,0","27,4","26,9","12,9","10,7","11,0"
"4,5","95,5","0,955","30,9","27,4","26,8","13,2","10,9","11,2"
"5,0","95,0","0,950","30,7","27,3","26,7","13,4","11,1","11,5"
**7. Hà Nội**,,,,,,,,
"0,4","99,6","0,996","35,4","29,0","28,0","9,6","7,5","8,4"
"1,0","99,0","0,990","34,4","28,5","27,9","10,6","8,5","9,1"
"1,5","98,5","0,985","33,8","28,3","27,6","11,1","9,1","9,5"
"2,0","98,0","0,980","33,4","28,1","27,5","11,5","9,4","9,7"
"2,5","97,5","0,975","33,1","27,9","27,3","11,9","9,8","10,1"
"3,0","97,0","0,970","32,8","27,9","27,1","12,2","10,1","10,3"
"3,5","96,5","0,965","32,6","27,8","27,1","12,5","10,3","10,6"
"4,0","96,0","0,960","32,3","27,7","27,0","12,8","10,6","10,9"
"4,5","95,5","0,955","32,1","27,6","27,0","13,0","10,9","11,1"
"5,0","95,0","0,950","31,9","27,5","26,9","13,3","11,1","11,5"
**8. Nghệ An (Vinh)**,,,,,,,,
"0,4","99,6","0,996","36,6","28,8","26,9","10,7","9,6","9,9"
"1,0","99,0","0,990","35,6","28,0","26,9","11,9","10,7","11,1"
"1,5","98,5","0,985","35,0","27,8","26,6","12,5","11,3","11,6"
"2,0","98,0","0,980","34,6","27,5","26,6","13,0","11,8","12,2"
"2,5","97,5","0,975","34,2","27,4","26,4","13,4","12,2","12,5"
"3,0","97,0","0,970","33,9","27,3","26,4","13,7","12,5","12,7"
"3,5","96,5","0,965","33,5","27,2","26,3","14,0","12,8","13,1"
"4,0","96,0","0,960","33,3","27,1","26,3","14,2","13,1","13,3"
"4,5","95,5","0,955","33,0","27,0","26,3","14,5","13,3","13,6"
"5,0","95,0","0,950","32,8","26,9","26,4","14,7","13,6","13,6"
**9. Đà Nẵng**,,,,,,,,
"0,4","99,6","0,996","36,1","28,2","27,0","16,6","15,0","15,3"
"1,0","99,0","0,990","35,1","27,8","26,8","17,5","16,0","16,3"
"1,5","98,5","0,985","34,6","27,6","26,6","18,0","16,4","16,6"
"2,0","98,0","0,980","34,2","27,4","26,6","18,4","16,8","17,1"
"2,5","97,5","0,975","33,9","27,3","26,6","18,7","17,1","17,3"
"3,0","97,0","0,970","33,6","27,2","26,5","18,9","17,3","17,6"
"3,5","96,5","0,965","33,3","27,1","26,6","19,2","17,6","17,8"
"4,0","96,0","0,960","33,1","27,1","26,5","19,4","17,7","18,0"
"4,5","95,5","0,955","32,9","27,0","26,5","19,5","17,9","18,1"
"5,0","95,0","0,950","32,7","26,9","26,5","19,7","18,1","18,4"
**10. Buôn Ma Thuột**,,,,,,,,
"0,4","99,6","0,996","34,3","25,1","22,0","15,5","14,1","14,4"
"1,0","99,0","0,990","33,4","24,8","22,5","16,4","15,1","15,2"
"1,5","98,5","0,985","32,8","24,6","22,3","16,9","15,5","15,7"
"2,0","98,0","0,980","32,4","24,5","22,4","17,2","15,8","16,0"
"2,5","97,5","0,975","31,9","24,4","22,7","17,5","16,0","16,2"
"3,0","97,0","0,970","31,6","24,3","22,7","17,8","16,2","16,5"
"3,5","96,5","0,965","31,3","24,3","22,7","18,0","16,4","16,7"
"4,0","96,0","0,960","31,0","24,2","22,9","18,1","16,6","16,8"
"4,5","95,5","0,955","30,7","24,1","22,9","18,3","16,7","17,0"
"5,0","95,0","0,950","30,5","24,1","23,0","18,5","16,9","17,2"
**11. Nha Trang**,,,,,,,,
"0,4","99,6","0,996","33,3","27,8","26,3","19,5","17,1","17,6"
"1,0","99,0","0,990","32,7","27,4","26,3","20,3","18,0","18,4"
"1,5","98,5","0,985","32,4","27,3","26,2","20,8","18,4","18,8"
"2,0","98,0","0,980","32,2","27,1","26,2","21,1","18,7","19,3"
"2,5","97,5","0,975","32,0","27,0","26,1","21,4","19,0","19,4"
"3,0","97,0","0,970","31,9","26,9","26,1","21,6","19,2","19,6"
"3,5","96,5","0,965","31,7","26,8","26,1","21,8","19,4","19,9"
"4,0","96,0","0,960","31,6","26,7","26,0","22,0","19,5","20,0"
"4,5","95,5","0,955","31,5","26,7","26,1","22,2","19,7","20,2"
"5,0","95,0","0,950","31,3","26,6","25,9","22,3","19,8","20,3"
**12. Đà Lạt**,,,,,,,,
"0,4","99,6","0,996","25,9","20,4","16,7","9,7","8,2","8,9"
"1,0","99,0","0,990","25,2","19,9","17,6","10,7","9,3","9,6"
"1,5","98,5","0,985","24,8","19,7","17,4","11,1","9,8","10,2"
"2,0","98,0","0,980","24,5","19,5","17,6","11,5","10,2","10,5"
"2,5","97,5","0,975","24,3","19,4","17,8","11,8","10,6","10,8"
"3,0","97,0","0,970","24,1","19,3","17,8","12,1","10,9","11,2"
"3,5","96,5","0,965","23,9","19,2","17,7","12,3","11,1","11,3"
"4,0","96,0","0,960","23,8","19,1","17,7","12,5","11,3","11,5"
"4,5","95,5","0,955","23,7","19,0","17,8","12,7","11,5","11,7"
"5,0","95,0","0,950","23,5","19,0","17,7","12,9","11,7","11,9"
**13. TP. Hồ Chí Minh**,,,,,,,,
"0,4","99,6","0,996","35,4","28,6","25,7","20,7","18,1","18,7"
"1,0","99,0","0,990","34,7","27,4","25,7","21,6","19,1","19,7"
"1,5","98,5","0,985","34,3","27,0","25,6","22,1","19,5","20,1"
"2,0","98,0","0,980","34,0","26,9","25,5","22,5","19,9","20,5"
"2,5","97,5","0,975","33,8","26,7","25,5","22,8","20,1","20,7"
"3,0","97,0","0,970","33,6","26,6","25,4","23,0","20,4","21,1"
"3,5","96,5","0,965","33,5","26,5","25,4","23,2","20,6","21,3"
"4,0","96,0","0,960","33,3","26,5","25,3","23,4","20,7","21,5"
"4,5","95,5","0,955","33,2","26,4","25,3","23,5","20,9","21,7"
"5,0","95,0","0,950","33,0","26,4","25,3","23,6","21,0","21,9"
**14. Cần Thơ**,,,,,,,,
"0,4","99,6","0,996","33,6","28,4","26,4","20,8","19,1","19,6"
"1,0","99,0","0,990","33,0","27,6","26,0","21,6","20,0","20,7"
"1,5","98,5","0,985","32,8","27,4","26,2","22,0","20,4","21,0"
"2,0","98,0","0,980","32,5","27,2","26,2","22,2","20,7","21,2"
"2,5","97,5","0,975","32,3","27,0","26,1","22,5","20,9","21,5"
"3,0","97,0","0,970","32,1","26,9","26,1","22,7","21,1","21,7"
"3,5","96,5","0,965","32,0","26,9","26,0","22,8","21,3","21,8"
"4,0","96,0","0,960","31,8","26,8","25,9","23,0","21,4","21,9"
"4,5","95,5","0,955","31,7","26,7","25,9","23,1","21,5","22,1"
"5,0","95,0","0,950","31,6","26,7","25,9","23,2","21,6","22,2"
**15. Cà Mau**,,,,,,,,
"0,4","99,6","0,996","34,2","27,7","25,9","21,5","20,0","20,3"
"1,0","99,0","0,990","33,6","27,3","25,8","22,2","20,6","21,1"
"1,5","98,5","0,985","33,3","27,1","25,9","22,5","21,0","21,4"
"2,0","98,0","0,980","33,0","27,0","25,7","22,7","21,2","21,6"
"2,5","97,5","0,975","32,8","26,9","25,7","22,9","21,4","21,8"
"3,0","97,0","0,970","32,6","26,9","25,9","23,1","21,5","21,9"
"3,5","96,5","0,965","32,4","26,8","25,8","23,2","21,7","22,0"
"4,0","96,0","0,960","32,3","26,7","25,7","23,3","21,8","22,2"
"4,5","95,5","0,955","32,1","26,7","25,7","23,5","21,9","22,4"
"5,0","95,0","0,950","32,0","26,6","25,7","23,6","22,0","22,4"
