STT,Loại kết cấu,Tiêu chí phân cấp,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình
STT,Loại kết cấu,Tiêu chí phân cấp,Đặc biệt,I,II,III,IV
2.3,Tuyến cáp treo,"a) Chiều cao trụ đỡ (m) hoặc Độ cao so với mặt đất, mặt nước (m)",>200,>75 ÷ 200,>28 ÷ 75,>6 ÷ 28,≤6
2.3,Tuyến cáp treo,b) Khoảng cách lớn nhất (m) giữa hai trụ cáp,≥1.000,500 ÷ <1.000,200 ÷ <500,50 ÷ <200,<50
2.4,"Kết cấu dạng bể chứa, si lô (Bể bơi, bể/giếng chứa các chất lỏng, chất khí, vật liệu rời; các loại bể kỹ thuật lắp đặt máy móc/thiết bị; Si lô; Tháp nước và các kết cấu chứa tương tự khác) Đối với kết cấu chứa các hóa chất nguy hiểm, chất độc theo quy định của pháp luật về hóa chất: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp, nhưng không thấp hơn cấp II và không có cấp đặc biệt.",a) Dung tích chứa (nghìn m3),,>15,5 ÷ 15,1 ÷ <5,<1
2.4,"Kết cấu dạng bể chứa, si lô (Bể bơi, bể/giếng chứa các chất lỏng, chất khí, vật liệu rời; các loại bể kỹ thuật lắp đặt máy móc/thiết bị; Si lô; Tháp nước và các kết cấu chứa tương tự khác) Đối với kết cấu chứa các hóa chất nguy hiểm, chất độc theo quy định của pháp luật về hóa chất: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp, nhưng không thấp hơn cấp II và không có cấp đặc biệt.",b) Chiều cao kết cấu chứa (m),,≥75,>28 ÷ <75,6 ÷ 28,<6
2.4,"Kết cấu dạng bể chứa, si lô (Bể bơi, bể/giếng chứa các chất lỏng, chất khí, vật liệu rời; các loại bể kỹ thuật lắp đặt máy móc/thiết bị; Si lô; Tháp nước và các kết cấu chứa tương tự khác) Đối với kết cấu chứa các hóa chất nguy hiểm, chất độc theo quy định của pháp luật về hóa chất: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp, nhưng không thấp hơn cấp II và không có cấp đặc biệt.",c) Độ sâu ngầm (m),,>18,>6 ÷ 18,>3 ÷ 6,≤3
2.5,Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông),Cầu (trong công trình giao thông)
2.5,"2.5.1 Cầu đường bộ: Xét theo các tiêu chí a, b 2.5.2 Cầu đường sắt: Xét theo các tiêu chí b, c",a) Nhịp kết cấu lớn nhất (m),>150,>100 ÷ 150,>42 ÷ 100,>25 ÷ 42,≤25
2.5,"2.5.1 Cầu đường bộ: Xét theo các tiêu chí a, b 2.5.2 Cầu đường sắt: Xét theo các tiêu chí b, c",b) Chiều cao trụ cầu (m),>75,30 ÷ 75,15 ÷ <30,6 ÷ <15,<6
2.5,"2.5.1 Cầu đường bộ: Xét theo các tiêu chí a, b 2.5.2 Cầu đường sắt: Xét theo các tiêu chí b, c",c) Nhịp kết cấu lớn nhất (m),>100,50 ÷ 100,25 ÷ <50,<25,
2.5,"2.5.3 Cầu vượt dành cho người đi bộ, xe đạp; Cầu treo dân sinh (dành cho người đi bộ, gia súc, xe đạp, xe mô tô/ gắn máy và xe thô sơ khác; cầu dây võng, một nhịp, nằm trên đường giao thông nông thôn và khổ cầu không lớn hơn 3,5 m)",a) Nhịp kết cấu lớn nhất (m),,,>50,25 ÷ 50,<25
2.5,"2.5.3 Cầu vượt dành cho người đi bộ, xe đạp; Cầu treo dân sinh (dành cho người đi bộ, gia súc, xe đạp, xe mô tô/ gắn máy và xe thô sơ khác; cầu dây võng, một nhịp, nằm trên đường giao thông nông thôn và khổ cầu không lớn hơn 3,5 m)",b) Chiều cao trụ cầu hoặc Độ cao tính từ đáy kết cấu dầm cầu tới mặt đất/nước bên dưới (m),,,>30,15 ÷ 30,<15
2.6,"2.6.1. Hầm (hầm giao thông đường bộ, đường sắt…) - Mục này không bao gồm các loại hầm sau: hầm tàu điện ngầm, hầm dạng tuy nen kỹ thuật trong các nhà máy (điểm b mục 2.10.4) và hầm mỏ khai thác tài nguyên, khoáng sản, hầm thủy lợi. - Đối với đường hầm dẫn nước của công trình thủy điện (không thuộc tuyến năng lượng): Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp III. - Đối với hầm ngầm dưới sông, biển: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp và không thấp hơn cấp II.",a) Tổng chiều dài (m),>1.500,500 ÷ 1.500,100 ÷ <500,<100,
2.6,"2.6.1. Hầm (hầm giao thông đường bộ, đường sắt…) - Mục này không bao gồm các loại hầm sau: hầm tàu điện ngầm, hầm dạng tuy nen kỹ thuật trong các nhà máy (điểm b mục 2.10.4) và hầm mỏ khai thác tài nguyên, khoáng sản, hầm thủy lợi. - Đối với đường hầm dẫn nước của công trình thủy điện (không thuộc tuyến năng lượng): Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp III. - Đối với hầm ngầm dưới sông, biển: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp và không thấp hơn cấp II.",b) Diện tích mặt cắt ngang theo kích thước thông thủy của hầm (m2),,≥100,30 ÷ <100,<30,
2.6,"2.6.1. Hầm (hầm giao thông đường bộ, đường sắt…) - Mục này không bao gồm các loại hầm sau: hầm tàu điện ngầm, hầm dạng tuy nen kỹ thuật trong các nhà máy (điểm b mục 2.10.4) và hầm mỏ khai thác tài nguyên, khoáng sản, hầm thủy lợi. - Đối với đường hầm dẫn nước của công trình thủy điện (không thuộc tuyến năng lượng): Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp III. - Đối với hầm ngầm dưới sông, biển: Sau khi xác định cấp công trình theo mục này thì tăng lên một cấp và không thấp hơn cấp II.",c) Kết cấu vỏ hầm,,,Có kết cấu vỏ hầm,Không có kết cấu vỏ hầm,
2.6,"2.6.2 Bán hầm phục vụ cho giao thông đường bộ, đường sắt và để chống đất, đá rơi",Tổng chiều dài (m),,>1.500,500 ÷ 1.500,100 ÷ <500,<100
2.7,"Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","Tường chắn, kè, kết cấu bảo vệ bờ Đối với tường chắn, kè, kết cấu bảo vệ bờ có tổng chiều dài ≤500 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV."
2.7,"2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này.","2.7.1 Tường chắn (Tường chắn đất, đá, trên cạn, không bao gồm kết cấu mục 2.9) Tường chắn sử dụng trong công trình chỉnh trị thuộc mục 2.11 và 2.12 thì xét thêm các tiêu chí của kết cấu tại các mục này."
2.7,a) Nền là đá,Chiều cao tường (m),,>25 ÷ 40,>15 ÷ 25,>8 ÷ 15,≤8
2.7,"b) Nền là đất cát, đất hòn thô, đất sét ở trạng thái cứng và nửa cứng",Chiều cao tường (m),,,>12 ÷ 20,>5 ÷ 12,≤5
2.7,c) Nền là đất sét bão hòa nước ở trạng thái dẻo,Chiều cao tường (m),,,>10 ÷ 15,>4 ÷ 10,≤4
2.7,"2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)","2.7.2 Kè, kết cấu bảo vệ bờ sử dụng trong các loại dự án đầu tư xây dựng (không bao gồm các kết cấu mục 2.9 và 2.11.2)"
2.7,"a) Kè, kết cấu bảo vệ bờ sông, hồ",Chiều cao lớn nhất của công trình (m),,>8,>5 ÷ 8,>3 ÷ 5,≤3
2.7,"b) Kè, kết cấu bảo vệ bờ biển",Chiều cao lớn nhất của công trình (m),>16,>12 ÷ 16,>8 ÷ 12,>5 ÷ 8,≤5
2.8,"Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác","Đập và các công trình thủy lợi, thủy điện chịu áp khác"
2.8,"2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại","2.8.1 Đập đất, đập đất - đá các loại"
2.8,a) Nền là đá,Chiều cao đập (m),>100,>70 ÷ 100,>25 ÷ 70,>10 ÷ 25,≤10
2.8,"b) Nền là đất cát, đất hòn thô, đất sét ở trạng thái cứng và nửa cứng",Chiều cao đập (m),,>35 ÷ 75,>15 ÷ 35,>8 ÷ 15,≤8
2.8,c) Nền là đất sét bão hòa nước ở trạng thái dẻo,Chiều cao đập (m),,,>15 ÷ 25,>5 ÷ 15,≤5
2.8,"2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác","2.8.2 Đập bê tông, bê tông cốt thép các loại và các công trình thủy lợi, thủy điện chịu áp khác"
2.8,a) Nền là đá,Chiều cao đập (m),>100,>60 ÷ 100,>25 ÷ 60,>10 ÷ 25,≤10
2.8,"b) Nền là đất cát, đất hòn thô, đất sét ở trạng thái cứng và nửa cứng",Chiều cao đập (m),,>25 ÷ 50,>10 ÷ 25,>5 ÷ 10,≤5
2.8,c) Nền là đất sét bão hòa nước ở trạng thái dẻo,Chiều cao đập (m),,,>10 ÷ 20,>5 ÷ 10,≤5
2.9,"Kết cấu gia cố bề mặt mái dốc (không bao gồm mục 2.7): xây ốp gạch/đá, đổ bê tông hoặc các giải pháp khác",Chiều cao tính từ chân tới đỉnh mái dốc (m),,,,>30,≤30
2.10,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.,Đường ống/cống Đối với đường ống/cống có tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.
2.10,2.10.1 Đường ống cấp nước (nước thô hoặc nước sạch) Không áp dụng đối với công trình thủy lợi,Đường kính trong của ống (mm) hoặc Diện tích mặt cắt ngang bên trong ống (m2),,"≥800 hoặc ≥0,51","400 ÷ <800 hoặc 0,13 ÷ <0,51","150 ÷ <400 hoặc 0,02 ÷ <0,13","<150 hoặc <0,02"
2.10,"2.10.2 Đường ống/cống thoát nước mưa, cống chung",Đường kính trong của ống (mm) hoặc Diện tích mặt cắt ngang bên trong ống (m2),,"≥2.000 hoặc ≥3,14","1.500 ÷ <2.000 hoặc 1,77 ÷ <3,14","600 ÷ <1.500 hoặc 0,28 ÷ <1,77","<600 hoặc <0,28"
2.10,2.10.3 Đường ống/cống thoát nước thải,Đường kính trong của ống (mm) hoặc Diện tích mặt cắt ngang bên trong ống (m2),,"≥1.000 hoặc ≥0,79","600 ÷ <1.000 hoặc 0,28 ÷ <0,79","200 ÷ <600 hoặc 0,03 ÷ <0,28","<200 hoặc <0,03"
