STT,Lĩnh vực cấp chứng chỉ hành nghề,Lĩnh vực cấp chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề
3.5,Thiết kế xây dựng công trình,Công trình Cầu - hầm,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cầu, hầm, công trình có kết cấu cột, trụ, tháp và các công trình có kết cấu tương tự tất cả các cấp công trình; chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cầu, hầm, công trình có kết cấu cột, trụ, tháp và các công trình có kết cấu tương tự từ cấp II trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cầu, hầm, công trình có kết cấu cột, trụ, tháp và các công trình có kết cấu tương tự từ cấp III trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp xã phê duyệt."
3.6,Thiết kế xây dựng công trình,Công trình Đường thủy nội địa - Hàng hải,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường thủy nội địa - hàng hải và các công trình có kết cấu tương tự tất cả các cấp công trình.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường thủy nội địa - hàng hải và các công trình có kết cấu tương tự từ cấp II trở xuống.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường thủy nội địa - hàng hải và các công trình có kết cấu tương tự từ cấp III trở xuống."
3.7,Thiết kế xây dựng công trình,"Công trình Thủy lợi, đê điều","- Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình thủy lợi, đê điều và các công trình có kết cấu tương tự tất cả các cấp công trình. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của các dự án thủy điện.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình thủy lợi, đê điều và các công trình có kết cấu tương tự từ cấp II trở xuống. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của dự án thủy điện từ cấp II trở xuống.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình thủy lợi, đê điều và các công trình có kết cấu tương tự từ cấp III trở xuống. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của dự án thủy điện từ cấp III trở xuống."
3.8,Thiết kế xây dựng công trình,Công trình Cấp nước - thoát nước,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cấp nước - thoát nước và các công trình tương tự tất cả các cấp công trình; chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cấp nước - thoát nước và các công trình tương tự từ cấp II trở xuống; chủ trì lĩnh vực chuyên môn quy hoạch đô thị và nông thôn thuộc thẩm quyền của ủy ban nhân dân cấp tỉnh, ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình cấp nước - thoát nước và các công trình tương tự từ cấp III trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của ủy ban nhân dân cấp xã phê duyệt."
3.9,Thiết kế xây dựng công trình,Công trình Xử lý chất thải rắn,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình xử lý chất thải rắn và các công trình tương tự tất cả các cấp công trình.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình xử lý chất thải rắn và các công trình tương tự từ cấp II trở xuống.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình xử lý chất thải rắn và các công trình tương tự từ cấp III trở xuống."
3.10,Thiết kế cơ - điện công trình,Hệ thống điện,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống điện của tất cả các cấp công trình/hạng mục công trình (bao gồm công trình đường dây và trạm biến áp); chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống điện của các công trình/hạng mục công trình từ cấp II trở xuống (bao gồm công trình đường dây và trạm biến áp); chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống điện của các công trình từ cấp III trở xuống (bao gồm công trình đường dây và trạm biến áp); chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp xã phê duyệt."
3.11,Thiết kế cơ - điện công trình,Hệ thống cấp - thoát nước công trình,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống cấp - thoát nước, tuyến ống, cống cấp thoát nước của tất cả các cấp công trình/hạng mục công trình; chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống cấp - thoát nước, tuyến ống, cống cấp thoát nước của các công trình/hạng mục công trình từ cấp II trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống cấp - thoát nước, tuyến ống, cống cấp thoát nước của các công trình/hạng mục công trình từ cấp III trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp xã phê duyệt."
3.12,Thiết kế cơ - điện công trình,Hệ thống thông gió - cấp thoát nhiệt,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống thông gió - cấp thoát nhiệt của tất cả các cấp công trình/hạng mục công trình.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống thông gió - cấp thoát nhiệt của các công trình/hạng mục công trình từ cấp II trở xuống.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế cơ - điện công trình - hệ thống thông gió - cấp thoát nhiệt của các công trình/hạng mục công trình từ cấp III trở xuống."
4,Lĩnh vực giám sát thi công xây dựng,Lĩnh vực giám sát thi công xây dựng,Lĩnh vực giám sát thi công xây dựng,Lĩnh vực giám sát thi công xây dựng,Lĩnh vực giám sát thi công xây dựng
4.1,Giám sát công tác xây dựng công trình,Giám sát công tác xây dựng công trình,"Được làm giám sát trưởng, giám sát khảo sát xây dựng tất cả các loại, cấp công trình/hạng mục công trình xây dựng; được làm giám sát viên công tác xây dựng tất cả các các loại, cấp công trình.","Được làm giám sát trưởng; giám sát khảo sát xây dựng các loại công trình/hạng mục công trình từ cấp II trở xuống; được làm giám sát viên công tác xây dựng tất cả các loại, cấp công trình.","Được làm giám sát trưởng; giám sát khảo sát xây dựng các loại công trình/hạng mục công trình từ cấp III trở xuống; được làm giám sát viên công tác xây dựng tất cả các loại, cấp công trình."
4.2,Giám sát công tác lắp đặt thiết bị công trình,Giám sát công tác lắp đặt thiết bị công trình,"Được làm giám sát trưởng, giám sát viên lắp đặt thiết bị công trình của tất cả các cấp công trình/hạng mục công trình (bao gồm công trình đường dây và trạm biến áp).",Được làm giám sát trưởng lắp đặt thiết bị công trình của các công trình/hạng mục công trình từ cấp II trở xuống; giám sát viên lắp đặt thiết bị công trình của tất cả các cấp công trình/hạng mục công trình (bao gồm công trình đường dây và trạm biến áp).,Được làm giám sát trưởng lắp đặt thiết bị công trình của các công trình/hạng mục công trình từ cấp III trở xuống; giám sát viên lắp đặt thiết bị công trình của tất cả các cấp công trình/ hạng mục công trình (bao gồm công trình đường dây và trạm biến áp).
5,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường - Lĩnh vực không yêu cầu chứng chỉ hành nghề,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường - Lĩnh vực không yêu cầu chứng chỉ hành nghề,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường - Lĩnh vực không yêu cầu chứng chỉ hành nghề,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường - Lĩnh vực không yêu cầu chứng chỉ hành nghề,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường - Lĩnh vực không yêu cầu chứng chỉ hành nghề
,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường,Quản lý dự án đầu tư xây dựng và Chỉ huy trưởng công trường,Được làm giám đốc quản lý dự án đầu tư xây dựng tất cả các nhóm dự án và được làm chỉ huy trưởng công trường tất cả các cấp công trình/hạng mục công trình.,Được làm giám đốc quản lý dự án đầu tư xây dựng các dự án từ nhóm B trở xuống và được làm chỉ huy trưởng công trường các công trình/hạng mục công trình từ cấp II trở xuống.,Được làm giám đốc quản lý dự án đầu tư xây dựng các dự án nhóm C và được làm chỉ huy trưởng công trường các công trình/hạng mục công trình từ cấp III trở xuống.
